"BZD-intermediate","0.32 (0.12 to  0.85)","2.63 (0.50 to 13.93)",".",".",".","0.55 (0.20 to  1.53)","1.33 (0.84 to  2.10)",".",".",".",".","0.48 (0.04 to  5.67)",".","5.13 (0.59 to 44.87)","."
"1.02 (0.61 to  1.73)","BZD-long","0.91 (0.63 to  1.32)",".",".",".",".","1.09 (0.76 to  1.57)",".",".",".",".",".",".",".","1.04 (0.75 to  1.46)"
"1.05 (0.61 to  1.79)","1.02 (0.72 to  1.45)","BZD-short",".",".",".",".","1.12 (0.77 to  1.62)",".",".",".",".",".",".","1.95 (0.17 to 21.95)","1.10 (0.80 to  1.51)"
"2.59 (0.69 to  9.68)","2.52 (0.69 to  9.20)","2.47 (0.68 to  9.02)","daridorexant",".",".",".","0.62 (0.12 to  3.27)",".",".",".",".",".",".","0.30 (0.08 to  1.15)","."
"1.26 (0.22 to  7.12)","1.23 (0.22 to  6.81)","1.20 (0.22 to  6.67)","0.49 (0.06 to  3.78)","doxylamine",".",".","0.98 (0.14 to  7.10)",".",".",".",".",".",".","0.70 (0.12 to  4.29)","."
"1.59 (0.68 to  3.72)","1.55 (0.70 to  3.47)","1.52 (0.68 to  3.40)","0.62 (0.15 to  2.60)","1.27 (0.20 to  7.88)","eszopiclone",".","0.77 (0.37 to  1.59)",".",".",".",".",".",".",".","."
"0.55 (0.20 to  1.53)","0.54 (0.17 to  1.70)","0.53 (0.17 to  1.67)","0.21 (0.04 to  1.13)","0.44 (0.06 to  3.29)","0.35 (0.09 to  1.31)","mirtazapine",".",".",".",".",".",".",".",".","."
"1.22 (0.79 to  1.90)","1.19 (0.85 to  1.69)","1.17 (0.82 to  1.67)","0.47 (0.14 to  1.65)","0.97 (0.18 to  5.22)","0.77 (0.37 to  1.59)","2.21 (0.73 to  6.73)","placebo",".","0.34 (0.16 to  0.74)","2.75 (1.02 to  7.40)","0.80 (0.36 to  1.79)","1.05 (0.13 to  8.24)","0.47 (0.15 to  1.42)","0.72 (0.46 to  1.12)","1.02 (0.73 to  1.44)"
"0.69 (0.24 to  1.97)","0.67 (0.25 to  1.77)","0.66 (0.25 to  1.73)","0.27 (0.05 to  1.29)","0.55 (0.08 to  3.80)","0.43 (0.13 to  1.45)","1.24 (0.29 to  5.40)","0.56 (0.21 to  1.48)","propiomazine",".",".",".",".",".",".","1.67 (0.67 to  4.17)"
"0.42 (0.17 to  1.02)","0.41 (0.18 to  0.95)","0.40 (0.17 to  0.93)","0.16 (0.04 to  0.70)","0.33 (0.05 to  2.11)","0.26 (0.09 to  0.76)","0.76 (0.20 to  2.93)","0.34 (0.16 to  0.74)","0.61 (0.18 to  2.10)","ramelteon",".",".",".",".",".","."
"2.30 (0.82 to  6.48)","2.25 (0.83 to  6.10)","2.20 (0.81 to  5.99)","0.89 (0.19 to  4.16)","1.83 (0.27 to 12.36)","1.45 (0.44 to  4.73)","4.17 (0.98 to 17.82)","1.88 (0.74 to  4.81)","3.35 (0.87 to 12.90)","5.51 (1.64 to 18.52)","seltorexant",".",".",".","1.54 (0.33 to  7.31)","."
"0.98 (0.39 to  2.45)","0.96 (0.40 to  2.29)","0.94 (0.39 to  2.25)","0.38 (0.09 to  1.67)","0.78 (0.12 to  5.02)","0.62 (0.21 to  1.81)","1.78 (0.45 to  6.99)","0.80 (0.36 to  1.79)","1.43 (0.41 to  5.02)","2.35 (0.77 to  7.13)","0.43 (0.12 to  1.46)","suvorexant",".",".",".","."
"0.91 (0.14 to  6.07)","0.89 (0.13 to  5.99)","0.87 (0.13 to  5.88)","0.35 (0.04 to  3.36)","0.73 (0.06 to  9.01)","0.57 (0.08 to  4.29)","1.65 (0.19 to 14.20)","0.75 (0.11 to  4.88)","1.33 (0.16 to 10.97)","2.18 (0.29 to 16.62)","0.40 (0.05 to  3.23)","0.93 (0.12 to  7.16)","trimipramine",".",".","."
"0.62 (0.24 to  1.61)","0.60 (0.24 to  1.52)","0.59 (0.23 to  1.49)","0.24 (0.06 to  1.02)","0.49 (0.08 to  3.10)","0.39 (0.13 to  1.19)","1.12 (0.28 to  4.53)","0.50 (0.21 to  1.19)","0.90 (0.25 to  3.27)","1.48 (0.47 to  4.67)","0.27 (0.08 to  0.93)","0.63 (0.19 to  2.03)","0.68 (0.09 to  5.32)","zaleplon","1.36 (0.52 to  3.58)","."
"0.89 (0.47 to  1.67)","0.87 (0.49 to  1.54)","0.85 (0.48 to  1.52)","0.34 (0.10 to  1.16)","0.71 (0.13 to  3.74)","0.56 (0.24 to  1.32)","1.61 (0.49 to  5.34)","0.73 (0.46 to  1.16)","1.29 (0.44 to  3.78)","2.13 (0.87 to  5.22)","0.39 (0.14 to  1.05)","0.91 (0.36 to  2.28)","0.97 (0.14 to  6.73)","1.44 (0.63 to  3.31)","zolpidem","."
"1.15 (0.68 to  1.94)","1.12 (0.82 to  1.54)","1.10 (0.81 to  1.50)","0.44 (0.12 to  1.61)","0.91 (0.17 to  5.05)","0.72 (0.33 to  1.59)","2.08 (0.66 to  6.54)","0.94 (0.68 to  1.30)","1.67 (0.67 to  4.17)","2.75 (1.19 to  6.33)","0.50 (0.19 to  1.34)","1.17 (0.49 to  2.77)","1.26 (0.19 to  8.44)","1.86 (0.75 to  4.65)","1.29 (0.74 to  2.27)","zopiclone"
