"BZD-intermediate","0.74 (0.30 to  1.85)","0.94 (0.51 to  1.75)",".",".",".",".",".",".","0.59 (0.41 to  0.87)",".",".",".",".","0.78 (0.16 to  3.78)","0.21 (0.02 to  2.09)",".","1.22 (0.57 to  2.62)","."
"0.86 (0.56 to  1.31)","BZD-long","0.73 (0.51 to  1.03)",".",".",".",".",".",".","0.78 (0.55 to  1.11)",".",".",".",".",".",".",".",".","0.83 (0.60 to  1.15)"
"0.65 (0.44 to  0.96)","0.75 (0.55 to  1.04)","BZD-short",".",".",".",".",".",".","1.07 (0.78 to  1.46)",".",".",".",".",".",".","1.48 (0.51 to  4.29)","1.56 (0.74 to  3.27)","0.97 (0.71 to  1.33)"
"0.48 (0.28 to  0.83)","0.56 (0.33 to  0.95)","0.75 (0.45 to  1.24)","daridorexant",".",".",".",".",".","1.59 (0.99 to  2.55)",".",".",".",".",".",".",".","0.87 (0.33 to  2.25)","."
"2.24 (0.94 to  5.34)","2.61 (1.11 to  6.16)","3.47 (1.49 to  8.10)","4.66 (1.88 to 11.53)","doxepin",".",".",".",".","0.31 (0.14 to  0.69)",".",".",".",".",".",".",".",".","."
"0.40 (0.15 to  1.05)","0.47 (0.18 to  1.21)","0.62 (0.24 to  1.59)","0.83 (0.31 to  2.25)","0.18 (0.05 to  0.60)","doxylamine",".",".",".","1.84 (0.59 to  5.66)",".",".",".",".",".",".",".","1.40 (0.50 to  3.89)","."
"0.67 (0.45 to  1.00)","0.78 (0.54 to  1.12)","1.04 (0.74 to  1.46)","1.40 (0.86 to  2.25)","0.30 (0.13 to  0.69)","1.67 (0.66 to  4.23)","eszopiclone",".",".","1.08 (0.85 to  1.36)",".",".",".",".",".",".",".",".","0.85 (0.51 to  1.40)"
"0.48 (0.29 to  0.78)","0.56 (0.35 to  0.89)","0.74 (0.47 to  1.16)","0.99 (0.57 to  1.73)","0.21 (0.09 to  0.51)","1.19 (0.45 to  3.12)","0.71 (0.47 to  1.08)","lemborexant",".","1.46 (0.99 to  2.15)",".",".",".",".",".",".",".","1.06 (0.55 to  2.03)","."
"0.49 (0.09 to  2.64)","0.57 (0.11 to  3.06)","0.76 (0.14 to  4.05)","1.02 (0.19 to  5.60)","0.22 (0.04 to  1.37)","1.23 (0.19 to  8.02)","0.73 (0.14 to  3.86)","1.03 (0.19 to  5.56)","melatonin","1.42 (0.27 to  7.34)",".",".",".",".",".",".",".",".","."
"0.70 (0.50 to  0.98)","0.81 (0.59 to  1.11)","1.08 (0.82 to  1.43)","1.45 (0.95 to  2.22)","0.31 (0.14 to  0.69)","1.74 (0.71 to  4.29)","1.04 (0.84 to  1.29)","1.46 (1.02 to  2.09)","1.42 (0.27 to  7.34)","placebo",".","0.88 (0.68 to  1.15)","1.40 (0.58 to  3.39)","0.79 (0.50 to  1.24)","0.56 (0.29 to  1.06)","0.47 (0.08 to  2.91)","1.22 (0.90 to  1.65)","0.84 (0.69 to  1.01)","1.03 (0.75 to  1.41)"
