"BZD-intermediate","1.17 (0.41 to  3.39)",".",".","0.88 (0.32 to  2.39)",".",".",".",".","0.97 (0.35 to  2.73)"
"1.17 (0.41 to   3.39)","BZD-short",".",".","0.75 (0.27 to  2.11)",".",".",".",".","0.83 (0.29 to  2.40)"
"0.73 (0.26 to   2.04)","0.62 (0.21 to   1.80)","eszopiclone",".","1.31 (0.85 to  2.03)",".",".",".",".","."
"0.29 (0.03 to   3.18)","0.24 (0.02 to   2.75)","0.39 (0.04 to   3.78)","lemborexant","3.33 (0.36 to 30.70)",".",".",".",".","."
"0.95 (0.37 to   2.42)","0.81 (0.31 to   2.14)","1.31 (0.85 to   2.03)","3.33 (0.36 to  30.70)","placebo","0.41 (0.18 to  0.95)","4.46 (0.73 to 27.22)","1.74 (0.73 to  4.17)","0.72 (0.29 to  1.76)","0.94 (0.50 to  1.74)"
"0.39 (0.11 to   1.37)","0.33 (0.09 to   1.20)","0.53 (0.21 to   1.38)","1.36 (0.13 to  14.62)","0.41 (0.18 to   0.95)","ramelteon",".",".",".","."
"4.92 (0.80 to  30.29)","4.20 (0.67 to  26.31)","6.77 (1.26 to  36.43)","17.23 (1.10 to 269.95)","5.17 (1.02 to  26.26)","12.65 (2.03 to  78.83)","seltorexant",".",".","0.16 (0.03 to  0.90)"
"1.66 (0.46 to   5.96)","1.41 (0.38 to   5.21)","2.28 (0.86 to   6.06)","5.81 (0.53 to  63.12)","1.74 (0.73 to   4.17)","4.26 (1.27 to  14.32)","0.34 (0.05 to   2.13)","suvorexant",".","."
"0.77 (0.25 to   2.38)","0.66 (0.21 to   2.09)","1.06 (0.44 to   2.59)","2.71 (0.26 to  28.48)","0.81 (0.37 to   1.77)","1.99 (0.64 to   6.24)","0.16 (0.03 to   0.89)","0.47 (0.15 to   1.50)","zaleplon","1.04 (0.46 to  2.38)"
"0.89 (0.35 to   2.28)","0.76 (0.28 to   2.02)","1.22 (0.57 to   2.62)","3.11 (0.31 to  31.23)","0.93 (0.50 to   1.75)","2.28 (0.80 to   6.51)","0.18 (0.04 to   0.90)","0.54 (0.18 to   1.57)","1.15 (0.54 to   2.41)","zolpidem"
