"BZD-intermediate","4.56 (0.76 to  27.43)","0.66 (0.18 to   2.42)",".",".",".",".",".","0.64 (0.28 to   1.46)",".",".",".","0.38 (0.02 to   7.26)",".","0.63 (0.17 to   2.33)","."
"0.89 (0.40 to    1.97)","BZD-long","0.83 (0.57 to   1.21)",".",".",".",".",".","0.98 (0.66 to   1.45)",".",".",".",".",".",".","0.80 (0.57 to   1.12)"
"0.68 (0.31 to    1.49)","0.76 (0.53 to    1.10)","BZD-short",".",".",".",".",".","1.27 (0.88 to   1.83)",".",".",".",".","7.25 (1.08 to  48.53)","0.96 (0.30 to   3.11)","0.99 (0.72 to   1.36)"
"1.95 (0.42 to    9.01)","2.20 (0.54 to    8.96)","2.89 (0.72 to   11.63)","daridorexant",".",".",".",".","2.31 (0.12 to  43.53)",".",".",".",".",".","0.24 (0.06 to   0.91)","."
"0.25 (0.03 to    2.31)","0.28 (0.03 to    2.38)","0.36 (0.04 to    3.10)","0.13 (0.01 to    1.55)","doxepin",".",".",".","3.60 (0.43 to  29.77)",".",".",".",".",".",".","."
"1.08 (0.23 to    5.06)","1.22 (0.30 to    5.02)","1.60 (0.39 to    6.53)","0.55 (0.09 to    3.56)","4.39 (0.35 to   54.49)","doxylamine",".",".","1.49 (0.24 to   9.07)",".",".",".",".",".","0.44 (0.11 to   1.75)","."
"0.52 (0.21 to    1.28)","0.58 (0.32 to    1.07)","0.76 (0.42 to    1.38)","0.26 (0.06 to    1.13)","2.10 (0.24 to   18.56)","0.48 (0.11 to    2.07)","eszopiclone",".","2.13 (1.10 to   4.13)",".",".",".",".",".",".","0.92 (0.41 to   2.08)"
"8.17 (0.38 to  176.82)","9.22 (0.46 to  186.47)","12.07 (0.60 to  243.55)","4.18 (0.16 to  110.87)","33.17 (0.86 to 1285.31)","7.55 (0.28 to  201.35)","15.78 (0.76 to  326.86)","lemborexant","0.11 (0.01 to   2.14)",".",".",".",".",".",".","."
"0.89 (0.42 to    1.86)","1.00 (0.69 to    1.45)","1.31 (0.92 to    1.85)","0.45 (0.12 to    1.76)","3.60 (0.43 to   29.77)","0.82 (0.21 to    3.22)","1.71 (1.01 to    2.90)","0.11 (0.01 to    2.14)","placebo","0.52 (0.19 to   1.39)","1.95 (0.32 to  11.87)","1.03 (0.39 to   2.74)",".","0.64 (0.03 to  16.19)","0.65 (0.42 to   1.01)","0.76 (0.54 to   1.07)"
"0.46 (0.13 to    1.58)","0.52 (0.18 to    1.49)","0.68 (0.24 to    1.93)","0.23 (0.04 to    1.25)","1.86 (0.18 to   19.17)","0.42 (0.08 to    2.29)","0.88 (0.29 to    2.71)","0.06 (0.00 to    1.30)","0.52 (0.19 to    1.39)","ramelteon",".",".",".",".",".","."
"2.53 (0.52 to   12.22)","2.85 (0.67 to   12.16)","3.74 (0.88 to   15.80)","1.29 (0.20 to    8.59)","10.27 (0.81 to  129.93)","2.34 (0.35 to   15.79)","4.89 (1.09 to   21.88)","0.31 (0.01 to    8.38)","2.86 (0.70 to   11.63)","5.53 (0.99 to   30.86)","seltorexant",".",".",".","0.19 (0.04 to   0.82)","."
"0.91 (0.27 to    3.11)","1.03 (0.36 to    2.93)","1.35 (0.48 to    3.81)","0.47 (0.09 to    2.48)","3.70 (0.36 to   37.99)","0.84 (0.16 to    4.53)","1.76 (0.58 to    5.35)","0.11 (0.00 to    2.58)","1.03 (0.39 to    2.74)","1.99 (0.49 to    8.03)","0.36 (0.06 to    1.99)","suvorexant",".",".",".","."
"0.38 (0.02 to    7.26)","0.43 (0.02 to    9.11)","0.57 (0.03 to   11.90)","0.20 (0.01 to    5.40)","1.55 (0.04 to   62.78)","0.35 (0.01 to    9.82)","0.74 (0.03 to   16.06)","0.05 (0.00 to    3.31)","0.43 (0.02 to    8.99)","0.84 (0.03 to   20.39)","0.15 (0.01 to    4.26)","0.42 (0.02 to   10.21)","trazodone",".",".","."
"3.85 (0.51 to   29.13)","4.34 (0.65 to   29.09)","5.69 (0.88 to   36.94)","1.97 (0.19 to   20.19)","15.62 (0.91 to  267.27)","3.56 (0.34 to   36.76)","7.43 (1.05 to   52.61)","0.47 (0.01 to   16.17)","4.35 (0.65 to   28.93)","8.42 (0.99 to   71.49)","1.52 (0.14 to   16.05)","4.23 (0.50 to   35.72)","10.05 (0.28 to  357.58)","zaleplon",".","."
"0.57 (0.25 to    1.29)","0.64 (0.37 to    1.12)","0.84 (0.49 to    1.43)","0.29 (0.08 to    1.07)","2.31 (0.27 to   19.97)","0.53 (0.14 to    1.99)","1.10 (0.56 to    2.16)","0.07 (0.00 to    1.42)","0.64 (0.42 to    0.98)","1.24 (0.42 to    3.66)","0.22 (0.06 to    0.89)","0.63 (0.21 to    1.82)","1.49 (0.07 to   31.55)","0.15 (0.02 to    1.03)","zolpidem","."
"0.67 (0.31 to    1.46)","0.75 (0.55 to    1.04)","0.99 (0.73 to    1.34)","0.34 (0.09 to    1.37)","2.72 (0.32 to   23.00)","0.62 (0.15 to    2.51)","1.29 (0.75 to    2.23)","0.08 (0.00 to    1.65)","0.76 (0.55 to    1.03)","1.46 (0.52 to    4.13)","0.26 (0.06 to    1.11)","0.73 (0.26 to    2.05)","1.75 (0.08 to   36.69)","0.17 (0.03 to    1.15)","1.17 (0.70 to    1.97)","zopiclone"
