"BZD-intermediate","3.77 (0.76 to 18.72)",".",".",".",".",".","1.00 (0.33 to  2.99)",".",".",".","1.17 (0.05 to 29.34)",".","1.15 (0.37 to  3.58)"
"2.04 (0.54 to  7.70)","BZD-short",".",".",".",".",".","0.52 (0.16 to  1.67)",".",".",".",".","7.07 (0.70 to 70.95)","0.31 (0.06 to  1.56)"
"1.36 (0.49 to  3.79)","0.67 (0.21 to  2.11)","daridorexant",".",".",".",".","1.08 (0.76 to  1.54)",".",".",".",".",".","0.28 (0.08 to  0.96)"
"1.06 (0.21 to  5.24)","0.52 (0.10 to  2.80)","0.78 (0.21 to  2.91)","doxepin",".",".",".","1.35 (0.38 to  4.83)",".",".",".",".",".","."
"0.98 (0.34 to  2.81)","0.48 (0.15 to  1.56)","0.72 (0.42 to  1.24)","0.92 (0.24 to  3.53)","eszopiclone",".",".","1.46 (0.96 to  2.22)",".",".",".",".",".","."
"1.13 (0.40 to  3.17)","0.55 (0.17 to  1.76)","0.83 (0.50 to  1.37)","1.06 (0.28 to  4.00)","1.15 (0.66 to  2.01)","lemborexant",".","1.22 (0.84 to  1.77)",".",".",".",".",".","1.98 (0.42 to  9.40)"
"1.14 (0.22 to  5.92)","0.56 (0.10 to  3.15)","0.84 (0.21 to  3.32)","1.08 (0.17 to  6.79)","1.16 (0.29 to  4.70)","1.01 (0.25 to  4.02)","melatonin","1.26 (0.33 to  4.76)",".",".",".",".",".","."
"1.44 (0.55 to  3.78)","0.70 (0.23 to  2.12)","1.05 (0.74 to  1.49)","1.35 (0.38 to  4.83)","1.46 (0.96 to  2.22)","1.27 (0.88 to  1.83)","1.26 (0.33 to  4.76)","placebo","0.84 (0.59 to  1.19)","0.57 (0.07 to  4.96)","1.18 (0.72 to  1.94)",".","1.65 (0.55 to  4.93)","0.71 (0.46 to  1.11)"
"1.20 (0.43 to  3.37)","0.59 (0.19 to  1.87)","0.88 (0.54 to  1.45)","1.13 (0.30 to  4.25)","1.23 (0.71 to  2.12)","1.07 (0.64 to  1.77)","1.05 (0.27 to  4.18)","0.84 (0.59 to  1.19)","ramelteon",".",".",".",".","."
"0.67 (0.10 to  4.52)","0.33 (0.05 to  2.39)","0.49 (0.09 to  2.70)","0.63 (0.08 to  5.15)","0.68 (0.12 to  3.82)","0.59 (0.11 to  3.27)","0.59 (0.07 to  4.97)","0.47 (0.09 to  2.48)","0.56 (0.10 to  3.07)","seltorexant",".",".",".","1.71 (0.20 to 14.85)"
"1.70 (0.57 to  5.04)","0.83 (0.25 to  2.78)","1.25 (0.68 to  2.28)","1.60 (0.41 to  6.27)","1.73 (0.91 to  3.31)","1.50 (0.81 to  2.79)","1.49 (0.36 to  6.16)","1.18 (0.72 to  1.94)","1.41 (0.77 to  2.59)","2.53 (0.44 to 14.40)","suvorexant",".",".","."
"1.17 (0.05 to 29.34)","0.57 (0.02 to 18.68)","0.86 (0.03 to 25.21)","1.10 (0.03 to 40.20)","1.19 (0.04 to 35.35)","1.04 (0.04 to 30.50)","1.03 (0.03 to 38.16)","0.82 (0.03 to 23.54)","0.97 (0.03 to 28.60)","1.75 (0.04 to 73.58)","0.69 (0.02 to 20.63)","trazodone",".","."
"2.85 (0.80 to 10.17)","1.39 (0.37 to  5.26)","2.09 (0.80 to  5.45)","2.68 (0.56 to 12.75)","2.90 (1.07 to  7.83)","2.52 (0.96 to  6.63)","2.49 (0.50 to 12.44)","1.98 (0.80 to  4.88)","2.36 (0.90 to  6.22)","4.24 (0.66 to 27.37)","1.67 (0.60 to  4.68)","2.43 (0.08 to 77.38)","zaleplon","0.37 (0.14 to  1.03)"
"0.94 (0.35 to  2.50)","0.46 (0.15 to  1.43)","0.69 (0.40 to  1.17)","0.89 (0.23 to  3.39)","0.96 (0.53 to  1.74)","0.83 (0.48 to  1.44)","0.82 (0.20 to  3.33)","0.65 (0.43 to  1.01)","0.78 (0.45 to  1.36)","1.40 (0.26 to  7.41)","0.55 (0.29 to  1.07)","0.80 (0.03 to 23.19)","0.33 (0.14 to  0.80)","zolpidem"
