"BZD-intermediate","0.68 (0.32 to  1.44)","1.14 (0.49 to  2.65)",".",".",".",".",".","1.06 (0.19 to  5.99)","1.93 (1.22 to  3.04)",".",".",".","1.20 (0.12 to 12.33)",".","2.64 (0.73 to  9.49)","."
"0.66 (0.39 to  1.11)","BZD-long","1.35 (0.63 to  2.88)",".",".",".",".",".",".","3.49 (1.98 to  6.15)",".",".",".",".",".",".","1.11 (0.26 to  4.75)"
"0.92 (0.52 to  1.63)","1.40 (0.81 to  2.42)","BZD-short",".",".",".",".",".",".","2.13 (0.82 to  5.59)",".",".",".",".","0.71 (0.07 to  7.43)","1.77 (0.53 to  5.96)","0.64 (0.10 to  4.15)"
"1.20 (0.38 to  3.73)","1.82 (0.57 to  5.83)","1.30 (0.39 to  4.29)","daridorexant",".",".",".",".",".","1.18 (0.31 to  4.58)",".",".",".",".",".","1.18 (0.31 to  4.58)","."
"1.31 (0.52 to  3.29)","2.00 (0.77 to  5.16)","1.43 (0.53 to  3.84)","1.10 (0.28 to  4.22)","doxepin",".",".",".",".","1.57 (0.69 to  3.57)",".",".",".",".",".",".","."
"0.47 (0.16 to  1.35)","0.71 (0.24 to  2.12)","0.51 (0.16 to  1.56)","0.39 (0.09 to  1.63)","0.35 (0.10 to  1.29)","doxylamine",".",".",".","3.18 (0.92 to 11.05)",".",".",".",".",".","2.74 (0.85 to  8.78)","."
"1.04 (0.56 to  1.95)","1.59 (0.81 to  3.11)","1.14 (0.55 to  2.35)","0.87 (0.27 to  2.81)","0.80 (0.31 to  2.06)","2.25 (0.75 to  6.74)","eszopiclone",".",".","1.97 (1.23 to  3.16)",".",".",".",".",".",".","."
"0.28 (0.13 to  0.61)","0.43 (0.19 to  0.96)","0.31 (0.13 to  0.72)","0.24 (0.07 to  0.82)","0.22 (0.08 to  0.62)","0.61 (0.19 to  1.96)","0.27 (0.12 to  0.61)","lemborexant",".","6.63 (3.18 to 13.80)",".",".",".",".",".","3.85 (1.23 to 12.06)","."
"1.06 (0.19 to  5.99)","1.62 (0.27 to  9.84)","1.16 (0.19 to  7.14)","0.89 (0.11 to  7.04)","0.81 (0.11 to  5.74)","2.28 (0.30 to 17.41)","1.02 (0.16 to  6.39)","3.76 (0.57 to 24.92)","mirtazapine",".",".",".",".",".",".",".","."
"2.06 (1.36 to  3.10)","3.13 (1.95 to  5.02)","2.23 (1.29 to  3.87)","1.72 (0.59 to  5.00)","1.57 (0.69 to  3.57)","4.42 (1.64 to 11.91)","1.97 (1.23 to  3.16)","7.28 (3.79 to 13.97)","1.93 (0.33 to 11.44)","placebo","0.52 (0.35 to  0.77)","0.57 (0.06 to  5.19)","0.47 (0.25 to  0.88)","0.28 (0.11 to  0.73)","0.61 (0.27 to  1.37)","0.46 (0.32 to  0.65)","0.35 (0.04 to  3.02)"
