"daridorexant",".",".",".",".","0.46 (0.19 to   1.16)",".",".",".",".",".","."
"0.09 (0.00 to   2.22)","doxepin",".",".",".","5.06 (0.24 to 107.10)",".",".",".",".",".","."
"0.37 (0.11 to   1.31)","4.07 (0.17 to  96.79)","eszopiclone",".",".","1.24 (0.53 to   2.91)",".",".",".",".",".","."
"0.24 (0.07 to   0.80)","2.58 (0.11 to  60.55)","0.63 (0.20 to   2.04)","lemborexant",".","2.80 (1.17 to   6.69)",".",".",".",".","0.27 (0.06 to   1.28)","."
"0.31 (0.04 to   2.48)","3.42 (0.10 to 121.38)","0.84 (0.11 to   6.44)","1.32 (0.18 to   9.95)","melatonin","1.48 (0.23 to   9.45)",".",".",".",".",".","."
"0.46 (0.19 to   1.16)","5.06 (0.24 to 107.10)","1.24 (0.53 to   2.91)","1.96 (0.88 to   4.36)","1.48 (0.23 to   9.45)","placebo","0.62 (0.19 to   2.05)","0.95 (0.04 to  23.61)","2.87 (0.80 to  10.39)",".","0.59 (0.27 to   1.29)","."
"0.29 (0.06 to   1.30)","3.12 (0.12 to  82.95)","0.77 (0.18 to   3.34)","1.21 (0.29 to   5.12)","0.91 (0.10 to   8.32)","0.62 (0.19 to   2.05)","ramelteon",".",".",".",".","."
"0.58 (0.05 to   6.28)","6.34 (0.15 to 272.06)","1.56 (0.15 to  16.39)","2.45 (0.25 to  24.41)","1.85 (0.10 to  32.81)","1.25 (0.14 to  11.25)","2.03 (0.17 to  24.83)","seltorexant",".",".","0.34 (0.03 to   3.29)","."
"1.34 (0.28 to   6.48)","14.55 (0.53 to 399.03)","3.57 (0.76 to  16.69)","5.63 (1.24 to  25.60)","4.26 (0.45 to  40.61)","2.87 (0.80 to  10.39)","4.66 (0.80 to  27.11)","2.30 (0.18 to  29.24)","suvorexant",".",".","."
"0.07 (0.00 to   2.17)","0.75 (0.01 to  68.41)","0.18 (0.01 to   5.70)","0.29 (0.01 to   8.57)","0.22 (0.00 to   9.88)","0.15 (0.01 to   4.12)","0.24 (0.01 to   8.26)","0.12 (0.00 to   5.77)","0.05 (0.00 to   1.82)","zaleplon","3.13 (0.12 to  80.68)","."
"0.21 (0.07 to   0.69)","2.34 (0.10 to  53.79)","0.57 (0.19 to   1.75)","0.91 (0.35 to   2.35)","0.68 (0.09 to   5.00)","0.46 (0.23 to   0.95)","0.75 (0.18 to   3.04)","0.37 (0.04 to   3.13)","0.16 (0.04 to   0.70)","3.13 (0.12 to  80.68)","zolpidem","3.23 (0.13 to  79.79)"
"0.69 (0.02 to  21.04)","7.56 (0.09 to 670.17)","1.86 (0.06 to  55.31)","2.93 (0.10 to  83.07)","2.21 (0.05 to  96.23)","1.49 (0.06 to  39.92)","2.42 (0.07 to  80.16)","1.19 (0.03 to  56.24)","0.52 (0.02 to  17.70)","10.12 (0.11 to 971.84)","3.23 (0.13 to  79.79)","zopiclone"
