"daridorexant",".",".",".",".","0.47 (0.18 to   1.26)",".",".",".",".",".","."
"0.09 (0.00 to    2.39)","doxepin",".",".",".","5.06 (0.23 to 111.52)",".",".",".",".",".","."
"0.38 (0.10 to    1.44)","4.13 (0.17 to  102.94)","eszopiclone",".",".","1.23 (0.51 to   2.97)",".",".",".",".",".","."
"0.26 (0.07 to    0.96)","2.76 (0.11 to   68.87)","0.67 (0.19 to    2.34)","lemborexant",".","2.67 (1.01 to   7.01)",".",".",".",".","0.27 (0.05 to   1.38)","."
"0.32 (0.04 to    2.70)","3.45 (0.09 to  129.52)","0.84 (0.10 to    6.75)","1.25 (0.16 to   10.06)","melatonin","1.47 (0.22 to   9.70)",".",".",".",".",".","."
"0.47 (0.18 to    1.26)","5.06 (0.23 to  111.52)","1.23 (0.51 to    2.97)","1.83 (0.76 to    4.42)","1.47 (0.22 to    9.70)","placebo","0.63 (0.18 to   2.16)","0.95 (0.04 to  24.53)","2.91 (0.77 to  11.04)",".","0.59 (0.26 to   1.38)","."
"0.29 (0.06 to    1.43)","3.16 (0.11 to   88.49)","0.77 (0.17 to    3.51)","1.14 (0.25 to    5.23)","0.92 (0.10 to    8.77)","0.63 (0.18 to    2.16)","ramelteon",".",".",".",".","."
"0.59 (0.05 to    6.87)","6.32 (0.14 to  290.08)","1.53 (0.14 to   17.24)","2.29 (0.21 to   24.47)","1.83 (0.10 to   34.63)","1.25 (0.13 to   11.88)","2.00 (0.15 to   26.13)","seltorexant",".",".","0.34 (0.03 to   3.47)","."
"1.37 (0.26 to    7.19)","14.72 (0.51 to  427.09)","3.57 (0.72 to   17.69)","5.32 (1.08 to   26.36)","4.26 (0.42 to   43.06)","2.91 (0.77 to   11.04)","4.65 (0.75 to   28.73)","2.33 (0.17 to   31.89)","suvorexant",".",".","."
"0.07 (0.00 to    2.35)","0.75 (0.01 to   73.08)","0.18 (0.01 to    5.97)","0.27 (0.01 to    8.51)","0.22 (0.00 to   10.41)","0.15 (0.01 to    4.34)","0.24 (0.01 to    8.66)","0.12 (0.00 to    6.13)","0.05 (0.00 to    1.93)","zaleplon","3.13 (0.12 to  83.81)","."
"0.22 (0.06 to    0.77)","2.34 (0.10 to   56.86)","0.57 (0.17 to    1.85)","0.85 (0.30 to    2.39)","0.68 (0.09 to    5.24)","0.46 (0.21 to    1.01)","0.74 (0.17 to    3.20)","0.37 (0.04 to    3.29)","0.16 (0.03 to    0.75)","3.13 (0.12 to   83.81)","zolpidem","3.23 (0.13 to  82.93)"
"0.70 (0.02 to   22.83)","7.57 (0.08 to  716.27)","1.83 (0.06 to   57.95)","2.74 (0.09 to   82.56)","2.19 (0.05 to  101.48)","1.49 (0.05 to   42.10)","2.39 (0.07 to   84.12)","1.20 (0.02 to   59.79)","0.51 (0.01 to   18.72)","10.12 (0.10 to 1025.89)","3.23 (0.13 to   82.93)","zopiclone"
