"BZD-intermediate","-0.03 (-0.38 to  0.32)","-0.05 (-0.43 to  0.33)",".",".",".",".",".",".","0.20 (-0.42 to  0.82)","-0.96 (-1.18 to -0.74)",".",".",".","0.03 (-0.53 to  0.60)",".","-0.04 (-0.42 to  0.34)","0.11 (-0.36 to  0.57)"
"-0.17 (-0.41 to  0.06)","BZD-long","0.15 (-0.20 to  0.50)",".",".",".",".",".",".",".","-0.57 (-0.87 to -0.27)",".",".",".",".",".","-0.39 (-0.94 to  0.17)","-0.13 (-1.20 to  0.95)"
"-0.14 (-0.41 to  0.13)","0.03 (-0.24 to  0.30)","BZD-short",".",".",".",".",".",".",".","-0.25 (-0.64 to  0.14)",".",".",".",".",".","0.21 (-0.33 to  0.75)","."
"-0.69 (-1.16 to -0.22)","-0.52 (-1.01 to -0.03)","-0.55 (-1.06 to -0.04)","daridorexant",".",".",".",".",".",".","-0.01 (-0.53 to  0.51)",".",".",".",".",".","0.26 (-0.26 to  0.78)","."
"-0.64 (-1.23 to -0.05)","-0.46 (-1.07 to  0.14)","-0.50 (-1.12 to  0.12)","0.05 (-0.66 to  0.77)","diphenydramine",".",".",".",".",".","-0.12 (-0.68 to  0.44)",".",".",".",".",".",".","."
"-0.76 (-1.11 to -0.41)","-0.58 (-0.96 to -0.21)","-0.62 (-1.02 to -0.21)","-0.07 (-0.60 to  0.47)","-0.12 (-0.76 to  0.52)","doxepin",".",".",".",".","-0.00 (-0.30 to  0.30)",".",".",".",".",".",".","."
"-0.37 (-0.64 to -0.11)","-0.20 (-0.49 to  0.10)","-0.23 (-0.56 to  0.10)","0.32 (-0.16 to  0.80)","0.27 (-0.33 to  0.86)","0.39 ( 0.03 to  0.74)","eszopiclone",".",".",".","-0.39 (-0.58 to -0.19)",".",".",".",".",".",".","."
"-0.30 (-0.62 to  0.02)","-0.13 (-0.47 to  0.22)","-0.16 (-0.53 to  0.22)","0.39 (-0.12 to  0.90)","0.34 (-0.28 to  0.96)","0.46 ( 0.06 to  0.86)","0.07 (-0.26 to  0.40)","lemborexant",".",".","-0.41 (-0.70 to -0.13)",".",".",".",".",".","-0.20 (-0.66 to  0.27)","."
"-0.80 (-1.17 to -0.42)","-0.62 (-1.02 to -0.22)","-0.65 (-1.08 to -0.23)","-0.10 (-0.66 to  0.45)","-0.16 (-0.81 to  0.49)","-0.04 (-0.49 to  0.41)","-0.42 (-0.81 to -0.04)","-0.50 (-0.92 to -0.07)","melatonin",".","0.04 (-0.30 to  0.37)",".",".",".",".",".",".","."
"0.20 (-0.42 to  0.82)","0.37 (-0.29 to  1.04)","0.34 (-0.34 to  1.01)","0.89 ( 0.11 to  1.67)","0.83 (-0.02 to  1.69)","0.95 ( 0.24 to  1.67)","0.57 (-0.11 to  1.24)","0.50 (-0.20 to  1.19)","0.99 ( 0.27 to  1.72)","mirtazapine",".",".",".",".",".",".",".","."
