"BZD-intermediate","-0.24 (-0.47 to -0.01)","-0.16 (-0.41 to  0.09)",".",".",".",".",".","0.86 ( 0.74 to  0.98)",".",".",".",".",".","0.28 (-0.37 to  0.93)",".","-0.01 (-0.29 to  0.27)","."
"0.01 (-0.15 to  0.17)","BZD-long","-0.40 (-0.71 to -0.10)",".",".",".",".",".","0.74 ( 0.53 to  0.95)",".",".",".",".",".",".",".",".","0.03 (-0.32 to  0.39)"
"-0.27 (-0.46 to -0.07)","-0.28 (-0.49 to -0.07)","BZD-short",".",".",".",".",".","1.18 ( 0.57 to  1.80)",".",".",".",".",".",".",".",".","."
"0.54 ( 0.40 to  0.68)","0.53 ( 0.35 to  0.72)","0.81 ( 0.58 to  1.04)","daridorexant",".",".",".",".","0.24 ( 0.15 to  0.34)",".",".",".",".",".",".",".","-0.18 (-0.49 to  0.13)","."
"0.32 ( 0.07 to  0.58)","0.31 ( 0.04 to  0.59)","0.59 ( 0.28 to  0.90)","-0.22 (-0.47 to  0.03)","doxylamine",".",".",".","0.60 ( 0.33 to  0.87)",".",".",".",".",".",".",".","-0.10 (-0.36 to  0.16)","."
"0.08 (-0.06 to  0.22)","0.07 (-0.11 to  0.25)","0.35 ( 0.12 to  0.58)","-0.46 (-0.60 to -0.33)","-0.25 (-0.50 to  0.00)","eszopiclone",".",".","0.74 ( 0.63 to  0.85)",".",".",".",".",".",".",".",".","0.04 (-0.15 to  0.23)"
"0.44 ( 0.30 to  0.58)","0.43 ( 0.24 to  0.61)","0.71 ( 0.48 to  0.93)","-0.10 (-0.24 to  0.03)","0.11 (-0.13 to  0.36)","0.36 ( 0.22 to  0.50)","lemborexant",".","0.33 ( 0.22 to  0.44)",".",".",".",".",".",".",".","-0.03 (-0.18 to  0.13)","."
"0.61 ( 0.44 to  0.79)","0.60 ( 0.39 to  0.82)","0.88 ( 0.63 to  1.13)","0.07 (-0.10 to  0.25)","0.29 ( 0.02 to  0.56)","0.54 ( 0.36 to  0.71)","0.18 ( 0.00 to  0.35)","melatonin","0.18 ( 0.03 to  0.32)",".",".",".",".",".",".",".",".","."
"0.79 ( 0.69 to  0.90)","0.78 ( 0.62 to  0.94)","1.06 ( 0.85 to  1.27)","0.25 ( 0.16 to  0.35)","0.47 ( 0.24 to  0.70)","0.71 ( 0.62 to  0.81)","0.35 ( 0.26 to  0.45)","0.18 ( 0.03 to  0.32)","placebo","-0.05 (-1.14 to  1.04)","-0.18 (-0.30 to -0.07)","-0.33 (-0.60 to -0.06)","-0.31 (-0.43 to -0.19)","-0.22 (-0.51 to  0.06)","-0.73 (-1.39 to -0.07)","-0.01 (-0.17 to  0.16)","-0.42 (-0.49 to -0.35)","-0.66 (-0.85 to -0.47)"
"0.74 (-0.35 to  1.84)","0.73 (-0.37 to  1.83)","1.01 (-0.10 to  2.12)","0.20 (-0.89 to  1.30)","0.42 (-0.70 to  1.53)","0.66 (-0.43 to  1.76)","0.30 (-0.79 to  1.40)","0.13 (-0.97 to  1.23)","-0.05 (-1.14 to  1.04)","quetiapine",".",".",".",".",".",".",".","."
