Separate indirect from direct evidence (SIDE) using back-calculation method

Fixed effects model: 

                    comparison  k prop   nma direct indir.  Diff     z p-value
     BZD-intermediate:BZD-long  2 0.50  0.01  -0.24   0.26 -0.50 -3.02  0.0025
    BZD-intermediate:BZD-short  1 0.60 -0.27  -0.16  -0.43  0.27  1.32  0.1881
 BZD-intermediate:daridorexant  0    0  0.54      .   0.54     .     .       .
   BZD-intermediate:doxylamine  0    0  0.32      .   0.32     .     .       .
  BZD-intermediate:eszopiclone  0    0  0.08      .   0.08     .     .       .
  BZD-intermediate:lemborexant  0    0  0.44      .   0.44     .     .       .
    BZD-intermediate:melatonin  0    0  0.61      .   0.61     .     .       .
      BZD-intermediate:placebo  8 0.79  0.79   0.86   0.53  0.33  2.47  0.0136
   BZD-intermediate:quetiapine  0    0  0.74      .   0.74     .     .       .
    BZD-intermediate:ramelteon  0    0  0.61      .   0.61     .     .       .
  BZD-intermediate:seltorexant  0    0  0.35      .   0.35     .     .       .
   BZD-intermediate:suvorexant  0    0  0.48      .   0.48     .     .       .
    BZD-intermediate:trazodone  0    0  0.44      .   0.44     .     .       .
 BZD-intermediate:trimipramine  1 0.75  0.18   0.28  -0.13  0.41  0.62  0.5342
     BZD-intermediate:zaleplon  0    0  0.64      .   0.64     .     .       .
     BZD-intermediate:zolpidem  1 0.18  0.34  -0.01   0.41 -0.43 -2.70  0.0070
    BZD-intermediate:zopiclone  0    0  0.20      .   0.20     .     .       .
            BZD-long:BZD-short  4 0.47 -0.28  -0.40  -0.16 -0.24 -1.11  0.2663
         BZD-long:daridorexant  0    0  0.53      .   0.53     .     .       .
           BZD-long:doxylamine  0    0  0.31      .   0.31     .     .       .
          BZD-long:eszopiclone  0    0  0.07      .   0.07     .     .       .
          BZD-long:lemborexant  0    0  0.43      .   0.43     .     .       .
            BZD-long:melatonin  0    0  0.60      .   0.60     .     .       .
              BZD-long:placebo  4 0.57  0.78   0.74   0.84 -0.10 -0.62  0.5367
           BZD-long:quetiapine  0    0  0.73      .   0.73     .     .       .
            BZD-long:ramelteon  0    0  0.60      .   0.60     .     .       .
          BZD-long:seltorexant  0    0  0.34      .   0.34     .     .       .
           BZD-long:suvorexant  0    0  0.47      .   0.47     .     .       .
            BZD-long:trazodone  0    0  0.43      .   0.43     .     .       .
         BZD-long:trimipramine  0    0  0.17      .   0.17     .     .       .
             BZD-long:zaleplon  0    0  0.63      .   0.63     .     .       .
             BZD-long:zolpidem  0    0  0.33      .   0.33     .     .       .
            BZD-long:zopiclone  2 0.26  0.19   0.03   0.25 -0.22 -1.02  0.3055
        BZD-short:daridorexant  0    0  0.81      .   0.81     .     .       .
          BZD-short:doxylamine  0    0  0.59      .   0.59     .     .       .
         BZD-short:eszopiclone  0    0  0.35      .   0.35     .     .       .
         BZD-short:lemborexant  0    0  0.71      .   0.71     .     .       .
           BZD-short:melatonin  0    0  0.88      .   0.88     .     .       .
             BZD-short:placebo  1 0.12  1.06   1.18   1.04  0.14  0.42  0.6755
          BZD-short:quetiapine  0    0  1.01      .   1.01     .     .       .
           BZD-short:ramelteon  0    0  0.88      .   0.88     .     .       .
         BZD-short:seltorexant  0    0  0.62      .   0.62     .     .       .
          BZD-short:suvorexant  0    0  0.75      .   0.75     .     .       .
           BZD-short:trazodone  0    0  0.71      .   0.71     .     .       .
        BZD-short:trimipramine  0    0  0.44      .   0.44     .     .       .
            BZD-short:zaleplon  0    0  0.91      .   0.91     .     .       .
            BZD-short:zolpidem  0    0  0.61      .   0.61     .     .       .
           BZD-short:zopiclone  0    0  0.47      .   0.47     .     .       .
       daridorexant:doxylamine  0    0 -0.22      .  -0.22     .     .       .
      daridorexant:eszopiclone  0    0 -0.46      .  -0.46     .     .       .
      daridorexant:lemborexant  0    0 -0.10      .  -0.10     .     .       .
        daridorexant:melatonin  0    0  0.07      .   0.07     .     .       .
          daridorexant:placebo  3 0.95  0.25   0.24   0.38 -0.14 -0.58  0.5588
       daridorexant:quetiapine  0    0  0.20      .   0.20     .     .       .
        daridorexant:ramelteon  0    0  0.07      .   0.07     .     .       .
      daridorexant:seltorexant  0    0 -0.19      .  -0.19     .     .       .
       daridorexant:suvorexant  0    0 -0.06      .  -0.06     .     .       .
        daridorexant:trazodone  0    0 -0.10      .  -0.10     .     .       .
     daridorexant:trimipramine  0    0 -0.37      .  -0.37     .     .       .
         daridorexant:zaleplon  0    0  0.10      .   0.10     .     .       .
         daridorexant:zolpidem  1 0.13 -0.20  -0.18  -0.21  0.03  0.16  0.8711
        daridorexant:zopiclone  0    0 -0.34      .  -0.34     .     .       .
        doxylamine:eszopiclone  0    0 -0.25      .  -0.25     .     .       .
        doxylamine:lemborexant  0    0  0.11      .   0.11     .     .       .
          doxylamine:melatonin  0    0  0.29      .   0.29     .     .       .
            doxylamine:placebo  1 0.73  0.47   0.60   0.11  0.49  1.86  0.0634
         doxylamine:quetiapine  0    0  0.42      .   0.42     .     .       .
          doxylamine:ramelteon  0    0  0.28      .   0.28     .     .       .
        doxylamine:seltorexant  0    0  0.03      .   0.03     .     .       .
         doxylamine:suvorexant  0    0  0.15      .   0.15     .     .       .
          doxylamine:trazodone  0    0  0.12      .   0.12     .     .       .
       doxylamine:trimipramine  0    0 -0.15      .  -0.15     .     .       .
           doxylamine:zaleplon  0    0  0.32      .   0.32     .     .       .
           doxylamine:zolpidem  1 0.78  0.01  -0.10   0.43 -0.53 -1.86  0.0634
          doxylamine:zopiclone  0    0 -0.12      .  -0.12     .     .       .
       eszopiclone:lemborexant  0    0  0.36      .   0.36     .     .       .
         eszopiclone:melatonin  0    0  0.54      .   0.54     .     .       .
           eszopiclone:placebo  3 0.82  0.71   0.74   0.59  0.15  1.14  0.2541
        eszopiclone:quetiapine  0    0  0.66      .   0.66     .     .       .
         eszopiclone:ramelteon  0    0  0.53      .   0.53     .     .       .
       eszopiclone:seltorexant  0    0  0.28      .   0.28     .     .       .
        eszopiclone:suvorexant  0    0  0.40      .   0.40     .     .       .
         eszopiclone:trazodone  0    0  0.36      .   0.36     .     .       .
      eszopiclone:trimipramine  0    0  0.10      .   0.10     .     .       .
          eszopiclone:zaleplon  0    0  0.57      .   0.57     .     .       .
          eszopiclone:zolpidem  0    0  0.26      .   0.26     .     .       .
         eszopiclone:zopiclone  2 0.44  0.12   0.04   0.19 -0.15 -1.14  0.2541
         lemborexant:melatonin  0    0  0.18      .   0.18     .     .       .
           lemborexant:placebo  2 0.81  0.35   0.33   0.45 -0.12 -0.99  0.3208
        lemborexant:quetiapine  0    0  0.30      .   0.30     .     .       .
         lemborexant:ramelteon  0    0  0.17      .   0.17     .     .       .
       lemborexant:seltorexant  0    0 -0.08      .  -0.08     .     .       .
        lemborexant:suvorexant  0    0  0.04      .   0.04     .     .       .
         lemborexant:trazodone  0    0  0.00      .   0.00     .     .       .
      lemborexant:trimipramine  0    0 -0.26      .  -0.26     .     .       .
          lemborexant:zaleplon  0    0  0.21      .   0.21     .     .       .
          lemborexant:zolpidem  1 0.46 -0.10  -0.03  -0.16  0.13  1.25  0.2104
         lemborexant:zopiclone  0    0 -0.24      .  -0.24     .     .       .
             melatonin:placebo  2 1.00  0.18   0.18      .     .     .       .
          melatonin:quetiapine  0    0  0.13      .   0.13     .     .       .
           melatonin:ramelteon  0    0 -0.01      .  -0.01     .     .       .
         melatonin:seltorexant  0    0 -0.26      .  -0.26     .     .       .
          melatonin:suvorexant  0    0 -0.14      .  -0.14     .     .       .
           melatonin:trazodone  0    0 -0.17      .  -0.17     .     .       .
        melatonin:trimipramine  0    0 -0.44      .  -0.44     .     .       .
            melatonin:zaleplon  0    0  0.03      .   0.03     .     .       .
            melatonin:zolpidem  0    0 -0.28      .  -0.28     .     .       .
           melatonin:zopiclone  0    0 -0.41      .  -0.41     .     .       .
            quetiapine:placebo  1 1.00  0.05   0.05      .     .     .       .
             ramelteon:placebo  2 1.00  0.18   0.18      .     .     .       .
