"BZD-intermediate","-0.24 (-0.63 to  0.14)","-0.16 (-0.67 to  0.34)",".",".",".",".",".","0.79 ( 0.58 to  1.00)",".",".",".",".",".","0.28 (-0.50 to  1.06)",".","-0.01 (-0.53 to  0.51)","."
"-0.01 (-0.27 to  0.25)","BZD-long","-0.39 (-0.78 to -0.01)",".",".",".",".",".","0.75 ( 0.44 to  1.06)",".",".",".",".",".",".",".",".","0.01 (-0.48 to  0.50)"
"-0.33 (-0.66 to -0.01)","-0.32 (-0.63 to -0.02)","BZD-short",".",".",".",".",".","1.18 ( 0.43 to  1.94)",".",".",".",".",".",".",".",".","."
"0.51 ( 0.18 to  0.83)","0.52 ( 0.16 to  0.88)","0.84 ( 0.42 to  1.26)","daridorexant",".",".",".",".","0.21 (-0.07 to  0.49)",".",".",".",".",".",".",".","-0.18 (-0.71 to  0.36)","."
"0.28 (-0.21 to  0.76)","0.29 (-0.22 to  0.79)","0.61 ( 0.06 to  1.16)","-0.23 (-0.75 to  0.28)","doxylamine",".",".",".","0.60 ( 0.09 to  1.11)",".",".",".",".",".",".",".","-0.10 (-0.61 to  0.41)","."
"0.07 (-0.24 to  0.37)","0.08 (-0.25 to  0.41)","0.40 ( 0.00 to  0.80)","-0.44 (-0.80 to -0.08)","-0.21 (-0.72 to  0.30)","eszopiclone",".",".","0.69 ( 0.40 to  0.98)",".",".",".",".",".",".",".",".","0.04 (-0.32 to  0.40)"
"0.39 ( 0.03 to  0.74)","0.40 ( 0.01 to  0.79)","0.72 ( 0.28 to  1.16)","-0.12 (-0.52 to  0.28)","0.11 (-0.42 to  0.65)","0.32 (-0.07 to  0.71)","lemborexant",".","0.34 ( 0.01 to  0.66)",".",".",".",".",".",".",".","-0.03 (-0.49 to  0.43)","."
"0.71 ( 0.28 to  1.15)","0.73 ( 0.26 to  1.19)","1.05 ( 0.54 to  1.56)","0.21 (-0.27 to  0.68)","0.44 (-0.16 to  1.03)","0.65 ( 0.18 to  1.11)","0.33 (-0.17 to  0.82)","melatonin","0.02 (-0.37 to  0.42)",".",".",".",".",".",".",".",".","."
"0.74 ( 0.55 to  0.92)","0.75 ( 0.51 to  0.99)","1.07 ( 0.74 to  1.39)","0.23 (-0.04 to  0.49)","0.46 ( 0.01 to  0.91)","0.67 ( 0.42 to  0.92)","0.35 ( 0.04 to  0.65)","0.02 (-0.37 to  0.42)","placebo","-0.05 (-1.23 to  1.12)","-0.17 (-0.51 to  0.16)","-0.33 (-0.84 to  0.19)","-0.31 (-0.64 to  0.02)","-0.22 (-0.75 to  0.30)","-0.73 (-1.52 to  0.06)","-0.01 (-0.36 to  0.34)","-0.39 (-0.53 to -0.25)","-0.66 (-1.14 to -0.19)"
"0.68 (-0.50 to  1.87)","0.70 (-0.50 to  1.90)","1.02 (-0.20 to  2.24)","0.18 (-1.03 to  1.38)","0.41 (-0.85 to  1.67)","0.62 (-0.58 to  1.82)","0.30 (-0.92 to  1.51)","-0.03 (-1.27 to  1.21)","-0.05 (-1.23 to  1.12)","quetiapine",".",".",".",".",".",".",".","."
"0.56 ( 0.18 to  0.95)","0.58 ( 0.16 to  0.99)","0.90 ( 0.43 to  1.36)","0.06 (-0.37 to  0.48)","0.29 (-0.27 to  0.85)","0.50 ( 0.08 to  0.91)","0.18 (-0.28 to  0.63)","-0.15 (-0.67 to  0.37)","-0.17 (-0.51 to  0.16)","-0.12 (-1.34 to  1.10)","ramelteon",".",".",".",".",".",".","."
"0.31 (-0.16 to  0.79)","0.32 (-0.18 to  0.82)","0.64 ( 0.10 to  1.19)","-0.20 (-0.71 to  0.31)","0.04 (-0.58 to  0.66)","0.25 (-0.26 to  0.75)","-0.08 (-0.61 to  0.45)","-0.40 (-0.99 to  0.19)","-0.42 (-0.86 to  0.02)","-0.37 (-1.63 to  0.88)","-0.25 (-0.81 to  0.30)","seltorexant",".",".",".",".","0.10 (-0.42 to  0.61)","."
"0.42 ( 0.04 to  0.80)","0.43 ( 0.02 to  0.84)","0.75 ( 0.29 to  1.22)","-0.09 (-0.51 to  0.34)","0.15 (-0.41 to  0.70)","0.36 (-0.06 to  0.77)","0.03 (-0.42 to  0.48)","-0.29 (-0.81 to  0.22)","-0.31 (-0.64 to  0.02)","-0.26 (-1.48 to  0.96)","-0.14 (-0.61 to  0.33)","0.11 (-0.44 to  0.66)","suvorexant",".",".",".",".","."
"0.40 (-0.10 to  0.89)","0.41 (-0.11 to  0.92)","0.73 ( 0.17 to  1.29)","-0.11 (-0.64 to  0.41)","0.12 (-0.51 to  0.75)","0.33 (-0.19 to  0.85)","0.01 (-0.54 to  0.55)","-0.32 (-0.92 to  0.29)","-0.34 (-0.80 to  0.12)","-0.29 (-1.55 to  0.97)","-0.17 (-0.74 to  0.40)","0.08 (-0.54 to  0.71)","-0.03 (-0.59 to  0.54)","trazodone",".",".","0.03 (-0.49 to  0.56)","."
"0.15 (-0.53 to  0.83)","0.16 (-0.55 to  0.87)","0.48 (-0.26 to  1.22)","-0.36 (-1.09 to  0.37)","-0.13 (-0.94 to  0.68)","0.08 (-0.64 to  0.80)","-0.24 (-0.98 to  0.50)","-0.57 (-1.35 to  0.22)","-0.59 (-1.27 to  0.09)","-0.54 (-1.90 to  0.82)","-0.42 (-1.18 to  0.34)","-0.16 (-0.97 to  0.64)","-0.27 (-1.03 to  0.48)","-0.25 (-1.07 to  0.57)","trimipramine",".",".","."
