"BZD-intermediate","-0.24 (-0.47 to -0.01)","-0.16 (-0.41 to  0.09)",".",".",".","0.12 (-0.30 to  0.55)",".",".","-0.33 (-0.79 to  0.14)","0.78 ( 0.67 to  0.89)",".",".",".","-0.14 (-0.50 to  0.21)","0.28 (-0.37 to  0.93)",".","-0.07 (-0.31 to  0.17)","."
"-0.05 (-0.21 to  0.11)","BZD-long","-0.43 (-0.74 to -0.13)",".",".",".",".",".",".",".","0.74 ( 0.53 to  0.95)",".",".",".",".",".",".",".","0.03 (-0.32 to  0.39)"
"-0.31 (-0.50 to -0.11)","-0.26 (-0.47 to -0.05)","BZD-short",".",".",".",".",".",".",".","1.18 ( 0.57 to  1.80)",".",".",".",".",".",".",".","."
"0.43 ( 0.30 to  0.57)","0.48 ( 0.30 to  0.66)","0.74 ( 0.51 to  0.97)","daridorexant",".",".",".",".",".",".","0.26 ( 0.16 to  0.35)",".",".",".",".",".",".","-0.03 (-0.34 to  0.28)","."
"0.18 (-0.19 to  0.55)","0.22 (-0.17 to  0.61)","0.48 ( 0.07 to  0.90)","-0.26 (-0.63 to  0.11)","diphenydramine",".",".",".",".",".","0.53 ( 0.17 to  0.89)",".",".",".",".",".",".",".","."
"0.20 (-0.05 to  0.45)","0.25 (-0.03 to  0.53)","0.51 ( 0.20 to  0.82)","-0.23 (-0.48 to  0.02)","0.02 (-0.40 to  0.45)","doxylamine",".",".",".",".","0.60 ( 0.33 to  0.87)",".",".",".",".",".",".","-0.10 (-0.36 to  0.16)","."
"-0.01 (-0.13 to  0.12)","0.04 (-0.14 to  0.22)","0.30 ( 0.08 to  0.53)","-0.44 (-0.57 to -0.30)","-0.18 (-0.55 to  0.19)","-0.21 (-0.45 to  0.04)","eszopiclone",".",".",".","0.73 ( 0.62 to  0.83)",".",".",".",".",".",".",".","0.04 (-0.15 to  0.23)"
"0.29 ( 0.16 to  0.42)","0.34 ( 0.15 to  0.52)","0.60 ( 0.37 to  0.82)","-0.14 (-0.28 to -0.01)","0.11 (-0.26 to  0.48)","0.09 (-0.16 to  0.34)","0.30 ( 0.16 to  0.43)","lemborexant",".",".","0.38 ( 0.28 to  0.49)",".",".",".",".",".",".","-0.04 (-0.18 to  0.11)","."
"0.66 ( 0.47 to  0.84)","0.70 ( 0.48 to  0.93)","0.96 ( 0.70 to  1.22)","0.22 ( 0.04 to  0.41)","0.48 ( 0.09 to  0.87)","0.46 ( 0.18 to  0.74)","0.66 ( 0.48 to  0.85)","0.37 ( 0.18 to  0.55)","melatonin",".","0.05 (-0.11 to  0.21)",".",".",".",".",".",".",".","."
"-0.33 (-0.79 to  0.14)","-0.28 (-0.77 to  0.21)","-0.02 (-0.52 to  0.49)","-0.76 (-1.24 to -0.28)","-0.50 (-1.10 to  0.09)","-0.53 (-1.05 to  0.00)","-0.32 (-0.80 to  0.16)","-0.62 (-1.10 to -0.13)","-0.98 (-1.48 to -0.48)","mirtazapine",".",".",".",".",".",".",".",".","."
