"BZD-intermediate","-0.24 (-0.65 to  0.16)","-0.16 (-0.70 to  0.38)",".",".",".","0.12 (-0.51 to  0.76)",".",".","-0.33 (-0.99 to  0.34)","0.74 ( 0.53 to  0.95)",".",".",".","-0.14 (-0.74 to  0.45)","0.28 (-0.52 to  1.08)",".","-0.11 (-0.50 to  0.28)","."
"-0.07 (-0.33 to  0.20)","BZD-long","-0.42 (-0.82 to -0.02)",".",".",".",".",".",".",".","0.76 ( 0.43 to  1.08)",".",".",".",".",".",".",".","0.01 (-0.50 to  0.51)"
"-0.39 (-0.73 to -0.06)","-0.33 (-0.64 to -0.01)","BZD-short",".",".",".",".",".",".",".","1.18 ( 0.41 to  1.96)",".",".",".",".",".",".",".","."
"0.38 ( 0.05 to  0.71)","0.44 ( 0.07 to  0.82)","0.77 ( 0.33 to  1.21)","daridorexant",".",".",".",".",".",".","0.24 (-0.06 to  0.54)",".",".",".",".",".",".","-0.03 (-0.60 to  0.53)","."
"0.14 (-0.48 to  0.75)","0.20 (-0.44 to  0.85)","0.53 (-0.15 to  1.21)","-0.24 (-0.90 to  0.41)","diphenydramine",".",".",".",".",".","0.53 (-0.06 to  1.12)",".",".",".",".",".",".",".","."
"0.15 (-0.35 to  0.65)","0.22 (-0.31 to  0.75)","0.55 (-0.03 to  1.12)","-0.22 (-0.77 to  0.33)","0.02 (-0.74 to  0.78)","doxylamine",".",".",".",".","0.60 ( 0.06 to  1.14)",".",".",".",".",".",".","-0.10 (-0.64 to  0.44)","."
"0.00 (-0.28 to  0.28)","0.07 (-0.26 to  0.40)","0.40 (-0.01 to  0.80)","-0.37 (-0.75 to  0.00)","-0.13 (-0.77 to  0.51)","-0.15 (-0.68 to  0.38)","eszopiclone",".",".",".","0.68 ( 0.36 to  0.99)",".",".",".",".",".",".",".","0.04 (-0.34 to  0.43)"
"0.25 (-0.11 to  0.61)","0.32 (-0.09 to  0.73)","0.64 ( 0.18 to  1.11)","-0.13 (-0.56 to  0.30)","0.12 (-0.56 to  0.79)","0.10 (-0.47 to  0.67)","0.25 (-0.16 to  0.65)","lemborexant",".",".","0.38 ( 0.03 to  0.73)",".",".",".",".",".",".","-0.04 (-0.53 to  0.46)","."
"0.66 ( 0.21 to  1.11)","0.73 ( 0.24 to  1.21)","1.05 ( 0.51 to  1.59)","0.28 (-0.23 to  0.79)","0.52 (-0.20 to  1.25)","0.51 (-0.13 to  1.14)","0.66 ( 0.17 to  1.14)","0.41 (-0.12 to  0.94)","melatonin",".","0.01 (-0.41 to  0.43)",".",".",".",".",".",".",".","."
"-0.33 (-0.99 to  0.34)","-0.26 (-0.97 to  0.45)","0.07 (-0.68 to  0.81)","-0.70 (-1.44 to  0.04)","-0.46 (-1.37 to  0.44)","-0.48 (-1.31 to  0.35)","-0.33 (-1.05 to  0.39)","-0.58 (-1.33 to  0.18)","-0.98 (-1.79 to -0.18)","mirtazapine",".",".",".",".",".",".",".",".","."
