"BZD-intermediate","0.13 (-0.14 to  0.40)",".",".",".",".","0.41 ( 0.12 to  0.70)",".",".",".","."
"0.09 (-0.15 to  0.33)","BZD-long","-0.43 (-0.80 to -0.07)",".",".",".","0.48 ( 0.28 to  0.69)",".",".",".","0.11 (-0.21 to  0.43)"
"-0.18 (-0.50 to  0.15)","-0.27 (-0.52 to -0.02)","BZD-short",".",".",".","0.84 ( 0.23 to  1.45)",".",".","-0.04 (-0.36 to  0.27)","0.26 (-0.31 to  0.83)"
"0.25 (-0.08 to  0.58)","0.16 (-0.13 to  0.44)","0.42 ( 0.09 to  0.76)","doxepin",".",".","0.29 ( 0.07 to  0.50)",".",".",".","."
"0.16 (-0.12 to  0.45)","0.07 (-0.16 to  0.30)","0.34 ( 0.05 to  0.63)","-0.08 (-0.34 to  0.17)","eszopiclone",".","0.37 ( 0.23 to  0.51)",".",".",".","."
"0.33 ( 0.02 to  0.65)","0.24 (-0.03 to  0.52)","0.51 ( 0.19 to  0.83)","0.09 (-0.21 to  0.38)","0.17 (-0.08 to  0.41)","melatonin","0.20 ( 0.00 to  0.40)",".",".",".","."
"0.53 ( 0.29 to  0.78)","0.44 ( 0.26 to  0.63)","0.71 ( 0.46 to  0.96)","0.29 ( 0.07 to  0.50)","0.37 ( 0.23 to  0.51)","0.20 ( 0.00 to  0.40)","placebo","-0.01 (-0.24 to  0.22)","-0.24 (-0.42 to -0.06)","-0.62 (-0.86 to -0.37)","-0.53 (-1.05 to  0.00)"
"0.52 ( 0.19 to  0.86)","0.43 ( 0.14 to  0.73)","0.70 ( 0.36 to  1.04)","0.28 (-0.04 to  0.59)","0.36 ( 0.09 to  0.63)","0.19 (-0.12 to  0.50)","-0.01 (-0.24 to  0.22)","ramelteon",".",".","."
"0.26 (-0.04 to  0.55)","0.16 (-0.08 to  0.41)","0.43 ( 0.15 to  0.71)","0.01 (-0.27 to  0.29)","0.09 (-0.13 to  0.31)","-0.08 (-0.34 to  0.19)","-0.28 (-0.45 to -0.11)","-0.27 (-0.56 to  0.02)","zaleplon","-0.22 (-0.47 to  0.04)","."
"-0.09 (-0.40 to  0.22)","-0.18 (-0.43 to  0.07)","0.09 (-0.16 to  0.34)","-0.34 (-0.63 to -0.04)","-0.25 (-0.50 to -0.01)","-0.42 (-0.71 to -0.13)","-0.62 (-0.83 to -0.42)","-0.61 (-0.92 to -0.30)","-0.34 (-0.56 to -0.13)","zolpidem","."
"0.16 (-0.20 to  0.51)","0.07 (-0.21 to  0.34)","0.33 ( 0.01 to  0.66)","-0.09 (-0.46 to  0.28)","-0.01 (-0.34 to  0.33)","-0.18 (-0.54 to  0.19)","-0.38 (-0.68 to -0.07)","-0.37 (-0.75 to  0.01)","-0.10 (-0.44 to  0.24)","0.24 (-0.10 to  0.59)","zopiclone"
