"BZD-intermediate",".","-0.16 (-0.41 to  0.09)",".",".",".","1.35 ( 0.79 to  1.91)",".",".",".",".","."
"0.26 (-0.11 to  0.63)","BZD-long","-0.26 (-0.65 to  0.13)",".",".",".","0.70 ( 0.33 to  1.08)",".",".",".",".","."
"-0.10 (-0.33 to  0.14)","-0.35 (-0.67 to -0.04)","BZD-short",".",".",".","1.18 ( 0.57 to  1.80)",".",".",".",".","0.26 (-0.29 to  0.82)"
"0.62 ( 0.16 to  1.08)","0.36 (-0.07 to  0.80)","0.72 ( 0.29 to  1.15)","doxepin",".",".","0.42 ( 0.11 to  0.74)",".",".",".",".","."
"0.46 ( 0.11 to  0.82)","0.21 (-0.11 to  0.53)","0.56 ( 0.25 to  0.87)","-0.16 (-0.48 to  0.17)","eszopiclone",".","0.58 ( 0.48 to  0.68)",".",".",".",".","."
"0.88 ( 0.53 to  1.24)","0.62 ( 0.30 to  0.95)","0.98 ( 0.66 to  1.30)","0.26 (-0.07 to  0.59)","0.42 ( 0.26 to  0.57)","melatonin","0.16 ( 0.05 to  0.28)",".",".",".",".","."
"1.05 ( 0.71 to  1.38)","0.79 ( 0.48 to  1.09)","1.14 ( 0.85 to  1.44)","0.42 ( 0.11 to  0.74)","0.58 ( 0.48 to  0.68)","0.16 ( 0.05 to  0.28)","placebo","-0.05 (-1.14 to  1.04)","-0.18 (-0.30 to -0.07)","-0.21 (-0.37 to -0.05)","-0.54 (-0.69 to -0.39)","-0.73 (-0.92 to -0.54)"
"1.00 (-0.15 to  2.14)","0.74 (-0.39 to  1.87)","1.09 (-0.04 to  2.22)","0.37 (-0.76 to  1.51)","0.53 (-0.56 to  1.63)","0.11 (-0.98 to  1.21)","-0.05 (-1.14 to  1.04)","quetiapine",".",".",".","."
"0.86 ( 0.51 to  1.22)","0.61 ( 0.28 to  0.93)","0.96 ( 0.65 to  1.27)","0.24 (-0.09 to  0.57)","0.40 ( 0.25 to  0.55)","-0.02 (-0.18 to  0.14)","-0.18 (-0.30 to -0.07)","-0.13 (-1.23 to  0.96)","ramelteon",".",".","."
"0.81 ( 0.45 to  1.18)","0.56 ( 0.22 to  0.89)","0.91 ( 0.58 to  1.24)","0.19 (-0.15 to  0.54)","0.35 ( 0.17 to  0.53)","-0.07 (-0.26 to  0.12)","-0.23 (-0.38 to -0.09)","-0.18 (-1.28 to  0.92)","-0.05 (-0.23 to  0.14)","zaleplon","-0.28 (-0.42 to -0.14)","."
"0.54 ( 0.17 to  0.90)","0.28 (-0.06 to  0.62)","0.64 ( 0.31 to  0.96)","-0.08 (-0.43 to  0.26)","0.07 (-0.10 to  0.25)","-0.34 (-0.53 to -0.15)","-0.51 (-0.66 to -0.36)","-0.46 (-1.56 to  0.64)","-0.32 (-0.51 to -0.14)","-0.28 (-0.41 to -0.15)","zolpidem","."
"0.30 (-0.06 to  0.66)","0.05 (-0.30 to  0.39)","0.40 ( 0.08 to  0.72)","-0.32 (-0.68 to  0.04)","-0.16 (-0.37 to  0.05)","-0.58 (-0.80 to -0.36)","-0.74 (-0.92 to -0.56)","-0.69 (-1.80 to  0.41)","-0.56 (-0.77 to -0.35)","-0.51 (-0.74 to -0.28)","-0.23 (-0.47 to  0.00)","zopiclone"
