"BZD-intermediate",".","-0.16 (-0.57 to  0.25)",".",".",".","1.35 ( 0.71 to  2.00)",".",".",".",".","."
"0.30 (-0.18 to  0.77)","BZD-long","-0.26 (-0.71 to  0.20)",".",".",".","0.70 ( 0.26 to  1.14)",".",".",".",".","."
"-0.05 (-0.41 to  0.30)","-0.35 (-0.71 to  0.01)","BZD-short",".",".",".","1.18 ( 0.49 to  1.87)",".",".",".",".","0.26 (-0.38 to  0.90)"
"0.66 ( 0.05 to  1.28)","0.36 (-0.21 to  0.93)","0.71 ( 0.15 to  1.28)","doxepin",".",".","0.42 (-0.02 to  0.87)",".",".",".",".","."
"0.57 ( 0.11 to  1.04)","0.28 (-0.13 to  0.68)","0.63 ( 0.23 to  1.03)","-0.09 (-0.57 to  0.40)","eszopiclone",".","0.51 ( 0.32 to  0.70)",".",".",".",".","."
"0.99 ( 0.50 to  1.48)","0.69 ( 0.26 to  1.12)","1.04 ( 0.62 to  1.47)","0.33 (-0.18 to  0.83)","0.42 ( 0.11 to  0.72)","melatonin","0.10 (-0.15 to  0.34)",".",".",".",".","."
"1.08 ( 0.66 to  1.51)","0.79 ( 0.43 to  1.15)","1.14 ( 0.79 to  1.49)","0.42 (-0.02 to  0.87)","0.51 ( 0.32 to  0.70)","0.10 (-0.15 to  0.34)","placebo","-0.05 (-1.19 to  1.09)","-0.17 (-0.43 to  0.09)","-0.20 (-0.48 to  0.07)","-0.55 (-0.77 to -0.32)","-0.73 (-1.10 to -0.36)"
"1.03 (-0.18 to  2.25)","0.74 (-0.45 to  1.93)","1.09 (-0.10 to  2.28)","0.37 (-0.85 to  1.59)","0.46 (-0.69 to  1.61)","0.05 (-1.12 to  1.21)","-0.05 (-1.19 to  1.09)","quetiapine",".",".",".","."
"0.91 ( 0.41 to  1.41)","0.62 ( 0.17 to  1.06)","0.97 ( 0.53 to  1.40)","0.25 (-0.26 to  0.77)","0.34 ( 0.02 to  0.66)","-0.08 (-0.43 to  0.28)","-0.17 (-0.43 to  0.09)","-0.12 (-1.29 to  1.04)","ramelteon",".",".","."
"0.84 ( 0.35 to  1.33)","0.55 ( 0.12 to  0.98)","0.90 ( 0.47 to  1.32)","0.18 (-0.32 to  0.69)","0.27 (-0.04 to  0.58)","-0.14 (-0.49 to  0.20)","-0.24 (-0.48 to  0.00)","-0.19 (-1.35 to  0.97)","-0.07 (-0.42 to  0.29)","zaleplon","-0.28 (-0.51 to -0.05)","."
"0.57 ( 0.09 to  1.04)","0.27 (-0.15 to  0.69)","0.62 ( 0.21 to  1.03)","-0.09 (-0.59 to  0.40)","-0.01 (-0.30 to  0.28)","-0.42 (-0.75 to -0.10)","-0.52 (-0.73 to -0.30)","-0.47 (-1.62 to  0.69)","-0.35 (-0.68 to -0.01)","-0.28 (-0.50 to -0.06)","zolpidem","."
"0.32 (-0.18 to  0.82)","0.02 (-0.43 to  0.48)","0.37 (-0.04 to  0.79)","-0.34 (-0.89 to  0.21)","-0.25 (-0.64 to  0.13)","-0.67 (-1.08 to -0.26)","-0.76 (-1.10 to -0.43)","-0.71 (-1.90 to  0.47)","-0.59 (-1.01 to -0.17)","-0.52 (-0.94 to -0.11)","-0.25 (-0.64 to  0.15)","zopiclone"
