"BZD-intermediate",".","-0.16 (-0.41 to  0.09)",".",".",".","-0.33 (-0.79 to  0.14)","0.90 ( 0.62 to  1.17)",".",".",".","-0.67 (-1.30 to -0.04)","."
"0.10 (-0.21 to  0.41)","BZD-long","-0.25 (-0.60 to  0.11)",".",".",".",".","0.57 ( 0.23 to  0.91)",".",".",".",".","."
"-0.17 (-0.39 to  0.04)","-0.28 (-0.56 to  0.00)","BZD-short",".",".",".",".","0.74 ( 0.26 to  1.23)",".",".",".",".","0.26 (-0.29 to  0.82)"
"0.30 (-0.11 to  0.71)","0.20 (-0.25 to  0.65)","0.48 ( 0.05 to  0.90)","doxepin",".",".",".","0.42 ( 0.07 to  0.77)",".",".",".",".","."
"0.11 (-0.12 to  0.35)","0.01 (-0.28 to  0.30)","0.28 ( 0.03 to  0.54)","-0.19 (-0.55 to  0.17)","eszopiclone",".",".","0.61 ( 0.51 to  0.71)",".",".",".",".","."
"0.56 ( 0.32 to  0.80)","0.46 ( 0.16 to  0.75)","0.73 ( 0.47 to  0.99)","0.26 (-0.11 to  0.63)","0.45 ( 0.30 to  0.60)","melatonin",".","0.17 ( 0.05 to  0.28)",".",".",".",".","."
"-0.33 (-0.79 to  0.14)","-0.43 (-0.99 to  0.13)","-0.15 (-0.67 to  0.36)","-0.63 (-1.25 to -0.01)","-0.44 (-0.96 to  0.08)","-0.89 (-1.41 to -0.36)","mirtazapine",".",".",".",".",".","."
"0.73 ( 0.51 to  0.94)","0.62 ( 0.35 to  0.90)","0.90 ( 0.66 to  1.13)","0.42 ( 0.07 to  0.77)","0.61 ( 0.51 to  0.71)","0.17 ( 0.05 to  0.28)","1.05 ( 0.54 to  1.56)","placebo","-0.05 (-1.14 to  1.04)","-0.18 (-0.30 to -0.07)","-0.13 (-0.29 to  0.03)","-0.40 (-0.55 to -0.25)","-0.79 (-0.98 to -0.60)"
"0.68 (-0.44 to  1.79)","0.57 (-0.55 to  1.70)","0.85 (-0.27 to  1.96)","0.37 (-0.77 to  1.52)","0.56 (-0.53 to  1.66)","0.12 (-0.98 to  1.21)","1.00 (-0.20 to  2.21)","-0.05 (-1.14 to  1.04)","quetiapine",".",".",".","."
"0.54 ( 0.30 to  0.78)","0.44 ( 0.14 to  0.74)","0.71 ( 0.46 to  0.97)","0.24 (-0.13 to  0.61)","0.43 ( 0.28 to  0.58)","-0.02 (-0.18 to  0.14)","0.87 ( 0.34 to  1.39)","-0.18 (-0.30 to -0.07)","-0.13 (-1.23 to  0.96)","ramelteon",".",".","."
"0.53 ( 0.27 to  0.78)","0.42 ( 0.11 to  0.73)","0.70 ( 0.43 to  0.97)","0.22 (-0.16 to  0.60)","0.41 ( 0.24 to  0.59)","-0.03 (-0.22 to  0.15)","0.85 ( 0.32 to  1.38)","-0.20 (-0.34 to -0.06)","-0.15 (-1.25 to  0.95)","-0.02 (-0.20 to  0.17)","zaleplon","-0.20 (-0.33 to -0.06)","."
"0.30 ( 0.05 to  0.54)","0.19 (-0.12 to  0.50)","0.47 ( 0.20 to  0.74)","-0.01 (-0.39 to  0.37)","0.18 ( 0.01 to  0.36)","-0.26 (-0.45 to -0.08)","0.62 ( 0.09 to  1.15)","-0.43 (-0.57 to -0.29)","-0.38 (-1.48 to  0.72)","-0.25 (-0.43 to -0.06)","-0.23 (-0.36 to -0.10)","zolpidem","."
"-0.05 (-0.32 to  0.22)","-0.15 (-0.48 to  0.17)","0.12 (-0.15 to  0.40)","-0.35 (-0.75 to  0.04)","-0.16 (-0.37 to  0.04)","-0.61 (-0.82 to -0.40)","0.28 (-0.26 to  0.81)","-0.78 (-0.96 to -0.60)","-0.73 (-1.83 to  0.38)","-0.59 (-0.81 to -0.38)","-0.58 (-0.81 to -0.34)","-0.35 (-0.58 to -0.12)","zopiclone"
