"BZD-intermediate",".","-0.16 (-0.57 to  0.25)",".",".",".","-0.33 (-0.89 to  0.24)","0.95 ( 0.58 to  1.32)",".",".",".","-0.67 (-1.38 to  0.03)","."
"0.10 (-0.29 to  0.49)","BZD-long","-0.24 (-0.64 to  0.16)",".",".",".",".","0.56 ( 0.17 to  0.95)",".",".",".",".","."
"-0.17 (-0.49 to  0.14)","-0.27 (-0.60 to  0.06)","BZD-short",".",".",".",".","0.72 ( 0.18 to  1.26)",".",".",".",".","0.26 (-0.38 to  0.90)"
"0.29 (-0.27 to  0.84)","0.19 (-0.39 to  0.76)","0.46 (-0.10 to  1.02)","doxepin",".",".",".","0.42 (-0.05 to  0.90)",".",".",".",".","."
"0.15 (-0.20 to  0.49)","0.05 (-0.33 to  0.43)","0.32 (-0.04 to  0.67)","-0.14 (-0.65 to  0.37)","eszopiclone",".",".","0.56 ( 0.37 to  0.76)",".",".",".",".","."
"0.60 ( 0.24 to  0.96)","0.50 ( 0.11 to  0.89)","0.77 ( 0.40 to  1.14)","0.31 (-0.21 to  0.83)","0.45 ( 0.16 to  0.74)","melatonin",".","0.11 (-0.11 to  0.33)",".",".",".",".","."
"-0.33 (-0.89 to  0.24)","-0.43 (-1.11 to  0.26)","-0.16 (-0.80 to  0.49)","-0.61 (-1.41 to  0.18)","-0.47 (-1.14 to  0.19)","-0.92 (-1.59 to -0.25)","mirtazapine",".",".",".",".",".","."
"0.71 ( 0.43 to  0.99)","0.61 ( 0.29 to  0.94)","0.88 ( 0.59 to  1.18)","0.42 (-0.05 to  0.90)","0.56 ( 0.37 to  0.76)","0.11 (-0.11 to  0.33)","1.04 ( 0.41 to  1.67)","placebo","-0.05 (-1.19 to  1.09)","-0.17 (-0.44 to  0.09)","-0.13 (-0.41 to  0.15)","-0.41 (-0.64 to -0.19)","-0.79 (-1.17 to -0.42)"
"0.66 (-0.51 to  1.83)","0.56 (-0.62 to  1.74)","0.83 (-0.34 to  2.01)","0.37 (-0.86 to  1.61)","0.51 (-0.64 to  1.67)","0.06 (-1.09 to  1.22)","0.99 (-0.31 to  2.29)","-0.05 (-1.19 to  1.09)","quetiapine",".",".",".","."
"0.54 ( 0.15 to  0.92)","0.44 ( 0.02 to  0.86)","0.71 ( 0.31 to  1.11)","0.25 (-0.29 to  0.79)","0.39 ( 0.06 to  0.72)","-0.06 (-0.40 to  0.28)","0.86 ( 0.18 to  1.55)","-0.17 (-0.44 to  0.09)","-0.12 (-1.29 to  1.04)","ramelteon",".",".","."
"0.48 ( 0.12 to  0.84)","0.38 (-0.03 to  0.78)","0.65 ( 0.27 to  1.03)","0.19 (-0.35 to  0.72)","0.33 ( 0.02 to  0.64)","-0.12 (-0.45 to  0.21)","0.80 ( 0.13 to  1.47)","-0.23 (-0.48 to  0.01)","-0.18 (-1.35 to  0.98)","-0.06 (-0.42 to  0.30)","zaleplon","-0.19 (-0.43 to  0.04)","."
"0.23 (-0.10 to  0.56)","0.13 (-0.25 to  0.51)","0.40 ( 0.05 to  0.75)","-0.06 (-0.58 to  0.46)","0.08 (-0.20 to  0.37)","-0.37 (-0.67 to -0.07)","0.56 (-0.10 to  1.21)","-0.48 (-0.69 to -0.27)","-0.43 (-1.59 to  0.72)","-0.31 (-0.64 to  0.03)","-0.25 (-0.47 to -0.03)","zolpidem","."
"-0.04 (-0.45 to  0.38)","-0.14 (-0.58 to  0.30)","0.13 (-0.26 to  0.53)","-0.33 (-0.91 to  0.25)","-0.19 (-0.57 to  0.20)","-0.64 (-1.03 to -0.24)","0.29 (-0.41 to  0.99)","-0.75 (-1.08 to -0.42)","-0.70 (-1.88 to  0.49)","-0.58 (-1.00 to -0.15)","-0.52 (-0.93 to -0.10)","-0.27 (-0.66 to  0.12)","zopiclone"
