"BZD-intermediate","0.13 (-0.25 to  0.52)",".",".",".",".",".","1.29 ( 1.10 to  1.48)",".",".",".","0.28 (-0.37 to  0.93)",".",".","."
"0.72 ( 0.46 to  0.98)","BZD-long","-0.10 (-1.23 to  1.04)",".",".",".",".","0.27 ( 0.00 to  0.54)",".",".",".",".",".",".","-0.00 (-0.29 to  0.29)"
"0.85 ( 0.51 to  1.19)","0.13 (-0.23 to  0.48)","BZD-short",".",".",".",".",".",".",".",".",".",".","-0.04 (-0.33 to  0.24)","."
"1.04 ( 0.83 to  1.25)","0.32 ( 0.08 to  0.56)","0.19 (-0.11 to  0.49)","daridorexant",".",".",".","0.24 ( 0.15 to  0.34)",".",".",".",".",".","-0.18 (-0.49 to  0.13)","."
"0.62 ( 0.39 to  0.86)","-0.10 (-0.34 to  0.15)","-0.22 (-0.55 to  0.10)","-0.42 (-0.60 to -0.24)","eszopiclone",".",".","0.68 ( 0.51 to  0.84)",".",".",".",".",".",".","0.08 (-0.19 to  0.36)"
"0.93 ( 0.72 to  1.14)","0.21 (-0.03 to  0.45)","0.09 (-0.21 to  0.38)","-0.11 (-0.24 to  0.03)","0.31 ( 0.13 to  0.49)","lemborexant",".","0.33 ( 0.22 to  0.44)",".",".",".",".",".","-0.03 (-0.18 to  0.13)","."
"0.98 ( 0.63 to  1.34)","0.26 (-0.11 to  0.63)","0.13 (-0.28 to  0.55)","-0.06 (-0.38 to  0.26)","0.36 ( 0.02 to  0.70)","0.05 (-0.27 to  0.37)","melatonin","0.31 ( 0.01 to  0.61)",".",".",".",".",".",".","."
"1.29 ( 1.11 to  1.48)","0.57 ( 0.35 to  0.79)","0.45 ( 0.16 to  0.73)","0.25 ( 0.16 to  0.35)","0.67 ( 0.52 to  0.82)","0.36 ( 0.26 to  0.46)","0.31 ( 0.01 to  0.61)","placebo","-0.01 (-0.19 to  0.17)","-0.33 (-0.60 to -0.06)","-0.22 (-0.51 to  0.06)","-0.73 (-1.39 to -0.07)","-0.10 (-0.25 to  0.06)","-0.48 (-0.56 to -0.40)","-0.53 (-1.03 to -0.02)"
"1.28 ( 1.02 to  1.55)","0.56 ( 0.28 to  0.85)","0.44 ( 0.10 to  0.78)","0.24 ( 0.03 to  0.45)","0.66 ( 0.42 to  0.90)","0.35 ( 0.14 to  0.56)","0.30 (-0.05 to  0.66)","-0.01 (-0.19 to  0.17)","ramelteon",".",".",".",".",".","."
"0.85 ( 0.56 to  1.13)","0.12 (-0.19 to  0.43)","-0.00 (-0.36 to  0.35)","-0.20 (-0.43 to  0.04)","0.22 (-0.05 to  0.49)","-0.09 (-0.32 to  0.15)","-0.14 (-0.51 to  0.24)","-0.45 (-0.67 to -0.23)","-0.44 (-0.72 to -0.15)","seltorexant",".",".",".","0.10 (-0.18 to  0.37)","."
"0.93 ( 0.62 to  1.25)","0.21 (-0.13 to  0.54)","0.08 (-0.29 to  0.46)","-0.11 (-0.38 to  0.16)","0.31 ( 0.01 to  0.61)","-0.00 (-0.27 to  0.27)","-0.05 (-0.45 to  0.34)","-0.36 (-0.62 to -0.11)","-0.35 (-0.67 to -0.04)","0.09 (-0.25 to  0.42)","trazodone",".",".","0.03 (-0.26 to  0.33)","."
"0.42 (-0.15 to  0.98)","-0.30 (-0.90 to  0.30)","-0.43 (-1.06 to  0.20)","-0.62 (-1.20 to -0.05)","-0.21 (-0.79 to  0.38)","-0.52 (-1.09 to  0.06)","-0.56 (-1.21 to  0.08)","-0.88 (-1.44 to -0.31)","-0.87 (-1.46 to -0.27)","-0.43 (-1.03 to  0.18)","-0.51 (-1.13 to  0.11)","trimipramine",".",".","."
"1.18 ( 0.94 to  1.41)","0.46 ( 0.20 to  0.72)","0.33 ( 0.01 to  0.65)","0.14 (-0.03 to  0.31)","0.55 ( 0.34 to  0.76)","0.24 ( 0.07 to  0.42)","0.20 (-0.14 to  0.53)","-0.12 (-0.26 to  0.03)","-0.11 (-0.34 to  0.13)","0.33 ( 0.07 to  0.59)","0.25 (-0.04 to  0.54)","0.76 ( 0.18 to  1.34)","zaleplon","-0.32 (-0.56 to -0.08)","."
"0.82 ( 0.62 to  1.02)","0.10 (-0.13 to  0.33)","-0.03 (-0.31 to  0.25)","-0.22 (-0.34 to -0.10)","0.20 ( 0.02 to  0.37)","-0.11 (-0.22 to -0.01)","-0.16 (-0.48 to  0.15)","-0.47 (-0.55 to -0.40)","-0.46 (-0.66 to -0.27)","-0.03 (-0.25 to  0.19)","-0.11 (-0.37 to  0.14)","0.40 (-0.17 to  0.97)","-0.36 (-0.51 to -0.21)","zolpidem","."
"0.72 ( 0.44 to  1.01)","0.00 (-0.24 to  0.24)","-0.13 (-0.49 to  0.24)","-0.32 (-0.57 to -0.07)","0.10 (-0.12 to  0.32)","-0.21 (-0.46 to  0.04)","-0.26 (-0.64 to  0.12)","-0.57 (-0.81 to -0.34)","-0.56 (-0.86 to -0.26)","-0.12 (-0.44 to  0.20)","-0.21 (-0.55 to  0.14)","0.30 (-0.30 to  0.91)","-0.46 (-0.73 to -0.18)","-0.10 (-0.34 to  0.15)","zopiclone"
