"BZD-intermediate","0.13 (-0.43 to  0.70)",".",".",".",".",".","1.04 ( 0.71 to  1.37)",".",".",".","0.28 (-0.49 to  1.04)",".",".","."
"0.55 ( 0.16 to  0.95)","BZD-long","-0.10 (-1.30 to  1.11)",".",".",".",".","0.31 (-0.06 to  0.67)",".",".",".",".",".",".","-0.02 (-0.40 to  0.37)"
"0.64 ( 0.07 to  1.22)","0.09 (-0.46 to  0.64)","BZD-short",".",".",".",".",".",".",".",".",".",".","-0.04 (-0.54 to  0.46)","."
"0.83 ( 0.42 to  1.24)","0.28 (-0.12 to  0.68)","0.19 (-0.35 to  0.73)","daridorexant",".",".",".","0.21 (-0.05 to  0.48)",".",".",".",".",".","-0.18 (-0.69 to  0.34)","."
"0.41 (-0.07 to  0.89)","-0.14 (-0.57 to  0.28)","-0.23 (-0.83 to  0.37)","-0.42 (-0.87 to  0.03)","eszopiclone",".",".","0.68 ( 0.23 to  1.12)",".",".",".",".",".",".","0.08 (-0.41 to  0.58)"
"0.71 ( 0.28 to  1.14)","0.16 (-0.26 to  0.58)","0.07 (-0.48 to  0.62)","-0.12 (-0.50 to  0.26)","0.30 (-0.17 to  0.77)","lemborexant",".","0.34 ( 0.03 to  0.65)",".",".",".",".",".","-0.03 (-0.47 to  0.41)","."
"0.75 ( 0.15 to  1.35)","0.20 (-0.40 to  0.79)","0.11 (-0.60 to  0.81)","-0.08 (-0.65 to  0.49)","0.34 (-0.29 to  0.97)","0.04 (-0.55 to  0.62)","melatonin","0.31 (-0.20 to  0.82)",".",".",".",".",".",".","."
"1.06 ( 0.74 to  1.38)","0.51 ( 0.20 to  0.82)","0.42 (-0.07 to  0.90)","0.23 (-0.02 to  0.48)","0.65 ( 0.28 to  1.02)","0.35 ( 0.06 to  0.64)","0.31 (-0.20 to  0.82)","placebo","-0.01 (-0.46 to  0.44)","-0.33 (-0.82 to  0.16)","-0.22 (-0.72 to  0.28)","-0.73 (-1.50 to  0.05)","-0.09 (-0.42 to  0.24)","-0.42 (-0.59 to -0.26)","-0.53 (-1.18 to  0.13)"
"1.05 ( 0.50 to  1.60)","0.50 (-0.05 to  1.04)","0.41 (-0.25 to  1.07)","0.22 (-0.30 to  0.73)","0.64 ( 0.06 to  1.22)","0.34 (-0.20 to  0.87)","0.30 (-0.38 to  0.98)","-0.01 (-0.46 to  0.44)","ramelteon",".",".",".",".",".","."
"0.63 ( 0.10 to  1.16)","0.08 (-0.44 to  0.60)","-0.01 (-0.63 to  0.62)","-0.20 (-0.69 to  0.29)","0.22 (-0.34 to  0.78)","-0.08 (-0.58 to  0.43)","-0.12 (-0.78 to  0.55)","-0.43 (-0.85 to  0.00)","-0.42 (-1.03 to  0.20)","seltorexant",".",".",".","0.10 (-0.40 to  0.59)","."
"0.72 ( 0.17 to  1.26)","0.16 (-0.37 to  0.70)","0.08 (-0.56 to  0.71)","-0.11 (-0.62 to  0.39)","0.31 (-0.27 to  0.88)","0.01 (-0.51 to  0.53)","-0.03 (-0.71 to  0.64)","-0.34 (-0.79 to  0.10)","-0.33 (-0.96 to  0.30)","0.08 (-0.52 to  0.69)","trazodone",".",".","0.03 (-0.47 to  0.54)","."
"0.31 (-0.37 to  0.98)","-0.25 (-0.98 to  0.49)","-0.34 (-1.17 to  0.50)","-0.53 (-1.25 to  0.20)","-0.10 (-0.88 to  0.67)","-0.41 (-1.15 to  0.33)","-0.44 (-1.29 to  0.41)","-0.76 (-1.44 to -0.07)","-0.75 (-1.56 to  0.07)","-0.33 (-1.13 to  0.47)","-0.41 (-1.22 to  0.40)","trimipramine",".",".","."
"0.96 ( 0.52 to  1.40)","0.40 (-0.03 to  0.84)","0.32 (-0.25 to  0.88)","0.13 (-0.27 to  0.52)","0.55 ( 0.07 to  1.03)","0.25 (-0.17 to  0.66)","0.21 (-0.39 to  0.80)","-0.10 (-0.41 to  0.20)","-0.09 (-0.64 to  0.45)","0.32 (-0.19 to  0.84)","0.24 (-0.29 to  0.77)","0.65 (-0.09 to  1.40)","zaleplon","-0.32 (-0.80 to  0.15)","."
"0.63 ( 0.27 to  0.99)","0.08 (-0.27 to  0.42)","-0.01 (-0.48 to  0.45)","-0.20 (-0.49 to  0.08)","0.22 (-0.18 to  0.62)","-0.08 (-0.39 to  0.23)","-0.12 (-0.65 to  0.42)","-0.43 (-0.59 to -0.27)","-0.42 (-0.90 to  0.06)","-0.00 (-0.43 to  0.42)","-0.09 (-0.53 to  0.36)","0.33 (-0.37 to  1.02)","-0.33 (-0.65 to  0.00)","zolpidem","."
"0.53 ( 0.06 to  0.99)","-0.03 (-0.37 to  0.31)","-0.12 (-0.71 to  0.48)","-0.31 (-0.75 to  0.14)","0.12 (-0.27 to  0.50)","-0.19 (-0.66 to  0.28)","-0.22 (-0.85 to  0.41)","-0.54 (-0.91 to -0.17)","-0.53 (-1.11 to  0.06)","-0.11 (-0.67 to  0.45)","-0.19 (-0.77 to  0.38)","0.22 (-0.55 to  0.99)","-0.43 (-0.91 to  0.05)","-0.11 (-0.51 to  0.30)","zopiclone"
