"BZD-intermediate","0.14 (-0.47 to  0.74)",".",".","0.12 (-0.51 to  0.75)",".",".","1.02 ( 0.66 to  1.38)",".","-0.14 (-0.73 to  0.44)","0.28 (-0.52 to  1.08)",".","0.24 (-0.54 to  1.02)","."
"0.37 (-0.01 to  0.74)","BZD-long","-0.10 (-1.32 to  1.13)",".",".",".",".","0.31 (-0.07 to  0.69)",".",".",".",".",".","-0.02 (-0.42 to  0.39)"
"0.42 (-0.16 to  1.00)","0.05 (-0.53 to  0.63)","BZD-short",".",".",".",".",".",".",".",".",".","-0.04 (-0.59 to  0.50)","."
"0.58 ( 0.19 to  0.97)","0.21 (-0.22 to  0.63)","0.16 (-0.43 to  0.75)","daridorexant",".",".",".","0.24 (-0.06 to  0.53)",".",".",".",".","-0.03 (-0.59 to  0.53)","."
"0.21 (-0.17 to  0.59)","-0.16 (-0.55 to  0.23)","-0.21 (-0.82 to  0.40)","-0.37 (-0.81 to  0.07)","eszopiclone",".",".","0.68 ( 0.18 to  1.17)",".",".",".",".",".","0.04 (-0.34 to  0.42)"
"0.46 ( 0.04 to  0.88)","0.09 (-0.36 to  0.55)","0.04 (-0.56 to  0.65)","-0.12 (-0.54 to  0.31)","0.25 (-0.21 to  0.72)","lemborexant",".","0.38 ( 0.04 to  0.73)",".",".",".",".","-0.04 (-0.53 to  0.45)","."
"0.51 (-0.18 to  1.20)","0.14 (-0.57 to  0.85)","0.09 (-0.73 to  0.91)","-0.07 (-0.76 to  0.62)","0.30 (-0.41 to  1.02)","0.05 (-0.66 to  0.76)","melatonin","0.34 (-0.29 to  0.97)",".",".",".",".",".","."
"0.85 ( 0.58 to  1.13)","0.48 ( 0.16 to  0.80)","0.43 (-0.09 to  0.96)","0.27 (-0.01 to  0.56)","0.64 ( 0.30 to  0.98)","0.39 ( 0.07 to  0.71)","0.34 (-0.29 to  0.97)","placebo","-0.01 (-0.51 to  0.49)","-0.22 (-0.76 to  0.33)","-0.73 (-1.53 to  0.08)","-0.09 (-0.45 to  0.28)","-0.41 (-0.61 to -0.22)","-0.53 (-1.22 to  0.16)"
"0.84 ( 0.27 to  1.41)","0.47 (-0.12 to  1.07)","0.42 (-0.30 to  1.15)","0.26 (-0.31 to  0.84)","0.63 ( 0.03 to  1.24)","0.38 (-0.22 to  0.98)","0.33 (-0.47 to  1.14)","-0.01 (-0.51 to  0.49)","ramelteon",".",".",".",".","."
"0.25 (-0.15 to  0.66)","-0.12 (-0.61 to  0.37)","-0.17 (-0.80 to  0.47)","-0.33 (-0.80 to  0.15)","0.04 (-0.45 to  0.54)","-0.21 (-0.71 to  0.29)","-0.26 (-1.00 to  0.48)","-0.60 (-0.99 to -0.21)","-0.59 (-1.23 to  0.04)","trazodone",".",".","0.03 (-0.51 to  0.58)","."
"0.20 (-0.50 to  0.91)","-0.17 (-0.93 to  0.59)","-0.21 (-1.09 to  0.66)","-0.37 (-1.13 to  0.38)","-0.00 (-0.77 to  0.76)","-0.26 (-1.03 to  0.52)","-0.31 (-1.25 to  0.64)","-0.65 (-1.35 to  0.05)","-0.64 (-1.50 to  0.23)","-0.05 (-0.83 to  0.74)","trimipramine",".",".","."
"0.74 ( 0.30 to  1.17)","0.37 (-0.10 to  0.83)","0.32 (-0.30 to  0.93)","0.16 (-0.28 to  0.60)","0.53 ( 0.05 to  1.01)","0.28 (-0.19 to  0.74)","0.23 (-0.49 to  0.94)","-0.12 (-0.46 to  0.23)","-0.11 (-0.71 to  0.50)","0.49 (-0.03 to  1.00)","0.53 (-0.25 to  1.31)","zaleplon","-0.29 (-0.81 to  0.24)","."
"0.40 ( 0.10 to  0.71)","0.03 (-0.32 to  0.39)","-0.01 (-0.52 to  0.49)","-0.17 (-0.49 to  0.14)","0.20 (-0.18 to  0.57)","-0.06 (-0.40 to  0.29)","-0.11 (-0.76 to  0.55)","-0.45 (-0.63 to -0.27)","-0.44 (-0.97 to  0.10)","0.15 (-0.25 to  0.55)","0.20 (-0.52 to  0.92)","-0.33 (-0.69 to  0.03)","zolpidem","."
"0.30 (-0.11 to  0.71)","-0.07 (-0.42 to  0.28)","-0.12 (-0.74 to  0.50)","-0.28 (-0.74 to  0.18)","0.09 (-0.23 to  0.42)","-0.16 (-0.65 to  0.32)","-0.21 (-0.94 to  0.52)","-0.55 (-0.91 to -0.19)","-0.54 (-1.16 to  0.08)","0.05 (-0.47 to  0.56)","0.10 (-0.68 to  0.87)","-0.44 (-0.93 to  0.06)","-0.10 (-0.50 to  0.29)","zopiclone"
