"BZD-intermediate","-0.22 (-0.43 to -0.01)",".","0.12 (-0.30 to  0.55)","-0.33 (-0.79 to  0.14)","0.98 ( 0.84 to  1.13)",".",".","-0.67 (-1.30 to -0.04)","."
"0.04 (-0.14 to  0.22)","BZD-long","-0.39 (-0.72 to -0.05)",".",".","0.72 ( 0.52 to  0.92)",".",".",".","-0.15 (-0.90 to  0.59)"
"-0.25 (-0.56 to  0.07)","-0.28 (-0.57 to  0.01)","BZD-short",".",".","0.82 ( 0.39 to  1.24)",".",".",".","."
"0.12 (-0.30 to  0.55)","0.09 (-0.37 to  0.55)","0.37 (-0.16 to  0.90)","eszopiclone",".",".",".",".",".","."
"-0.33 (-0.79 to  0.14)","-0.36 (-0.86 to  0.14)","-0.08 (-0.64 to  0.48)","-0.45 (-1.08 to  0.18)","mirtazapine",".",".",".",".","."
"0.90 ( 0.76 to  1.03)","0.86 ( 0.69 to  1.03)","1.14 ( 0.84 to  1.45)","0.77 ( 0.33 to  1.22)","1.22 ( 0.74 to  1.71)","placebo","-0.05 (-1.14 to  1.04)","-0.24 (-0.76 to  0.27)","-0.52 (-0.69 to -0.35)","-0.79 (-0.98 to -0.60)"
"0.85 (-0.25 to  1.95)","0.81 (-0.29 to  1.91)","1.09 (-0.04 to  2.22)","0.72 (-0.46 to  1.90)","1.17 (-0.02 to  2.37)","-0.05 (-1.14 to  1.04)","quetiapine",".",".","."
"0.65 ( 0.12 to  1.18)","0.62 ( 0.08 to  1.16)","0.90 ( 0.30 to  1.49)","0.53 (-0.15 to  1.21)","0.98 ( 0.27 to  1.68)","-0.24 (-0.76 to  0.27)","-0.19 (-1.40 to  1.01)","trazodone",".","."
"0.23 ( 0.04 to  0.42)","0.20 (-0.02 to  0.41)","0.48 ( 0.15 to  0.81)","0.11 (-0.35 to  0.57)","0.56 ( 0.06 to  1.06)","-0.66 (-0.80 to -0.53)","-0.61 (-1.71 to  0.49)","-0.42 (-0.95 to  0.11)","zolpidem","0.06 (-0.13 to  0.26)"
"0.19 (-0.01 to  0.39)","0.15 (-0.07 to  0.37)","0.43 ( 0.10 to  0.77)","0.06 (-0.40 to  0.53)","0.51 ( 0.01 to  1.02)","-0.71 (-0.86 to -0.56)","-0.66 (-1.76 to  0.44)","-0.47 (-1.00 to  0.07)","-0.05 (-0.20 to  0.11)","zopiclone"
