"BZD-intermediate","-0.20 (-0.75 to  0.34)",".","0.12 (-0.83 to  1.08)","-0.33 (-1.30 to  0.65)","0.75 ( 0.38 to  1.12)",".",".","-0.67 (-1.73 to  0.39)","."
"-0.06 (-0.49 to  0.37)","BZD-long","-0.33 (-0.88 to  0.22)",".",".","0.70 ( 0.28 to  1.12)",".",".",".","-0.15 (-1.29 to  0.98)"
"-0.34 (-0.92 to  0.24)","-0.28 (-0.76 to  0.21)","BZD-short",".",".","0.77 ( 0.11 to  1.42)",".",".",".","."
"0.12 (-0.83 to  1.08)","0.19 (-0.86 to  1.23)","0.46 (-0.65 to  1.58)","eszopiclone",".",".",".",".",".","."
"-0.33 (-1.30 to  0.65)","-0.26 (-1.33 to  0.80)","0.01 (-1.12 to  1.15)","-0.45 (-1.81 to  0.91)","mirtazapine",".",".",".",".","."
"0.64 ( 0.30 to  0.98)","0.70 ( 0.33 to  1.07)","0.98 ( 0.47 to  1.49)","0.52 (-0.50 to  1.53)","0.97 (-0.07 to  2.00)","placebo","-0.05 (-1.44 to  1.34)","-0.24 (-1.24 to  0.75)","-0.60 (-1.00 to -0.20)","-0.79 (-1.67 to  0.08)"
"0.59 (-0.84 to  2.02)","0.65 (-0.78 to  2.08)","0.93 (-0.55 to  2.41)","0.46 (-1.25 to  2.18)","0.91 (-0.81 to  2.64)","-0.05 (-1.44 to  1.34)","quetiapine",".",".","."
"0.40 (-0.66 to  1.45)","0.46 (-0.61 to  1.52)","0.74 (-0.39 to  1.86)","0.27 (-1.15 to  1.69)","0.72 (-0.71 to  2.16)","-0.24 (-1.24 to  0.75)","-0.19 (-1.90 to  1.52)","trazodone",".","."
"-0.07 (-0.54 to  0.40)","-0.01 (-0.51 to  0.49)","0.27 (-0.35 to  0.89)","-0.19 (-1.26 to  0.87)","0.26 (-0.82 to  1.34)","-0.71 (-1.07 to -0.35)","-0.66 (-2.09 to  0.77)","-0.47 (-1.53 to  0.59)","zolpidem","0.06 (-0.82 to  0.94)"
"-0.11 (-0.76 to  0.53)","-0.05 (-0.67 to  0.57)","0.23 (-0.51 to  0.97)","-0.24 (-1.39 to  0.92)","0.21 (-0.95 to  1.38)","-0.75 (-1.32 to -0.18)","-0.70 (-2.20 to  0.80)","-0.51 (-1.66 to  0.64)","-0.04 (-0.63 to  0.55)","zopiclone"
