"BZD-intermediate","0.20 (-0.08 to  0.49)","-0.16 (-0.41 to  0.09)",".",".",".",".",".",".","0.55 ( 0.38 to  0.71)",".",".",".",".","0.28 (-0.37 to  0.93)",".","-0.01 (-0.29 to  0.27)","."
"0.11 (-0.06 to  0.28)","BZD-long","-0.41 (-0.71 to -0.12)",".",".",".",".",".",".","0.44 ( 0.24 to  0.64)",".",".",".",".",".",".",".","0.10 (-0.14 to  0.35)"
"-0.12 (-0.29 to  0.05)","-0.23 (-0.41 to -0.05)","BZD-short",".",".",".",".",".",".","1.00 ( 0.11 to  1.88)",".",".",".",".",".",".","-0.04 (-0.33 to  0.24)","0.26 (-0.29 to  0.82)"
"0.30 ( 0.14 to  0.46)","0.19 ( 0.01 to  0.36)","0.42 ( 0.22 to  0.61)","daridorexant",".",".",".",".",".","0.24 ( 0.15 to  0.34)",".",".",".",".",".",".","-0.18 (-0.49 to  0.13)","."
"0.26 ( 0.03 to  0.50)","0.16 (-0.09 to  0.40)","0.39 ( 0.13 to  0.64)","-0.03 (-0.25 to  0.18)","doxepin",".",".",".",".","0.28 ( 0.09 to  0.47)",".",".",".",".",".",".",".","."
"0.09 (-0.17 to  0.35)","-0.02 (-0.29 to  0.25)","0.21 (-0.07 to  0.49)","-0.21 (-0.46 to  0.04)","-0.18 (-0.48 to  0.12)","doxylamine",".",".",".","0.60 ( 0.33 to  0.87)",".",".",".",".",".",".","-0.10 (-0.36 to  0.16)","."
"-0.02 (-0.16 to  0.13)","-0.12 (-0.28 to  0.04)","0.11 (-0.08 to  0.29)","-0.31 (-0.43 to -0.19)","-0.28 (-0.49 to -0.07)","-0.10 (-0.35 to  0.14)","eszopiclone",".",".","0.57 ( 0.49 to  0.65)",".",".",".",".",".",".",".","0.04 (-0.15 to  0.23)"
"0.20 ( 0.04 to  0.36)","0.09 (-0.09 to  0.26)","0.32 ( 0.13 to  0.51)","-0.10 (-0.23 to  0.04)","-0.07 (-0.28 to  0.15)","0.11 (-0.14 to  0.36)","0.21 ( 0.09 to  0.34)","lemborexant",".","0.33 ( 0.22 to  0.44)",".",".",".",".",".",".","-0.03 (-0.18 to  0.13)","."
"0.36 ( 0.19 to  0.53)","0.25 ( 0.07 to  0.44)","0.48 ( 0.28 to  0.68)","0.07 (-0.08 to  0.21)","0.10 (-0.13 to  0.32)","0.27 ( 0.02 to  0.53)","0.38 ( 0.24 to  0.51)","0.16 ( 0.02 to  0.31)","melatonin","0.18 ( 0.07 to  0.29)",".",".",".",".",".",".",".","."
"0.55 ( 0.42 to  0.67)","0.44 ( 0.29 to  0.58)","0.67 ( 0.50 to  0.83)","0.25 ( 0.15 to  0.35)","0.28 ( 0.09 to  0.47)","0.46 ( 0.23 to  0.69)","0.56 ( 0.48 to  0.64)","0.35 ( 0.25 to  0.44)","0.18 ( 0.07 to  0.29)","placebo","-0.14 (-0.23 to -0.04)","-0.33 (-0.60 to -0.06)","-0.31 (-0.43 to -0.19)","-0.22 (-0.51 to  0.06)","-0.73 (-1.39 to -0.07)","-0.13 (-0.24 to -0.02)","-0.43 (-0.50 to -0.36)","-0.53 (-1.03 to -0.02)"
