Separate indirect from direct evidence (SIDE) using back-calculation method

Fixed effects model: 

                    comparison  k prop   nma direct indir.  Diff     z p-value
     BZD-intermediate:BZD-long  2 0.34  0.11   0.20   0.06  0.14  0.80  0.4264
    BZD-intermediate:BZD-short  1 0.46 -0.12  -0.16  -0.09 -0.08 -0.43  0.6698
 BZD-intermediate:daridorexant  0    0  0.30      .   0.30     .     .       .
      BZD-intermediate:doxepin  0    0  0.26      .   0.26     .     .       .
   BZD-intermediate:doxylamine  0    0  0.09      .   0.09     .     .       .
  BZD-intermediate:eszopiclone  0    0 -0.02      .  -0.02     .     .       .
  BZD-intermediate:lemborexant  0    0  0.20      .   0.20     .     .       .
    BZD-intermediate:melatonin  0    0  0.36      .   0.36     .     .       .
      BZD-intermediate:placebo  5 0.59  0.55   0.55   0.54  0.00  0.02  0.9835
    BZD-intermediate:ramelteon  0    0  0.41      .   0.41     .     .       .
  BZD-intermediate:seltorexant  0    0  0.12      .   0.12     .     .       .
   BZD-intermediate:suvorexant  0    0  0.23      .   0.23     .     .       .
    BZD-intermediate:trazodone  0    0  0.20      .   0.20     .     .       .
 BZD-intermediate:trimipramine  1 0.75  0.06   0.28  -0.61  0.89  1.35  0.1780
     BZD-intermediate:zaleplon  0    0  0.38      .   0.38     .     .       .
     BZD-intermediate:zolpidem  1 0.23  0.11  -0.01   0.15 -0.16 -0.98  0.3290
    BZD-intermediate:zopiclone  0    0  0.10      .   0.10     .     .       .
            BZD-long:BZD-short  3 0.39 -0.23  -0.41  -0.11 -0.30 -1.59  0.1120
         BZD-long:daridorexant  0    0  0.19      .   0.19     .     .       .
              BZD-long:doxepin  0    0  0.16      .   0.16     .     .       .
           BZD-long:doxylamine  0    0 -0.02      .  -0.02     .     .       .
          BZD-long:eszopiclone  0    0 -0.12      .  -0.12     .     .       .
          BZD-long:lemborexant  0    0  0.09      .   0.09     .     .       .
            BZD-long:melatonin  0    0  0.25      .   0.25     .     .       .
              BZD-long:placebo  6 0.54  0.44   0.44   0.44  0.00  0.02  0.9835
            BZD-long:ramelteon  0    0  0.30      .   0.30     .     .       .
          BZD-long:seltorexant  0    0  0.01      .   0.01     .     .       .
           BZD-long:suvorexant  0    0  0.12      .   0.12     .     .       .
            BZD-long:trazodone  0    0  0.09      .   0.09     .     .       .
         BZD-long:trimipramine  0    0 -0.05      .  -0.05     .     .       .
             BZD-long:zaleplon  0    0  0.27      .   0.27     .     .       .
             BZD-long:zolpidem  0    0  0.00      .   0.00     .     .       .
            BZD-long:zopiclone  3 0.52 -0.01   0.10  -0.14  0.24  1.35  0.1769
        BZD-short:daridorexant  0    0  0.42      .   0.42     .     .       .
             BZD-short:doxepin  0    0  0.39      .   0.39     .     .       .
          BZD-short:doxylamine  0    0  0.21      .   0.21     .     .       .
         BZD-short:eszopiclone  0    0  0.11      .   0.11     .     .       .
         BZD-short:lemborexant  0    0  0.32      .   0.32     .     .       .
           BZD-short:melatonin  0    0  0.48      .   0.48     .     .       .
             BZD-short:placebo  1 0.04  0.67   1.00   0.65  0.34  0.74  0.4567
           BZD-short:ramelteon  0    0  0.53      .   0.53     .     .       .
         BZD-short:seltorexant  0    0  0.24      .   0.24     .     .       .
          BZD-short:suvorexant  0    0  0.35      .   0.35     .     .       .
           BZD-short:trazodone  0    0  0.32      .   0.32     .     .       .
        BZD-short:trimipramine  0    0  0.18      .   0.18     .     .       .
            BZD-short:zaleplon  0    0  0.50      .   0.50     .     .       .
            BZD-short:zolpidem  1 0.36  0.23  -0.04   0.38 -0.43 -2.34  0.0192
           BZD-short:zopiclone  1 0.14  0.22   0.26   0.21  0.05  0.18  0.8604
          daridorexant:doxepin  0    0 -0.03      .  -0.03     .     .       .
       daridorexant:doxylamine  0    0 -0.21      .  -0.21     .     .       .
      daridorexant:eszopiclone  0    0 -0.31      .  -0.31     .     .       .
      daridorexant:lemborexant  0    0 -0.10      .  -0.10     .     .       .
        daridorexant:melatonin  0    0  0.07      .   0.07     .     .       .
          daridorexant:placebo  3 0.95  0.25   0.24   0.35 -0.11 -0.47  0.6418
        daridorexant:ramelteon  0    0  0.11      .   0.11     .     .       .
      daridorexant:seltorexant  0    0 -0.18      .  -0.18     .     .       .
       daridorexant:suvorexant  0    0 -0.06      .  -0.06     .     .       .
        daridorexant:trazodone  0    0 -0.09      .  -0.09     .     .       .
     daridorexant:trimipramine  0    0 -0.24      .  -0.24     .     .       .
         daridorexant:zaleplon  0    0  0.08      .   0.08     .     .       .
         daridorexant:zolpidem  1 0.13 -0.19  -0.18  -0.19  0.01  0.05  0.9606
        daridorexant:zopiclone  0    0 -0.20      .  -0.20     .     .       .
            doxepin:doxylamine  0    0 -0.18      .  -0.18     .     .       .
           doxepin:eszopiclone  0    0 -0.28      .  -0.28     .     .       .
           doxepin:lemborexant  0    0 -0.07      .  -0.07     .     .       .
             doxepin:melatonin  0    0  0.10      .   0.10     .     .       .
               doxepin:placebo  2 1.00  0.28   0.28      .     .     .       .
             doxepin:ramelteon  0    0  0.14      .   0.14     .     .       .
           doxepin:seltorexant  0    0 -0.15      .  -0.15     .     .       .
            doxepin:suvorexant  0    0 -0.03      .  -0.03     .     .       .
             doxepin:trazodone  0    0 -0.06      .  -0.06     .     .       .
          doxepin:trimipramine  0    0 -0.21      .  -0.21     .     .       .
              doxepin:zaleplon  0    0  0.12      .   0.12     .     .       .
              doxepin:zolpidem  0    0 -0.15      .  -0.15     .     .       .
             doxepin:zopiclone  0    0 -0.17      .  -0.17     .     .       .
        doxylamine:eszopiclone  0    0 -0.10      .  -0.10     .     .       .
        doxylamine:lemborexant  0    0  0.11      .   0.11     .     .       .
          doxylamine:melatonin  0    0  0.27      .   0.27     .     .       .
            doxylamine:placebo  1 0.73  0.46   0.60   0.07  0.53  1.99  0.0463
          doxylamine:ramelteon  0    0  0.32      .   0.32     .     .       .
        doxylamine:seltorexant  0    0  0.03      .   0.03     .     .       .
         doxylamine:suvorexant  0    0  0.15      .   0.15     .     .       .
          doxylamine:trazodone  0    0  0.11      .   0.11     .     .       .
       doxylamine:trimipramine  0    0 -0.03      .  -0.03     .     .       .
           doxylamine:zaleplon  0    0  0.29      .   0.29     .     .       .
           doxylamine:zolpidem  1 0.78  0.02  -0.10   0.47 -0.57 -1.99  0.0463
          doxylamine:zopiclone  0    0  0.01      .   0.01     .     .       .
       eszopiclone:lemborexant  0    0  0.21      .   0.21     .     .       .
         eszopiclone:melatonin  0    0  0.38      .   0.38     .     .       .
           eszopiclone:placebo  7 0.94  0.56   0.57   0.36  0.21  1.26  0.2087
         eszopiclone:ramelteon  0    0  0.42      .   0.42     .     .       .
       eszopiclone:seltorexant  0    0  0.13      .   0.13     .     .       .
        eszopiclone:suvorexant  0    0  0.25      .   0.25     .     .       .
         eszopiclone:trazodone  0    0  0.22      .   0.22     .     .       .
      eszopiclone:trimipramine  0    0  0.07      .   0.07     .     .       .
          eszopiclone:zaleplon  0    0  0.40      .   0.40     .     .       .
          eszopiclone:zolpidem  0    0  0.13      .   0.13     .     .       .
         eszopiclone:zopiclone  2 0.66  0.11   0.04   0.25 -0.21 -1.26  0.2087
         lemborexant:melatonin  0    0  0.16      .   0.16     .     .       .
           lemborexant:placebo  2 0.81  0.35   0.33   0.43 -0.10 -0.77  0.4441
         lemborexant:ramelteon  0    0  0.21      .   0.21     .     .       .
       lemborexant:seltorexant  0    0 -0.08      .  -0.08     .     .       .
        lemborexant:suvorexant  0    0  0.04      .   0.04     .     .       .
         lemborexant:trazodone  0    0  0.01      .   0.01     .     .       .
      lemborexant:trimipramine  0    0 -0.14      .  -0.14     .     .       .
          lemborexant:zaleplon  0    0  0.18      .   0.18     .     .       .
          lemborexant:zolpidem  1 0.47 -0.09  -0.03  -0.14  0.11  1.04  0.3000
         lemborexant:zopiclone  0    0 -0.10      .  -0.10     .     .       .
             melatonin:placebo  4 1.00  0.18   0.18      .     .     .       .
