"BZD-intermediate","0.21 (-0.13 to  0.54)","-0.16 (-0.50 to  0.18)",".",".",".",".",".",".","0.58 ( 0.37 to  0.79)",".",".",".",".","0.28 (-0.41 to  0.96)",".","-0.01 (-0.37 to  0.35)","."
"0.13 (-0.07 to  0.33)","BZD-long","-0.40 (-0.74 to -0.07)",".",".",".",".",".",".","0.45 ( 0.23 to  0.68)",".",".",".",".",".",".",".","0.10 (-0.18 to  0.38)"
"-0.11 (-0.33 to  0.11)","-0.24 (-0.46 to -0.02)","BZD-short",".",".",".",".",".",".","1.00 ( 0.08 to  1.91)",".",".",".",".",".",".","-0.04 (-0.41 to  0.32)","0.26 (-0.34 to  0.86)"
"0.34 ( 0.11 to  0.57)","0.21 (-0.03 to  0.45)","0.45 ( 0.19 to  0.72)","daridorexant",".",".",".",".",".","0.22 ( 0.05 to  0.40)",".",".",".",".",".",".","-0.18 (-0.56 to  0.21)","."
"0.28 (-0.02 to  0.58)","0.15 (-0.15 to  0.46)","0.39 ( 0.06 to  0.72)","-0.06 (-0.36 to  0.25)","doxepin",".",".",".",".","0.29 ( 0.04 to  0.55)",".",".",".",".",".",".",".","."
"0.12 (-0.22 to  0.46)","-0.01 (-0.36 to  0.34)","0.23 (-0.14 to  0.60)","-0.22 (-0.57 to  0.13)","-0.16 (-0.56 to  0.24)","doxylamine",".",".",".","0.60 ( 0.25 to  0.95)",".",".",".",".",".",".","-0.10 (-0.45 to  0.25)","."
"0.06 (-0.13 to  0.26)","-0.07 (-0.26 to  0.13)","0.17 (-0.06 to  0.41)","-0.28 (-0.48 to -0.07)","-0.22 (-0.50 to  0.06)","-0.06 (-0.38 to  0.27)","eszopiclone",".",".","0.52 ( 0.40 to  0.65)",".",".",".",".",".",".",".","0.04 (-0.21 to  0.29)"
"0.23 (-0.01 to  0.47)","0.10 (-0.15 to  0.34)","0.34 ( 0.07 to  0.61)","-0.11 (-0.35 to  0.13)","-0.05 (-0.37 to  0.26)","0.11 (-0.24 to  0.46)","0.17 (-0.05 to  0.38)","lemborexant",".","0.34 ( 0.14 to  0.53)",".",".",".",".",".",".","-0.03 (-0.30 to  0.25)","."
"0.41 ( 0.17 to  0.65)","0.28 ( 0.04 to  0.53)","0.52 ( 0.25 to  0.80)","0.07 (-0.17 to  0.32)","0.13 (-0.18 to  0.44)","0.29 (-0.06 to  0.65)","0.35 ( 0.14 to  0.56)","0.19 (-0.07 to  0.44)","melatonin","0.16 (-0.01 to  0.34)",".",".",".",".",".",".",".","."
"0.57 ( 0.41 to  0.74)","0.44 ( 0.27 to  0.61)","0.68 ( 0.48 to  0.89)","0.23 ( 0.07 to  0.40)","0.29 ( 0.04 to  0.55)","0.45 ( 0.15 to  0.76)","0.51 ( 0.39 to  0.63)","0.35 ( 0.17 to  0.53)","0.16 (-0.01 to  0.34)","placebo","-0.12 (-0.29 to  0.05)","-0.33 (-0.68 to  0.03)","-0.31 (-0.52 to -0.11)","-0.22 (-0.59 to  0.14)","-0.73 (-1.42 to -0.03)","-0.13 (-0.29 to  0.04)","-0.40 (-0.50 to -0.30)","-0.53 (-1.08 to  0.03)"
"0.45 ( 0.22 to  0.69)","0.32 ( 0.08 to  0.56)","0.56 ( 0.30 to  0.83)","0.11 (-0.12 to  0.35)","0.17 (-0.13 to  0.48)","0.33 (-0.02 to  0.68)","0.39 ( 0.18 to  0.60)","0.23 (-0.02 to  0.47)","0.04 (-0.20 to  0.28)","-0.12 (-0.29 to  0.05)","ramelteon",".",".",".",".",".",".","."
"0.15 (-0.18 to  0.49)","0.02 (-0.32 to  0.36)","0.26 (-0.10 to  0.62)","-0.19 (-0.53 to  0.15)","-0.13 (-0.52 to  0.26)","0.03 (-0.39 to  0.45)","0.09 (-0.23 to  0.41)","-0.08 (-0.42 to  0.27)","-0.26 (-0.61 to  0.08)","-0.42 (-0.72 to -0.12)","-0.30 (-0.64 to  0.04)","seltorexant",".",".",".",".","0.10 (-0.26 to  0.46)","."
"0.26 ( 0.00 to  0.52)","0.13 (-0.13 to  0.39)","0.37 ( 0.08 to  0.66)","-0.08 (-0.34 to  0.18)","-0.02 (-0.35 to  0.30)","0.14 (-0.23 to  0.51)","0.20 (-0.04 to  0.43)","0.03 (-0.24 to  0.30)","-0.15 (-0.42 to  0.11)","-0.31 (-0.52 to -0.11)","-0.19 (-0.46 to  0.07)","0.11 (-0.25 to  0.47)","suvorexant",".",".",".",".","."
"0.24 (-0.12 to  0.60)","0.11 (-0.26 to  0.47)","0.35 (-0.03 to  0.73)","-0.10 (-0.47 to  0.26)","-0.05 (-0.46 to  0.37)","0.12 (-0.32 to  0.56)","0.17 (-0.17 to  0.52)","0.01 (-0.36 to  0.38)","-0.18 (-0.55 to  0.19)","-0.34 (-0.66 to -0.01)","-0.22 (-0.58 to  0.15)","0.08 (-0.35 to  0.52)","-0.02 (-0.41 to  0.36)","trazodone",".",".","0.03 (-0.34 to  0.41)","."
"0.07 (-0.53 to  0.67)","-0.06 (-0.67 to  0.56)","0.18 (-0.44 to  0.80)","-0.27 (-0.89 to  0.35)","-0.21 (-0.86 to  0.44)","-0.05 (-0.72 to  0.62)","0.01 (-0.60 to  0.62)","-0.16 (-0.78 to  0.47)","-0.34 (-0.97 to  0.28)","-0.50 (-1.10 to  0.09)","-0.38 (-1.00 to  0.24)","-0.08 (-0.75 to  0.58)","-0.19 (-0.82 to  0.44)","-0.17 (-0.85 to  0.51)","trimipramine",".",".","."
