Separate indirect from direct evidence (SIDE) using back-calculation method

Fixed effects model: 

                    comparison k prop   nma direct indir.  Diff     z  p-value
     BZD-intermediate:BZD-long 1 0.39  0.52   0.14   0.76 -0.62 -2.47   0.0135
    BZD-intermediate:BZD-short 0    0  0.60      .   0.60     .     .        .
 BZD-intermediate:daridorexant 0    0  0.79      .   0.79     .     .        .
  BZD-intermediate:eszopiclone 1 0.21  0.38   0.12   0.45 -0.32 -1.32   0.1855
  BZD-intermediate:lemborexant 0    0  0.66      .   0.66     .     .        .
    BZD-intermediate:melatonin 0    0  0.72      .   0.72     .     .        .
      BZD-intermediate:placebo 3 0.66  1.06   1.29   0.61  0.68  4.05 < 0.0001
    BZD-intermediate:ramelteon 0    0  1.05      .   1.05     .     .        .
    BZD-intermediate:trazodone 1 0.40  0.43  -0.14   0.83 -0.97 -4.09 < 0.0001
 BZD-intermediate:trimipramine 1 0.76  0.31   0.28   0.40 -0.12 -0.18   0.8600
     BZD-intermediate:zaleplon 0    0  0.94      .   0.94     .     .        .
     BZD-intermediate:zolpidem 1 0.07  0.57   0.24   0.60 -0.36 -1.09   0.2759
    BZD-intermediate:zopiclone 0    0  0.45      .   0.45     .     .        .
            BZD-long:BZD-short 1 0.09  0.08  -0.10   0.10 -0.20 -0.33   0.7445
         BZD-long:daridorexant 0    0  0.27      .   0.27     .     .        .
          BZD-long:eszopiclone 0    0 -0.14      .  -0.14     .     .        .
          BZD-long:lemborexant 0    0  0.14      .   0.14     .     .        .
            BZD-long:melatonin 0    0  0.20      .   0.20     .     .        .
              BZD-long:placebo 3 0.63  0.55   0.26   1.02 -0.75 -3.36   0.0008
            BZD-long:ramelteon 0    0  0.54      .   0.54     .     .        .
            BZD-long:trazodone 0    0 -0.09      .  -0.09     .     .        .
         BZD-long:trimipramine 0    0 -0.21      .  -0.21     .     .        .
             BZD-long:zaleplon 0    0  0.42      .   0.42     .     .        .
             BZD-long:zolpidem 0    0  0.05      .   0.05     .     .        .
            BZD-long:zopiclone 3 0.62 -0.07  -0.00  -0.17  0.17  0.72   0.4721
        BZD-short:daridorexant 0    0  0.19      .   0.19     .     .        .
         BZD-short:eszopiclone 0    0 -0.23      .  -0.23     .     .        .
         BZD-short:lemborexant 0    0  0.06      .   0.06     .     .        .
           BZD-short:melatonin 0    0  0.12      .   0.12     .     .        .
             BZD-short:placebo 0    0  0.46      .   0.46     .     .        .
           BZD-short:ramelteon 0    0  0.45      .   0.45     .     .        .
           BZD-short:trazodone 0    0 -0.17      .  -0.17     .     .        .
        BZD-short:trimipramine 0    0 -0.30      .  -0.30     .     .        .
            BZD-short:zaleplon 0    0  0.33      .   0.33     .     .        .
            BZD-short:zolpidem 1 0.94 -0.03  -0.04   0.16 -0.20 -0.33   0.7445
           BZD-short:zopiclone 0    0 -0.15      .  -0.15     .     .        .
      daridorexant:eszopiclone 0    0 -0.42      .  -0.42     .     .        .
      daridorexant:lemborexant 0    0 -0.13      .  -0.13     .     .        .
        daridorexant:melatonin 0    0 -0.07      .  -0.07     .     .        .
          daridorexant:placebo 3 0.96  0.27   0.26   0.63 -0.37 -1.58   0.1151
        daridorexant:ramelteon 0    0  0.26      .   0.26     .     .        .
        daridorexant:trazodone 0    0 -0.36      .  -0.36     .     .        .
     daridorexant:trimipramine 0    0 -0.49      .  -0.49     .     .        .
         daridorexant:zaleplon 0    0  0.14      .   0.14     .     .        .
         daridorexant:zolpidem 1 0.15 -0.22  -0.03  -0.26  0.22  1.30   0.1930
        daridorexant:zopiclone 0    0 -0.34      .  -0.34     .     .        .
       eszopiclone:lemborexant 0    0  0.28      .   0.28     .     .        .
         eszopiclone:melatonin 0    0  0.35      .   0.35     .     .        .
           eszopiclone:placebo 1 0.77  0.69   0.68   0.72 -0.05 -0.28   0.7796
         eszopiclone:ramelteon 0    0  0.68      .   0.68     .     .        .
         eszopiclone:trazodone 0    0  0.06      .   0.06     .     .        .
      eszopiclone:trimipramine 0    0 -0.07      .  -0.07     .     .        .
          eszopiclone:zaleplon 0    0  0.56      .   0.56     .     .        .
          eszopiclone:zolpidem 0    0  0.19      .   0.19     .     .        .
         eszopiclone:zopiclone 2 0.79  0.08   0.04   0.21 -0.17 -0.81   0.4175
         lemborexant:melatonin 0    0  0.06      .   0.06     .     .        .
           lemborexant:placebo 2 0.83  0.41   0.38   0.52 -0.13 -1.03   0.3045
         lemborexant:ramelteon 0    0  0.40      .   0.40     .     .        .
         lemborexant:trazodone 0    0 -0.22      .  -0.22     .     .        .
      lemborexant:trimipramine 0    0 -0.35      .  -0.35     .     .        .
          lemborexant:zaleplon 0    0  0.28      .   0.28     .     .        .
          lemborexant:zolpidem 1 0.53 -0.09  -0.04  -0.14  0.11  0.98   0.3264
         lemborexant:zopiclone 0    0 -0.21      .  -0.21     .     .        .
             melatonin:placebo 1 1.00  0.34   0.34      .     .     .        .
           melatonin:ramelteon 0    0  0.33      .   0.33     .     .        .
           melatonin:trazodone 0    0 -0.29      .  -0.29     .     .        .
        melatonin:trimipramine 0    0 -0.42      .  -0.42     .     .        .
            melatonin:zaleplon 0    0  0.21      .   0.21     .     .        .
            melatonin:zolpidem 0    0 -0.15      .  -0.15     .     .        .
           melatonin:zopiclone 0    0 -0.27      .  -0.27     .     .        .
             ramelteon:placebo 1 1.00  0.01   0.01      .     .     .        .
             trazodone:placebo 1 0.56  0.63   0.22   1.17 -0.95 -4.45 < 0.0001
          trimipramine:placebo 1 0.73  0.76   0.73   0.84 -0.11 -0.18   0.8600
              zaleplon:placebo 2 0.85  0.13   0.09   0.31 -0.22 -1.06   0.2874
              zolpidem:placebo 8 0.88  0.49   0.48   0.61 -0.13 -1.07   0.2828
             zopiclone:placebo 1 0.15  0.61   0.53   0.63 -0.10 -0.36   0.7200
           ramelteon:trazodone 0    0 -0.62      .  -0.62     .     .        .
        ramelteon:trimipramine 0    0 -0.75      .  -0.75     .     .        .
            ramelteon:zaleplon 0    0 -0.12      .  -0.12     .     .        .
            ramelteon:zolpidem 0    0 -0.48      .  -0.48     .     .        .
           ramelteon:zopiclone 0    0 -0.60      .  -0.60     .     .        .
        trazodone:trimipramine 0    0 -0.13      .  -0.13     .     .        .
            trazodone:zaleplon 0    0  0.50      .   0.50     .     .        .
            trazodone:zolpidem 1 0.58  0.14   0.03   0.28 -0.25 -1.13   0.2580
           trazodone:zopiclone 0    0  0.02      .   0.02     .     .        .
         trimipramine:zaleplon 0    0  0.63      .   0.63     .     .        .
         trimipramine:zolpidem 0    0  0.26      .   0.26     .     .        .
        trimipramine:zopiclone 0    0  0.15      .   0.15     .     .        .
             zaleplon:zolpidem 1 0.41 -0.37  -0.29  -0.42  0.13  0.81   0.4176
            zaleplon:zopiclone 0    0 -0.48      .  -0.48     .     .        .
            zolpidem:zopiclone 0    0 -0.12      .  -0.12     .     .        .

Random effects model: 

                    comparison k prop   nma direct indir.  Diff     z p-value
     BZD-intermediate:BZD-long 1 0.38  0.37   0.14   0.51 -0.38 -0.95  0.3405
    BZD-intermediate:BZD-short 0    0  0.42      .   0.42     .     .       .
 BZD-intermediate:daridorexant 0    0  0.58      .   0.58     .     .       .
  BZD-intermediate:eszopiclone 1 0.36  0.21   0.12   0.26 -0.13 -0.33  0.7423
  BZD-intermediate:lemborexant 0    0  0.46      .   0.46     .     .       .
    BZD-intermediate:melatonin 0    0  0.51      .   0.51     .     .       .
      BZD-intermediate:placebo 3 0.59  0.85   1.02   0.61  0.41  1.45  0.1477
    BZD-intermediate:ramelteon 0    0  0.84      .   0.84     .     .       .
    BZD-intermediate:trazodone 1 0.47  0.25  -0.14   0.61 -0.75 -1.81  0.0697
 BZD-intermediate:trimipramine 1 0.77  0.20   0.28  -0.05  0.33  0.39  0.6996
     BZD-intermediate:zaleplon 0    0  0.74      .   0.74     .     .       .
     BZD-intermediate:zolpidem 1 0.16  0.40   0.24   0.44 -0.20 -0.46  0.6483
