"BZD-intermediate","1.14 (0.47 to  2.75)","1.10 (0.59 to  2.06)",".",".",".",".",".",".","0.85 (0.55 to  1.30)",".",".",".",".",".","1.24 (0.34 to  4.56)",".","0.44 (0.20 to  0.93)","0.99 (0.28 to  3.51)"
"1.00 (0.66 to  1.51)","BZD-long","0.86 (0.60 to  1.24)",".",".",".",".",".",".","0.86 (0.56 to  1.30)",".",".",".",".",".",".",".",".","0.80 (0.54 to  1.20)"
"0.95 (0.66 to  1.36)","0.94 (0.69 to  1.30)","BZD-short",".",".",".",".",".",".","0.82 (0.59 to  1.14)",".",".",".",".",".",".","0.22 (0.01 to  4.29)","2.27 (0.52 to  9.86)","0.93 (0.62 to  1.38)"
"0.82 (0.50 to  1.34)","0.82 (0.50 to  1.33)","0.87 (0.55 to  1.37)","daridorexant",".",".",".",".",".","0.99 (0.68 to  1.43)",".",".",".",".",".",".",".","0.24 (0.02 to  2.72)","."
"0.66 (0.34 to  1.27)","0.65 (0.34 to  1.26)","0.69 (0.37 to  1.31)","0.80 (0.41 to  1.58)","doxepin",".",".",".",".","1.15 (0.62 to  2.14)",".","1.22 (0.51 to  2.95)",".",".",".",".",".",".","."
"1.29 (0.51 to  3.31)","1.29 (0.51 to  3.30)","1.37 (0.54 to  3.44)","1.58 (0.61 to  4.11)","1.97 (0.69 to  5.65)","doxylamine",".",".",".","0.54 (0.21 to  1.44)",".",".",".",".",".",".",".","0.65 (0.24 to  1.75)","."
"1.06 (0.67 to  1.68)","1.05 (0.68 to  1.64)","1.12 (0.74 to  1.69)","1.29 (0.78 to  2.13)","1.61 (0.82 to  3.14)","0.82 (0.32 to  2.10)","eszopiclone",".",".","0.66 (0.42 to  1.04)",".",".",".",".",".",".",".",".","0.84 (0.53 to  1.34)"
"0.92 (0.56 to  1.51)","0.92 (0.56 to  1.50)","0.97 (0.62 to  1.54)","1.12 (0.67 to  1.89)","1.41 (0.71 to  2.78)","0.71 (0.27 to  1.85)","0.87 (0.53 to  1.45)","lemborexant",".","0.96 (0.65 to  1.44)",".",".",".",".",".",".",".","0.47 (0.24 to  0.95)","."
"0.83 (0.42 to  1.65)","0.83 (0.42 to  1.65)","0.88 (0.45 to  1.71)","1.02 (0.50 to  2.05)","1.27 (0.55 to  2.91)","0.64 (0.22 to  1.87)","0.79 (0.39 to  1.58)","0.90 (0.45 to  1.83)","melatonin","0.96 (0.52 to  1.75)",".",".",".",".",".",".",".",".","."
"0.80 (0.58 to  1.10)","0.80 (0.57 to  1.10)","0.84 (0.64 to  1.11)","0.97 (0.67 to  1.40)","1.21 (0.69 to  2.15)","0.62 (0.25 to  1.49)","0.75 (0.53 to  1.07)","0.86 (0.60 to  1.25)","0.96 (0.52 to  1.75)","placebo","2.33 (0.17 to 32.58)","0.79 (0.65 to  0.96)","2.27 (0.76 to  6.78)","1.10 (0.78 to  1.56)","0.65 (0.24 to  1.78)","1.07 (0.28 to  4.04)","0.95 (0.65 to  1.39)","0.89 (0.70 to  1.13)","1.03 (0.69 to  1.52)"
"1.86 (0.13 to 26.50)","1.86 (0.13 to 26.43)","1.96 (0.14 to 27.83)","2.27 (0.16 to 32.46)","2.83 (0.19 to 42.07)","1.44 (0.09 to 23.17)","1.76 (0.12 to 25.15)","2.02 (0.14 to 28.90)","2.23 (0.15 to 33.35)","2.33 (0.17 to 32.58)","quetiapine",".",".",".",".",".",".",".","."
"0.63 (0.43 to  0.93)","0.63 (0.43 to  0.92)","0.67 (0.48 to  0.94)","0.77 (0.51 to  1.17)","0.97 (0.54 to  1.73)","0.49 (0.20 to  1.21)","0.60 (0.40 to  0.89)","0.69 (0.45 to  1.05)","0.76 (0.40 to  1.43)","0.79 (0.65 to  0.97)","0.34 (0.02 to  4.79)","ramelteon",".",".",".",".",".",".","."
