"BZD-intermediate","0.92 (0.38 to 2.20)","0.69 (0.29 to 1.64)",".",".",".","0.83 (0.50 to 1.37)",".",".","1.71 (0.59 to 4.95)","."
"1.07 (0.62 to 1.86)","BZD-long","0.67 (0.42 to 1.06)",".",".",".","0.64 (0.41 to 1.00)",".",".",".","1.36 (0.29 to 6.39)"
"0.64 (0.37 to 1.09)","0.59 (0.40 to 0.89)","BZD-short",".",".",".","1.48 (0.97 to 2.26)",".",".","1.80 (0.84 to 3.86)","2.54 (1.05 to 6.13)"
"1.44 (0.62 to 3.35)","1.34 (0.60 to 3.02)","2.26 (1.02 to 5.00)","doxepin",".",".","0.59 (0.29 to 1.19)",".",".",".","."
"0.88 (0.47 to 1.64)","0.82 (0.46 to 1.46)","1.39 (0.80 to 2.40)","0.61 (0.27 to 1.39)","eszopiclone",".","0.96 (0.64 to 1.45)",".",".",".","."
"0.83 (0.45 to 1.52)","0.77 (0.45 to 1.35)","1.30 (0.77 to 2.21)","0.58 (0.26 to 1.28)","0.94 (0.54 to 1.64)","melatonin","1.02 (0.70 to 1.50)",".",".",".","."
"0.85 (0.53 to 1.36)","0.79 (0.53 to 1.19)","1.33 (0.92 to 1.93)","0.59 (0.29 to 1.19)","0.96 (0.64 to 1.45)","1.02 (0.70 to 1.50)","placebo","1.28 (0.80 to 2.04)","1.04 (0.52 to 2.08)","0.99 (0.59 to 1.66)","1.55 (0.24 to 9.94)"
"1.09 (0.56 to 2.10)","1.01 (0.55 to 1.88)","1.71 (0.94 to 3.08)","0.75 (0.32 to 1.76)","1.23 (0.66 to 2.29)","1.31 (0.72 to 2.39)","1.28 (0.80 to 2.04)","ramelteon",".",".","."
"0.71 (0.33 to 1.51)","0.66 (0.32 to 1.36)","1.11 (0.55 to 2.22)","0.49 (0.19 to 1.25)","0.80 (0.38 to 1.67)","0.85 (0.41 to 1.75)","0.83 (0.45 to 1.53)","0.65 (0.30 to 1.40)","zaleplon","1.80 (0.78 to 4.17)","."
"0.88 (0.47 to 1.64)","0.82 (0.46 to 1.47)","1.38 (0.81 to 2.34)","0.61 (0.26 to 1.42)","1.00 (0.54 to 1.85)","1.06 (0.58 to 1.93)","1.03 (0.65 to 1.65)","0.81 (0.42 to 1.56)","1.25 (0.65 to 2.39)","zolpidem","."
"1.54 (0.63 to 3.79)","1.44 (0.64 to 3.25)","2.42 (1.14 to 5.15)","1.07 (0.37 to 3.13)","1.75 (0.70 to 4.33)","1.86 (0.76 to 4.54)","1.81 (0.81 to 4.07)","1.42 (0.56 to 3.61)","2.18 (0.80 to 5.95)","1.75 (0.71 to 4.32)","zopiclone"
