"BZD-intermediate",".","1.63 (0.52 to  5.12)",".",".",".","1.00 (0.06 to 16.74)",".",".",".",".","."
"2.56 (0.37 to 17.65)","BZD-long","0.32 (0.03 to  3.28)",".",".",".","1.00 (0.13 to  7.60)",".",".",".",".","."
"1.50 (0.51 to  4.40)","0.59 (0.11 to  3.13)","BZD-short",".",".",".","0.97 (0.22 to  4.23)",".",".",".",".","2.54 (1.05 to  6.13)"
"2.36 (0.40 to 13.93)","0.92 (0.14 to  6.05)","1.57 (0.33 to  7.44)","doxepin",".",".","0.69 (0.26 to  1.81)",".",".",".",".","."
"1.67 (0.35 to  7.90)","0.65 (0.12 to  3.48)","1.11 (0.30 to  4.06)","0.71 (0.24 to  2.05)","eszopiclone",".","0.97 (0.63 to  1.51)",".",".",".",".","."
"1.81 (0.39 to  8.35)","0.71 (0.14 to  3.68)","1.20 (0.34 to  4.28)","0.77 (0.28 to  2.14)","1.08 (0.62 to  1.89)","melatonin","0.90 (0.64 to  1.26)",".",".",".",".","."
"1.62 (0.36 to  7.20)","0.63 (0.13 to  3.18)","1.08 (0.32 to  3.65)","0.69 (0.26 to  1.81)","0.97 (0.63 to  1.51)","0.90 (0.64 to  1.26)","placebo","2.33 (0.17 to 32.58)","0.83 (0.51 to  1.36)","0.78 (0.48 to  1.28)","0.71 (0.41 to  1.23)","."
"3.78 (0.18 to 78.17)","1.48 (0.07 to 32.52)","2.52 (0.14 to 45.99)","1.61 (0.10 to 26.62)","2.26 (0.16 to 32.80)","2.09 (0.15 to 29.85)","2.33 (0.17 to 32.58)","quetiapine",".",".",".","."
"1.35 (0.28 to  6.48)","0.53 (0.10 to  2.85)","0.90 (0.24 to  3.35)","0.57 (0.19 to  1.69)","0.81 (0.42 to  1.56)","0.75 (0.41 to  1.36)","0.83 (0.51 to  1.36)","0.36 (0.02 to  5.22)","ramelteon",".",".","."
"1.16 (0.24 to  5.53)","0.45 (0.08 to  2.43)","0.77 (0.21 to  2.85)","0.49 (0.17 to  1.44)","0.69 (0.37 to  1.32)","0.64 (0.36 to  1.15)","0.72 (0.45 to  1.14)","0.31 (0.02 to  4.46)","0.86 (0.44 to  1.68)","zaleplon","1.11 (0.72 to  1.70)","."
"1.17 (0.24 to  5.69)","0.46 (0.08 to  2.50)","0.78 (0.21 to  2.94)","0.50 (0.17 to  1.50)","0.70 (0.35 to  1.39)","0.65 (0.35 to  1.21)","0.72 (0.43 to  1.22)","0.31 (0.02 to  4.56)","0.87 (0.42 to  1.77)","1.01 (0.67 to  1.53)","zolpidem","."
"3.81 (0.95 to 15.31)","1.49 (0.22 to  9.88)","2.54 (1.05 to  6.13)","1.62 (0.27 to  9.68)","2.28 (0.48 to 10.95)","2.11 (0.45 to  9.86)","2.35 (0.52 to 10.59)","1.01 (0.05 to 20.98)","2.82 (0.58 to 13.71)","3.29 (0.68 to 15.90)","3.25 (0.66 to 15.99)","zopiclone"
