"BZD-intermediate","1.43 (0.55 to  3.73)",".",".",".",".",".","0.69 (0.41 to  1.15)",".",".","1.24 (0.34 to  4.56)",".",".","."
"1.49 (0.72 to  3.08)","BZD-long",".",".",".",".",".","0.39 (0.18 to  0.84)",".",".",".",".",".","0.92 (0.41 to  2.02)"
"0.44 (0.12 to  1.63)","0.30 (0.08 to  1.14)","BZD-short",".",".",".",".",".",".",".",".",".","1.18 (0.37 to  3.74)","."
"0.73 (0.39 to  1.38)","0.49 (0.24 to  1.01)","1.67 (0.48 to  5.83)","daridorexant",".",".",".","0.99 (0.68 to  1.43)",".",".",".",".","0.24 (0.02 to  2.72)","."
"1.26 (0.66 to  2.43)","0.85 (0.44 to  1.62)","2.86 (0.80 to 10.25)","1.72 (0.98 to  3.02)","eszopiclone",".",".","0.60 (0.37 to  0.95)",".",".",".",".",".","0.84 (0.53 to  1.34)"
"0.76 (0.40 to  1.45)","0.51 (0.25 to  1.06)","1.73 (0.50 to  5.97)","1.04 (0.61 to  1.77)","0.60 (0.34 to  1.08)","lemborexant",".","1.00 (0.66 to  1.52)",".",".",".",".","0.47 (0.24 to  0.95)","."
"0.33 (0.12 to  0.92)","0.22 (0.07 to  0.65)","0.74 (0.16 to  3.31)","0.44 (0.17 to  1.17)","0.26 (0.09 to  0.70)","0.43 (0.16 to  1.14)","melatonin","2.21 (0.89 to  5.44)",".",".",".",".",".","."
"0.72 (0.43 to  1.19)","0.48 (0.26 to  0.89)","1.63 (0.49 to  5.40)","0.98 (0.68 to  1.41)","0.57 (0.37 to  0.87)","0.94 (0.64 to  1.39)","2.21 (0.89 to  5.44)","placebo","2.27 (0.76 to  6.78)","0.65 (0.24 to  1.78)","1.07 (0.28 to  4.04)","0.85 (0.36 to  2.01)","0.79 (0.56 to  1.12)","1.55 (0.24 to  9.94)"
"1.21 (0.41 to  3.61)","0.81 (0.26 to  2.56)","2.75 (0.61 to 12.45)","1.65 (0.59 to  4.63)","0.96 (0.33 to  2.76)","1.59 (0.57 to  4.47)","3.73 (1.00 to 13.97)","1.69 (0.65 to  4.44)","seltorexant",".",".",".","0.66 (0.19 to  2.26)","."
"0.52 (0.20 to  1.40)","0.35 (0.12 to  0.99)","1.19 (0.29 to  4.90)","0.71 (0.29 to  1.78)","0.41 (0.16 to  1.06)","0.69 (0.28 to  1.71)","1.61 (0.47 to  5.52)","0.73 (0.32 to  1.69)","0.43 (0.12 to  1.52)","trazodone",".",".","0.92 (0.37 to  2.27)","."
"0.99 (0.31 to  3.18)","0.66 (0.18 to  2.44)","2.24 (0.42 to 12.00)","1.35 (0.39 to  4.60)","0.78 (0.23 to  2.72)","1.30 (0.38 to  4.47)","3.04 (0.69 to 13.36)","1.38 (0.43 to  4.46)","0.82 (0.18 to  3.72)","1.89 (0.45 to  7.98)","trimipramine",".",".","."
"0.50 (0.20 to  1.21)","0.33 (0.13 to  0.87)","1.13 (0.29 to  4.42)","0.68 (0.30 to  1.52)","0.39 (0.17 to  0.92)","0.65 (0.29 to  1.47)","1.53 (0.48 to  4.87)","0.69 (0.34 to  1.43)","0.41 (0.12 to  1.35)","0.95 (0.32 to  2.80)","0.50 (0.13 to  2.00)","zaleplon","1.31 (0.53 to  3.24)","."
"0.52 (0.28 to  0.96)","0.35 (0.17 to  0.70)","1.18 (0.37 to  3.74)","0.71 (0.43 to  1.16)","0.41 (0.24 to  0.71)","0.68 (0.43 to  1.08)","1.60 (0.61 to  4.19)","0.73 (0.52 to  1.01)","0.43 (0.16 to  1.14)","0.99 (0.44 to  2.27)","0.53 (0.16 to  1.78)","1.05 (0.50 to  2.17)","zolpidem","."
"1.12 (0.54 to  2.31)","0.75 (0.40 to  1.42)","2.54 (0.68 to  9.52)","1.53 (0.79 to  2.96)","0.89 (0.58 to  1.36)","1.47 (0.75 to  2.90)","3.45 (1.20 to  9.93)","1.56 (0.90 to  2.71)","0.92 (0.30 to  2.81)","2.14 (0.79 to  5.83)","1.13 (0.31 to  4.11)","2.25 (0.91 to  5.61)","2.15 (1.13 to  4.10)","zopiclone"
