"BZD-intermediate","1.14 (0.47 to  2.75)","1.10 (0.59 to  2.06)",".",".",".",".",".",".",".","0.90 (0.60 to  1.37)",".",".",".",".","1.45 (0.27 to  7.78)","1.24 (0.34 to  4.56)",".","0.46 (0.22 to  0.95)","0.99 (0.28 to  3.51)"
"1.04 (0.70 to  1.56)","BZD-long","0.86 (0.60 to  1.24)",".",".",".",".",".",".",".","0.86 (0.56 to  1.30)",".",".",".",".",".",".",".",".","0.80 (0.54 to  1.20)"
"0.98 (0.69 to  1.40)","0.94 (0.69 to  1.29)","BZD-short",".",".",".",".",".",".",".","0.82 (0.59 to  1.14)",".",".",".",".",".",".","0.22 (0.01 to  4.29)","2.27 (0.52 to  9.86)","0.93 (0.62 to  1.38)"
"0.64 (0.37 to  1.12)","0.62 (0.35 to  1.08)","0.65 (0.38 to  1.12)","daridorexant",".",".",".",".",".",".","1.32 (0.82 to  2.12)",".",".",".",".",".",".",".","0.49 (0.07 to  3.55)","."
"0.52 (0.18 to  1.53)","0.50 (0.17 to  1.47)","0.53 (0.18 to  1.54)","0.82 (0.26 to  2.52)","diphenydramine",".",".",".",".",".","1.55 (0.55 to  4.32)",".",".",".",".",".",".",".",".","."
"0.67 (0.35 to  1.28)","0.64 (0.33 to  1.23)","0.68 (0.36 to  1.28)","1.04 (0.50 to  2.17)","1.27 (0.39 to  4.13)","doxepin",".",".",".",".","1.15 (0.62 to  2.14)",".","1.22 (0.51 to  2.95)",".",".",".",".",".",".","."
"1.44 (0.57 to  3.67)","1.39 (0.54 to  3.54)","1.47 (0.59 to  3.70)","2.25 (0.83 to  6.11)","2.76 (0.71 to 10.70)","2.17 (0.76 to  6.20)","doxylamine",".",".",".","0.54 (0.21 to  1.44)",".",".",".",".",".",".",".","0.65 (0.24 to  1.75)","."
"1.10 (0.70 to  1.74)","1.06 (0.68 to  1.65)","1.12 (0.74 to  1.71)","1.72 (0.96 to  3.08)","2.10 (0.71 to  6.24)","1.65 (0.84 to  3.23)","0.76 (0.30 to  1.97)","eszopiclone",".",".","0.66 (0.42 to  1.04)",".",".",".",".",".",".",".",".","0.85 (0.52 to  1.39)"
"1.11 (0.68 to  1.80)","1.07 (0.65 to  1.75)","1.13 (0.71 to  1.80)","1.73 (0.95 to  3.15)","2.12 (0.71 to  6.34)","1.66 (0.84 to  3.30)","0.77 (0.30 to  2.00)","1.01 (0.60 to  1.69)","lemborexant",".","0.84 (0.56 to  1.26)",".",".",".",".",".",".",".","0.47 (0.24 to  0.95)","."
"0.85 (0.43 to  1.67)","0.81 (0.41 to  1.61)","0.86 (0.45 to  1.67)","1.32 (0.62 to  2.82)","1.62 (0.49 to  5.32)","1.27 (0.55 to  2.91)","0.59 (0.20 to  1.71)","0.77 (0.38 to  1.55)","0.76 (0.37 to  1.55)","melatonin","0.96 (0.52 to  1.75)",".",".",".",".",".",".",".",".","."
