"BZD-intermediate","0.92 (0.38 to  2.20)","0.52 (0.39 to  0.69)",".",".",".","0.83 (0.50 to  1.37)",".",".","1.71 (0.59 to  4.95)","."
"0.92 (0.60 to 1.41)","BZD-long","0.67 (0.42 to  1.06)",".",".",".","0.64 (0.41 to  1.00)",".",".",".","1.36 (0.29 to  6.39)"
"0.53 (0.41 to 0.69)","0.58 (0.39 to 0.86)","BZD-short",".",".",".","1.48 (0.97 to  2.26)",".",".","1.80 (0.84 to  3.86)","2.54 (1.05 to  6.13)"
"1.22 (0.55 to 2.70)","1.33 (0.59 to 2.99)","2.29 (1.05 to 4.99)","doxepin",".",".","0.59 (0.29 to  1.19)",".",".",".","."
"0.75 (0.43 to 1.29)","0.82 (0.46 to 1.45)","1.40 (0.83 to 2.38)","0.61 (0.27 to 1.39)","eszopiclone",".","0.96 (0.64 to  1.45)",".",".",".","."
"0.85 (0.35 to 2.06)","0.92 (0.37 to 2.28)","1.58 (0.66 to 3.81)","0.69 (0.24 to 2.03)","1.13 (0.45 to 2.80)","melatonin","0.85 (0.38 to  1.92)",".",".",".","."
"0.72 (0.50 to 1.04)","0.78 (0.53 to 1.17)","1.35 (0.97 to 1.89)","0.59 (0.29 to 1.19)","0.96 (0.64 to 1.45)","0.85 (0.38 to 1.92)","placebo","1.30 (0.82 to  2.05)","2.41 (0.82 to  7.12)","1.56 (0.72 to  3.39)","1.55 (0.24 to  9.94)"
"0.94 (0.52 to 1.67)","1.02 (0.56 to 1.87)","1.75 (1.00 to 3.09)","0.77 (0.33 to 1.77)","1.25 (0.68 to 2.30)","1.11 (0.44 to 2.81)","1.30 (0.82 to 2.05)","ramelteon",".",".","."
"1.39 (0.47 to 4.14)","1.51 (0.50 to 4.58)","2.60 (0.88 to 7.67)","1.14 (0.32 to 3.98)","1.85 (0.61 to 5.65)","1.64 (0.44 to 6.13)","1.92 (0.68 to 5.43)","1.48 (0.48 to 4.60)","zaleplon","2.71 (0.33 to 21.89)","."
"1.03 (0.54 to 1.96)","1.12 (0.55 to 2.26)","1.93 (1.03 to 3.59)","0.84 (0.33 to 2.17)","1.37 (0.64 to 2.91)","1.21 (0.43 to 3.40)","1.42 (0.76 to 2.68)","1.10 (0.50 to 2.39)","0.74 (0.23 to 2.38)","zolpidem","."
"1.30 (0.59 to 2.87)","1.41 (0.63 to 3.18)","2.43 (1.14 to 5.18)","1.06 (0.37 to 3.09)","1.73 (0.70 to 4.26)","1.53 (0.49 to 4.80)","1.80 (0.81 to 4.01)","1.39 (0.55 to 3.48)","0.94 (0.25 to 3.45)","1.26 (0.48 to 3.33)","zopiclone"
