"BZD-intermediate","0.73 (0.33 to  1.60)","0.52 (0.39 to  0.69)",".",".",".","0.83 (0.51 to  1.35)",".",".","1.71 (0.59 to  4.95)","."
"0.90 (0.59 to 1.38)","BZD-long","0.66 (0.42 to  1.05)",".",".",".","0.66 (0.43 to  1.02)",".",".",".","1.36 (0.29 to  6.36)"
"0.53 (0.41 to 0.69)","0.59 (0.40 to 0.88)","BZD-short",".",".",".","1.48 (0.97 to  2.26)",".",".","1.83 (0.87 to  3.84)","2.54 (1.05 to  6.13)"
"1.24 (0.57 to 2.74)","1.38 (0.62 to 3.11)","2.34 (1.07 to 5.09)","doxepin",".",".","0.59 (0.29 to  1.19)",".",".",".","."
"0.77 (0.44 to 1.32)","0.85 (0.48 to 1.51)","1.44 (0.85 to 2.43)","0.61 (0.27 to 1.38)","eszopiclone",".","0.96 (0.64 to  1.44)",".",".",".","."
"0.85 (0.36 to 2.02)","0.94 (0.39 to 2.29)","1.59 (0.67 to 3.75)","0.68 (0.24 to 1.96)","1.11 (0.46 to 2.69)","melatonin","0.87 (0.39 to  1.91)",".",".",".","."
"0.73 (0.51 to 1.05)","0.82 (0.54 to 1.22)","1.38 (0.98 to 1.92)","0.59 (0.29 to 1.19)","0.96 (0.64 to 1.44)","0.87 (0.39 to 1.91)","placebo","1.27 (0.81 to  1.98)","2.41 (0.82 to  7.12)","1.63 (0.80 to  3.30)","1.55 (0.24 to  9.94)"
"0.93 (0.52 to 1.65)","1.03 (0.57 to 1.89)","1.74 (1.00 to 3.05)","0.75 (0.32 to 1.72)","1.21 (0.66 to 2.22)","1.10 (0.44 to 2.72)","1.27 (0.81 to 1.98)","ramelteon",".",".","."
"1.40 (0.47 to 4.18)","1.56 (0.51 to 4.74)","2.63 (0.89 to 7.78)","1.13 (0.32 to 3.95)","1.83 (0.60 to 5.59)","1.66 (0.45 to 6.11)","1.91 (0.68 to 5.41)","1.51 (0.49 to 4.68)","zaleplon","2.71 (0.33 to 21.89)","."
"1.01 (0.54 to 1.91)","1.13 (0.57 to 2.25)","1.90 (1.03 to 3.50)","0.81 (0.32 to 2.07)","1.32 (0.63 to 2.77)","1.20 (0.44 to 3.25)","1.38 (0.75 to 2.56)","1.09 (0.51 to 2.33)","0.72 (0.23 to 2.30)","zolpidem","."
"1.29 (0.59 to 2.85)","1.44 (0.64 to 3.24)","2.43 (1.14 to 5.17)","1.04 (0.36 to 3.02)","1.69 (0.69 to 4.15)","1.53 (0.50 to 4.70)","1.76 (0.79 to 3.93)","1.39 (0.56 to 3.49)","0.92 (0.25 to 3.40)","1.28 (0.49 to 3.34)","zopiclone"
