"BZD-intermediate","1.43 (0.55 to  3.73)",".",".",".",".",".","0.68 (0.41 to  1.14)",".","1.45 (0.27 to  7.78)","1.24 (0.34 to  4.56)",".","0.90 (0.05 to 15.49)","."
"1.56 (0.76 to  3.19)","BZD-long",".",".",".",".",".","0.39 (0.18 to  0.82)",".",".",".",".",".","0.90 (0.42 to  1.95)"
"0.80 (0.22 to  2.86)","0.51 (0.14 to  1.94)","BZD-short",".",".",".",".",".",".",".",".",".","1.18 (0.37 to  3.74)","."
"0.60 (0.30 to  1.17)","0.38 (0.18 to  0.83)","0.75 (0.21 to  2.64)","daridorexant",".",".",".","1.32 (0.82 to  2.12)",".",".",".",".","0.49 (0.07 to  3.55)","."
"1.31 (0.70 to  2.48)","0.84 (0.44 to  1.61)","1.64 (0.47 to  5.76)","2.20 (1.17 to  4.15)","eszopiclone",".",".","0.60 (0.37 to  0.95)",".",".",".",".",".","0.85 (0.53 to  1.39)"
"1.04 (0.56 to  1.95)","0.67 (0.32 to  1.39)","1.30 (0.38 to  4.46)","1.75 (0.95 to  3.21)","0.79 (0.44 to  1.42)","lemborexant",".","0.87 (0.57 to  1.32)",".",".",".",".","0.47 (0.24 to  0.95)","."
"0.34 (0.06 to  2.04)","0.22 (0.03 to  1.36)","0.43 (0.05 to  3.43)","0.57 (0.10 to  3.40)","0.26 (0.04 to  1.53)","0.33 (0.06 to  1.92)","melatonin","2.21 (0.39 to 12.37)",".",".",".",".",".","."
"0.75 (0.46 to  1.22)","0.48 (0.26 to  0.89)","0.94 (0.29 to  3.05)","1.26 (0.79 to  2.00)","0.57 (0.37 to  0.88)","0.72 (0.48 to  1.07)","2.21 (0.39 to 12.37)","placebo","2.60 (0.84 to  7.99)","0.65 (0.24 to  1.78)","1.07 (0.28 to  4.04)","0.85 (0.36 to  2.01)","1.31 (1.02 to  1.69)","1.55 (0.24 to  9.94)"
"1.81 (0.60 to  5.48)","1.16 (0.36 to  3.75)","2.27 (0.49 to 10.44)","3.04 (1.01 to  9.11)","1.38 (0.47 to  4.08)","1.74 (0.60 to  5.05)","5.33 (0.73 to 39.06)","2.42 (0.89 to  6.54)","seltorexant",".",".",".","0.58 (0.16 to  2.03)","."
"0.86 (0.37 to  1.99)","0.55 (0.21 to  1.44)","1.08 (0.27 to  4.26)","1.45 (0.60 to  3.48)","0.66 (0.28 to  1.55)","0.83 (0.36 to  1.91)","2.53 (0.39 to 16.61)","1.15 (0.54 to  2.43)","0.48 (0.14 to  1.63)","trazodone",".",".","0.92 (0.37 to  2.27)","."
"1.01 (0.31 to  3.24)","0.65 (0.18 to  2.38)","1.26 (0.24 to  6.64)","1.69 (0.48 to  5.96)","0.77 (0.22 to  2.66)","0.97 (0.28 to  3.33)","2.97 (0.37 to 23.87)","1.35 (0.42 to  4.34)","0.56 (0.12 to  2.59)","1.17 (0.30 to  4.61)","trimipramine",".",".","."
"0.67 (0.28 to  1.60)","0.43 (0.17 to  1.11)","0.84 (0.22 to  3.28)","1.13 (0.48 to  2.65)","0.51 (0.22 to  1.18)","0.65 (0.29 to  1.45)","1.98 (0.31 to 12.83)","0.90 (0.44 to  1.84)","0.37 (0.11 to  1.25)","0.78 (0.28 to  2.17)","0.67 (0.17 to  2.63)","zaleplon","1.31 (0.53 to  3.24)","."
"0.94 (0.55 to  1.62)","0.61 (0.31 to  1.17)","1.18 (0.37 to  3.74)","1.58 (0.94 to  2.67)","0.72 (0.44 to  1.18)","0.91 (0.59 to  1.40)","2.78 (0.49 to 15.86)","1.26 (0.98 to  1.61)","0.52 (0.19 to  1.42)","1.10 (0.52 to  2.32)","0.94 (0.28 to  3.09)","1.40 (0.68 to  2.89)","zolpidem","."
"1.18 (0.58 to  2.41)","0.76 (0.40 to  1.42)","1.47 (0.40 to  5.43)","1.98 (0.95 to  4.09)","0.90 (0.57 to  1.40)","1.13 (0.57 to  2.24)","3.46 (0.57 to 21.24)","1.57 (0.90 to  2.75)","0.65 (0.21 to  2.03)","1.37 (0.54 to  3.47)","1.17 (0.32 to  4.24)","1.75 (0.70 to  4.35)","1.25 (0.68 to  2.30)","zopiclone"
