"BZD-intermediate","0.37 (0.14 to  0.95)","0.94 (0.26 to  3.37)",".",".",".",".",".",".","1.24 (0.63 to  2.46)",".",".",".",".",".",".","2.03 (0.18 to 22.82)"
"0.71 (0.36 to  1.38)","BZD-long","0.68 (0.32 to  1.44)",".",".",".",".",".",".","1.73 (0.78 to  3.86)",".",".",".",".",".",".","0.44 (0.18 to  1.08)"
"0.76 (0.40 to  1.47)","1.08 (0.61 to  1.91)","BZD-short",".",".",".",".",".",".","1.13 (0.59 to  2.16)",".",".",".",".",".","1.80 (0.40 to  8.03)","0.79 (0.30 to  2.07)"
"2.12 (0.82 to  5.49)","2.99 (1.16 to  7.68)","2.78 (1.13 to  6.84)","daridorexant",".",".",".",".",".","0.59 (0.28 to  1.25)",".",".",".",".",".",".","."
"0.75 (0.19 to  2.89)","1.05 (0.27 to  4.05)","0.98 (0.26 to  3.66)","0.35 (0.08 to  1.48)","doxepin",".",".",".",".","1.97 (0.50 to  7.79)","1.00 (0.20 to  5.06)",".",".",".",".",".","."
"1.50 (0.28 to  8.13)","2.12 (0.40 to 11.33)","1.97 (0.38 to 10.28)","0.71 (0.12 to  4.13)","2.01 (0.27 to 14.98)","doxylamine",".",".",".","0.98 (0.14 to  7.10)",".",".",".",".",".","0.34 (0.07 to  1.73)","."
"0.82 (0.27 to  2.51)","1.16 (0.40 to  3.36)","1.08 (0.38 to  3.07)","0.39 (0.11 to  1.37)","1.10 (0.23 to  5.34)","0.55 (0.09 to  3.51)","eszopiclone",".",".",".",".",".",".",".",".",".","0.57 (0.24 to  1.35)"
"1.51 (0.42 to  5.37)","2.12 (0.61 to  7.45)","1.98 (0.58 to  6.70)","0.71 (0.18 to  2.80)","2.02 (0.38 to 10.74)","1.00 (0.15 to  6.82)","1.83 (0.42 to  8.09)","lemborexant",".","0.97 (0.19 to  5.05)",".",".",".",".",".","0.35 (0.11 to  1.10)","."
"0.83 (0.13 to  5.46)","1.17 (0.18 to  7.67)","1.09 (0.17 to  6.98)","0.39 (0.06 to  2.74)","1.11 (0.13 to  9.73)","0.55 (0.05 to  6.08)","1.01 (0.13 to  7.89)","0.55 (0.07 to  4.61)","melatonin","1.51 (0.25 to  9.07)",".",".",".",".",".",".","."
"1.25 (0.70 to  2.23)","1.76 (1.00 to  3.10)","1.64 (1.00 to  2.68)","0.59 (0.28 to  1.25)","1.67 (0.49 to  5.68)","0.83 (0.17 to  4.10)","1.52 (0.55 to  4.16)","0.83 (0.26 to  2.60)","1.51 (0.25 to  9.07)","placebo","0.81 (0.47 to  1.42)","1.16 (0.22 to  6.12)","1.54 (0.85 to  2.80)","0.37 (0.07 to  1.97)","0.74 (0.36 to  1.52)","0.37 (0.23 to  0.57)","0.42 (0.14 to  1.27)"
"0.99 (0.45 to  2.16)","1.39 (0.65 to  2.99)","1.30 (0.64 to  2.64)","0.47 (0.19 to  1.17)","1.32 (0.38 to  4.59)","0.66 (0.12 to  3.52)","1.20 (0.39 to  3.67)","0.66 (0.19 to  2.30)","1.19 (0.18 to  7.75)","0.79 (0.47 to  1.34)","ramelteon",".",".",".",".",".","0.52 (0.09 to  2.90)"
"0.97 (0.23 to  4.18)","1.37 (0.32 to  5.83)","1.27 (0.31 to  5.27)","0.46 (0.10 to  2.14)","1.30 (0.21 to  8.01)","0.65 (0.08 to  5.07)","1.18 (0.22 to  6.21)","0.64 (0.11 to  3.64)","1.17 (0.12 to 11.06)","0.78 (0.20 to  2.99)","0.98 (0.23 to  4.16)","seltorexant",".",".",".","0.84 (0.16 to  4.41)","."
"1.93 (0.84 to  4.43)","2.72 (1.19 to  6.18)","2.53 (1.17 to  5.47)","0.91 (0.35 to  2.38)","2.58 (0.66 to 10.05)","1.28 (0.23 to  7.04)","2.34 (0.73 to  7.56)","1.28 (0.35 to  4.63)","2.33 (0.35 to 15.41)","1.54 (0.85 to  2.80)","1.95 (0.88 to  4.32)","1.98 (0.46 to  8.64)","suvorexant",".",".",".","."
"0.51 (0.14 to  1.94)","0.72 (0.19 to  2.69)","0.67 (0.19 to  2.43)","0.24 (0.06 to  1.00)","0.69 (0.12 to  3.82)","0.34 (0.05 to  2.42)","0.62 (0.13 to  2.90)","0.34 (0.07 to  1.70)","0.62 (0.07 to  5.38)","0.41 (0.12 to  1.37)","0.52 (0.14 to  1.93)","0.53 (0.09 to  3.12)","0.27 (0.07 to  1.02)","trazodone",".","1.02 (0.29 to  3.64)","."
"0.85 (0.37 to  1.93)","1.20 (0.54 to  2.67)","1.11 (0.52 to  2.36)","0.40 (0.15 to  1.05)","1.14 (0.29 to  4.43)","0.57 (0.11 to  2.99)","1.03 (0.33 to  3.22)","0.56 (0.16 to  1.94)","1.02 (0.15 to  6.80)","0.68 (0.37 to  1.24)","0.86 (0.39 to  1.90)","0.87 (0.21 to  3.71)","0.44 (0.19 to  1.02)","1.66 (0.45 to  6.10)","zaleplon","0.66 (0.33 to  1.32)","."
"0.54 (0.28 to  1.07)","0.77 (0.41 to  1.45)","0.71 (0.40 to  1.26)","0.26 (0.11 to  0.60)","0.73 (0.20 to  2.63)","0.36 (0.08 to  1.74)","0.66 (0.24 to  1.82)","0.36 (0.12 to  1.09)","0.66 (0.10 to  4.13)","0.44 (0.29 to  0.65)","0.55 (0.29 to  1.05)","0.56 (0.15 to  2.15)","0.28 (0.14 to  0.58)","1.06 (0.33 to  3.46)","0.64 (0.36 to  1.16)","zolpidem","0.74 (0.36 to  1.49)"
"0.47 (0.23 to  0.95)","0.66 (0.36 to  1.23)","0.61 (0.34 to  1.11)","0.22 (0.09 to  0.55)","0.63 (0.17 to  2.35)","0.31 (0.06 to  1.62)","0.57 (0.24 to  1.35)","0.31 (0.09 to  1.04)","0.57 (0.09 to  3.67)","0.38 (0.22 to  0.63)","0.47 (0.23 to  0.96)","0.48 (0.12 to  1.99)","0.24 (0.11 to  0.54)","0.92 (0.26 to  3.27)","0.55 (0.26 to  1.16)","0.86 (0.51 to  1.45)","zopiclone"
