Separate indirect from direct design evidence (SIDDE)

Fixed effects model: 

                    comparison  k  nma direct indir.  RoR     z p-value
     BZD-intermediate:BZD-long  2 0.71   0.37   1.36 0.27 -1.90  0.0573
    BZD-intermediate:BZD-short  1 0.76   0.94   0.71 1.33  0.38  0.7074
 BZD-intermediate:daridorexant  0 2.12      .   2.12    .     .       .
      BZD-intermediate:doxepin  0 0.75      .   0.75    .     .       .
   BZD-intermediate:doxylamine  0 1.50      .   1.50    .     .       .
  BZD-intermediate:eszopiclone  0 0.82      .   0.82    .     .       .
  BZD-intermediate:lemborexant  0 1.51      .   1.51    .     .       .
    BZD-intermediate:melatonin  0 0.83      .   0.83    .     .       .
      BZD-intermediate:placebo  6 1.25   1.24   1.91 0.65 -0.60  0.5479
    BZD-intermediate:ramelteon  0 0.99      .   0.99    .     .       .
  BZD-intermediate:seltorexant  0 0.97      .   0.97    .     .       .
   BZD-intermediate:suvorexant  0 1.93      .   1.93    .     .       .
    BZD-intermediate:trazodone  0 0.51      .   0.51    .     .       .
     BZD-intermediate:zaleplon  0 0.85      .   0.85    .     .       .
     BZD-intermediate:zolpidem  0 0.54      .   0.54    .     .       .
    BZD-intermediate:zopiclone  1 0.47   2.03   0.41 4.95  1.24  0.2155
            BZD-long:BZD-short  5 1.08   0.68   1.92 0.35 -1.74  0.0816
         BZD-long:daridorexant  0 2.99      .   2.99    .     .       .
              BZD-long:doxepin  0 1.05      .   1.05    .     .       .
           BZD-long:doxylamine  0 2.12      .   2.12    .     .       .
          BZD-long:eszopiclone  0 1.16      .   1.16    .     .       .
          BZD-long:lemborexant  0 2.12      .   2.12    .     .       .
            BZD-long:melatonin  0 1.17      .   1.17    .     .       .
              BZD-long:placebo  4 1.76   1.73   1.37 1.27  0.40  0.6915
            BZD-long:ramelteon  0 1.39      .   1.39    .     .       .
          BZD-long:seltorexant  0 1.37      .   1.37    .     .       .
           BZD-long:suvorexant  0 2.72      .   2.72    .     .       .
            BZD-long:trazodone  0 0.72      .   0.72    .     .       .
             BZD-long:zaleplon  0 1.20      .   1.20    .     .       .
             BZD-long:zolpidem  0 0.77      .   0.77    .     .       .
            BZD-long:zopiclone  3 0.66   0.44   0.76 0.58 -0.83  0.4078
        BZD-short:daridorexant  0 2.78      .   2.78    .     .       .
             BZD-short:doxepin  0 0.98      .   0.98    .     .       .
          BZD-short:doxylamine  0 1.97      .   1.97    .     .       .
         BZD-short:eszopiclone  0 1.08      .   1.08    .     .       .
         BZD-short:lemborexant  0 1.98      .   1.98    .     .       .
           BZD-short:melatonin  0 1.09      .   1.09    .     .       .
             BZD-short:placebo  2 1.64   1.13   2.72 0.42 -1.67  0.0955
           BZD-short:ramelteon  0 1.30      .   1.30    .     .       .
         BZD-short:seltorexant  0 1.27      .   1.27    .     .       .
          BZD-short:suvorexant  0 2.53      .   2.53    .     .       .
           BZD-short:trazodone  0 0.67      .   0.67    .     .       .
            BZD-short:zaleplon  0 1.11      .   1.11    .     .       .
            BZD-short:zolpidem  2 0.71   1.80   0.61 2.94  1.31  0.1911
           BZD-short:zopiclone  1 0.61   0.79   0.57 1.40  0.54  0.5886
          daridorexant:doxepin  0 0.35      .   0.35    .     .       .
       daridorexant:doxylamine  0 0.71      .   0.71    .     .       .
      daridorexant:eszopiclone  0 0.39      .   0.39    .     .       .
      daridorexant:lemborexant  0 0.71      .   0.71    .     .       .
        daridorexant:melatonin  0 0.39      .   0.39    .     .       .
          daridorexant:placebo  2 0.59   0.59      .    .     .       .
        daridorexant:ramelteon  0 0.47      .   0.47    .     .       .
      daridorexant:seltorexant  0 0.46      .   0.46    .     .       .
       daridorexant:suvorexant  0 0.91      .   0.91    .     .       .
        daridorexant:trazodone  0 0.24      .   0.24    .     .       .
         daridorexant:zaleplon  0 0.40      .   0.40    .     .       .
         daridorexant:zolpidem  0 0.26      .   0.26    .     .       .
        daridorexant:zopiclone  0 0.22      .   0.22    .     .       .
            doxepin:doxylamine  0 2.01      .   2.01    .     .       .
