"BZD-intermediate","0.37 (0.14 to  0.95)","1.12 (0.37 to  3.42)",".",".",".",".",".",".",".","1.35 (0.73 to  2.51)",".",".",".",".",".","2.03 (0.18 to 22.82)"
"0.77 (0.40 to   1.46)","BZD-long","0.68 (0.32 to  1.44)",".",".",".",".",".",".",".","1.73 (0.78 to  3.86)",".",".",".",".",".","0.44 (0.18 to  1.08)"
"0.87 (0.47 to   1.60)","1.13 (0.64 to   2.00)","BZD-short",".",".",".",".",".",".",".","1.13 (0.59 to  2.16)",".",".",".",".","1.42 (0.29 to  6.83)","0.79 (0.30 to  2.07)"
"1.19 (0.07 to  20.81)","1.55 (0.09 to  27.11)","1.38 (0.08 to  23.70)","daridorexant",".",".",".",".",".",".",".",".",".",".",".","0.49 (0.03 to  8.00)","."
"0.32 (0.03 to   3.11)","0.41 (0.04 to   4.07)","0.37 (0.04 to   3.55)","0.27 (0.01 to   9.61)","diphenydramine",".",".",".",".",".","4.30 (0.47 to 39.49)",".",".",".",".",".","."
"0.82 (0.22 to   3.11)","1.07 (0.28 to   4.10)","0.95 (0.25 to   3.53)","0.69 (0.03 to  14.83)","2.58 (0.21 to  32.47)","doxepin",".",".",".",".","1.97 (0.50 to  7.79)","1.00 (0.20 to  5.06)",".",".",".",".","."
"1.64 (0.31 to   8.70)","2.14 (0.40 to  11.37)","1.90 (0.37 to   9.84)","1.38 (0.06 to  33.94)","5.17 (0.34 to  78.97)","2.00 (0.27 to  14.85)","doxylamine",".",".",".","0.65 (0.11 to  3.96)",".",".",".",".","0.41 (0.08 to  2.18)","."
"0.88 (0.29 to   2.65)","1.15 (0.40 to   3.33)","1.02 (0.36 to   2.90)","0.74 (0.04 to  14.40)","2.78 (0.24 to  31.73)","1.08 (0.22 to   5.22)","0.54 (0.08 to   3.43)","eszopiclone",".",".",".",".",".",".",".",".","0.57 (0.24 to  1.35)"
"1.44 (0.40 to   5.12)","1.87 (0.52 to   6.69)","1.66 (0.48 to   5.74)","1.21 (0.06 to  24.48)","4.53 (0.37 to  55.34)","1.75 (0.32 to   9.48)","0.88 (0.13 to   6.02)","1.63 (0.36 to   7.32)","lemborexant",".","0.97 (0.19 to  5.05)",".",".",".",".","0.40 (0.12 to  1.34)","."
"0.91 (0.14 to   5.90)","1.18 (0.18 to   7.75)","1.05 (0.16 to   6.72)","0.76 (0.03 to  21.49)","2.85 (0.16 to  49.45)","1.11 (0.13 to   9.71)","0.55 (0.05 to   6.05)","1.03 (0.13 to   8.05)","0.63 (0.07 to   5.35)","melatonin","1.51 (0.25 to  9.07)",".",".",".",".",".","."
"1.37 (0.80 to   2.34)","1.78 (1.01 to   3.13)","1.58 (0.97 to   2.57)","1.15 (0.07 to  19.20)","4.30 (0.47 to  39.49)","1.67 (0.49 to   5.67)","0.83 (0.17 to   4.06)","1.55 (0.56 to   4.25)","0.95 (0.30 to   3.04)","1.51 (0.25 to   9.07)","placebo","0.81 (0.47 to  1.42)","1.45 (0.26 to  8.09)","0.37 (0.07 to  1.97)","0.61 (0.28 to  1.32)","0.38 (0.24 to  0.59)","0.39 (0.13 to  1.18)"
"1.09 (0.51 to   2.29)","1.42 (0.66 to   3.03)","1.26 (0.62 to   2.55)","0.91 (0.05 to  16.00)","3.42 (0.35 to  33.43)","1.33 (0.38 to   4.60)","0.66 (0.12 to   3.51)","1.23 (0.40 to   3.77)","0.76 (0.21 to   2.70)","1.20 (0.18 to   7.79)","0.80 (0.47 to   1.35)","ramelteon",".",".",".",".","0.48 (0.09 to  2.70)"
"1.32 (0.29 to   5.95)","1.72 (0.38 to   7.79)","1.52 (0.34 to   6.72)","1.11 (0.05 to  25.25)","4.15 (0.30 to  57.56)","1.61 (0.25 to  10.43)","0.80 (0.10 to   6.57)","1.49 (0.27 to   8.31)","0.92 (0.15 to   5.54)","1.45 (0.15 to  14.29)","0.96 (0.23 to   3.97)","1.21 (0.27 to   5.48)","seltorexant",".",".","0.67 (0.12 to  3.74)","."
