"BZD-intermediate","0.54 (0.05 to  6.15)","1.01 (0.28 to  3.63)",".",".",".","1.08 (0.47 to  2.48)",".",".","2.53 (0.48 to 13.44)","."
"1.70 (0.40 to  7.17)","BZD-long","0.24 (0.03 to  2.23)",".",".",".","0.75 (0.16 to  3.44)",".",".",".","."
"0.97 (0.31 to  3.07)","0.57 (0.14 to  2.34)","BZD-short",".",".",".","0.69 (0.21 to  2.26)",".",".","2.50 (0.47 to 13.27)","2.60 (0.26 to 26.02)"
"1.08 (0.20 to  5.76)","0.64 (0.09 to  4.26)","1.11 (0.19 to  6.37)","doxepin",".",".","0.98 (0.24 to  4.00)",".",".",".","."
"0.98 (0.32 to  3.00)","0.58 (0.14 to  2.43)","1.01 (0.30 to  3.43)","0.91 (0.19 to  4.29)","eszopiclone",".","1.07 (0.56 to  2.05)",".",".",".","."
"2.63 (0.40 to 17.25)","1.55 (0.19 to 12.48)","2.71 (0.39 to 18.93)","2.44 (0.28 to 21.25)","2.68 (0.46 to 15.68)","melatonin","0.40 (0.08 to  2.08)",".",".",".","."
"1.05 (0.42 to  2.63)","0.62 (0.17 to  2.24)","1.09 (0.38 to  3.07)","0.98 (0.24 to  4.00)","1.07 (0.56 to  2.05)","0.40 (0.08 to  2.08)","placebo","0.89 (0.34 to  2.34)","1.15 (0.60 to  2.20)","2.10 (0.83 to  5.34)","."
"0.94 (0.25 to  3.55)","0.55 (0.11 to  2.76)","0.97 (0.23 to  4.00)","0.87 (0.16 to  4.81)","0.96 (0.30 to  3.06)","0.36 (0.05 to  2.41)","0.89 (0.34 to  2.34)","ramelteon",".",".","."
"1.30 (0.44 to  3.84)","0.77 (0.19 to  3.17)","1.34 (0.41 to  4.38)","1.21 (0.26 to  5.64)","1.32 (0.54 to  3.27)","0.49 (0.08 to  2.88)","1.23 (0.66 to  2.32)","1.38 (0.44 to  4.38)","zaleplon","1.07 (0.38 to  2.99)","."
"1.80 (0.55 to  5.87)","1.06 (0.23 to  4.87)","1.85 (0.52 to  6.54)","1.67 (0.32 to  8.84)","1.83 (0.61 to  5.52)","0.68 (0.11 to  4.45)","1.71 (0.70 to  4.17)","1.91 (0.51 to  7.13)","1.38 (0.57 to  3.38)","zolpidem","."
"2.53 (0.19 to 33.15)","1.49 (0.10 to 22.17)","2.60 (0.26 to 26.02)","2.34 (0.13 to 42.25)","2.57 (0.19 to 34.91)","0.96 (0.05 to 19.58)","2.39 (0.19 to 29.96)","2.69 (0.18 to 40.15)","1.94 (0.15 to 25.90)","1.40 (0.10 to 19.42)","zopiclone"
