"BZD-intermediate","0.54 (0.05 to  6.15)",".",".",".","0.91 (0.35 to  2.40)",".",".",".",".","."
"1.06 (0.20 to  5.68)","BZD-long",".",".",".","0.75 (0.16 to  3.44)",".",".",".",".","0.66 (0.20 to  2.16)"
"1.60 (0.46 to  5.57)","1.51 (0.29 to  7.97)","daridorexant",".",".","0.59 (0.28 to  1.25)",".",".",".",".","."
"1.23 (0.13 to 11.42)","1.16 (0.27 to  5.03)","0.77 (0.08 to  7.06)","eszopiclone",".",".",".",".",".",".","0.57 (0.24 to  1.35)"
"1.04 (0.22 to  4.96)","0.98 (0.15 to  6.64)","0.65 (0.16 to  2.69)","0.85 (0.08 to  9.41)","lemborexant","0.97 (0.19 to  5.05)",".",".",".","0.35 (0.11 to  1.10)","."
"0.94 (0.35 to  2.55)","0.89 (0.20 to  3.92)","0.59 (0.28 to  1.25)","0.77 (0.10 to  6.17)","0.90 (0.27 to  3.01)","placebo","1.16 (0.22 to  6.12)","0.37 (0.07 to  1.97)","0.75 (0.34 to  1.63)","0.34 (0.18 to  0.67)","."
"0.69 (0.13 to  3.76)","0.65 (0.09 to  4.92)","0.43 (0.09 to  2.06)","0.56 (0.05 to  6.82)","0.67 (0.12 to  3.78)","0.73 (0.19 to  2.89)","seltorexant",".",".","0.84 (0.16 to  4.41)","."
"0.36 (0.07 to  1.77)","0.34 (0.05 to  2.35)","0.22 (0.05 to  0.97)","0.29 (0.03 to  3.31)","0.34 (0.07 to  1.72)","0.38 (0.11 to  1.33)","0.52 (0.09 to  3.06)","trazodone",".","1.02 (0.29 to  3.64)","."
"0.70 (0.21 to  2.35)","0.66 (0.13 to  3.39)","0.44 (0.16 to  1.22)","0.57 (0.06 to  5.12)","0.67 (0.18 to  2.48)","0.74 (0.37 to  1.49)","1.01 (0.23 to  4.46)","1.95 (0.50 to  7.64)","zaleplon","0.63 (0.23 to  1.74)","."
"0.37 (0.11 to  1.19)","0.35 (0.07 to  1.73)","0.23 (0.09 to  0.61)","0.30 (0.03 to  2.63)","0.35 (0.12 to  1.07)","0.39 (0.21 to  0.73)","0.53 (0.13 to  2.08)","1.03 (0.31 to  3.38)","0.53 (0.24 to  1.13)","zolpidem","."
"0.70 (0.09 to  5.47)","0.66 (0.20 to  2.16)","0.44 (0.06 to  3.38)","0.57 (0.24 to  1.35)","0.67 (0.07 to  6.37)","0.74 (0.11 to  4.97)","1.01 (0.10 to 10.51)","1.97 (0.20 to 19.14)","1.01 (0.13 to  7.61)","1.91 (0.26 to 14.11)","zopiclone"
