Separate indirect from direct design evidence (SIDDE)

Fixed effects model: 

                      comparison  k  nma direct indir.  RoR     z p-value
       BZD-intermediate:BZD-long  1 1.32   0.54   1.37 0.40 -0.71  0.4772
      BZD-intermediate:BZD-short  4 0.74   0.69   1.09 0.63 -0.84  0.3983
   BZD-intermediate:daridorexant  0 1.10      .   1.10    .     .       .
 BZD-intermediate:diphenydramine  0 0.26      .   0.26    .     .       .
        BZD-intermediate:doxepin  0 0.73      .   0.73    .     .       .
     BZD-intermediate:doxylamine  0 1.45      .   1.45    .     .       .
    BZD-intermediate:eszopiclone  0 1.05      .   1.05    .     .       .
    BZD-intermediate:lemborexant  0 1.29      .   1.29    .     .       .
      BZD-intermediate:melatonin  0 1.66      .   1.66    .     .       .
        BZD-intermediate:placebo  6 1.11   1.09   1.02 1.07  0.13  0.8953
      BZD-intermediate:ramelteon  0 0.94      .   0.94    .     .       .
    BZD-intermediate:seltorexant  0 1.15      .   1.15    .     .       .
      BZD-intermediate:trazodone  0 0.49      .   0.49    .     .       .
       BZD-intermediate:zaleplon  0 0.82      .   0.82    .     .       .
       BZD-intermediate:zolpidem  1 0.54   2.53   0.48 5.26  1.80  0.0720
      BZD-intermediate:zopiclone  1 0.61   2.03   0.55 3.68  1.01  0.3111
              BZD-long:BZD-short  4 0.56   0.50   0.73 0.68 -0.52  0.6052
           BZD-long:daridorexant  0 0.84      .   0.84    .     .       .
         BZD-long:diphenydramine  0 0.20      .   0.20    .     .       .
                BZD-long:doxepin  0 0.55      .   0.55    .     .       .
             BZD-long:doxylamine  0 1.10      .   1.10    .     .       .
            BZD-long:eszopiclone  0 0.80      .   0.80    .     .       .
            BZD-long:lemborexant  0 0.98      .   0.98    .     .       .
              BZD-long:melatonin  0 1.26      .   1.26    .     .       .
                BZD-long:placebo  4 0.84   0.88   0.85 1.04  0.05  0.9616
              BZD-long:ramelteon  0 0.71      .   0.71    .     .       .
            BZD-long:seltorexant  0 0.87      .   0.87    .     .       .
              BZD-long:trazodone  0 0.37      .   0.37    .     .       .
               BZD-long:zaleplon  0 0.62      .   0.62    .     .       .
               BZD-long:zolpidem  0 0.41      .   0.41    .     .       .
              BZD-long:zopiclone  3 0.46   0.32   0.63 0.51 -0.79  0.4323
          BZD-short:daridorexant  0 1.49      .   1.49    .     .       .
        BZD-short:diphenydramine  0 0.35      .   0.35    .     .       .
               BZD-short:doxepin  0 0.98      .   0.98    .     .       .
            BZD-short:doxylamine  0 1.96      .   1.96    .     .       .
           BZD-short:eszopiclone  0 1.42      .   1.42    .     .       .
