"BZD-intermediate",".","2.00 (0.18 to 22.34)",".",".","2.38 (0.51 to 11.12)",".",".",".","."
"1.15 (0.06 to  20.87)","BZD-long",".",".",".","2.07 (0.18 to 24.15)",".",".",".","."
"2.00 (0.18 to  22.34)","1.74 (0.04 to  75.81)","BZD-short",".",".",".",".",".",".","2.60 (0.26 to 26.02)"
"2.46 (0.46 to  13.20)","2.14 (0.17 to  27.30)","1.23 (0.07 to  23.29)","eszopiclone",".","0.97 (0.50 to  1.87)",".",".",".","."
"2.97 (0.39 to  22.64)","2.59 (0.16 to  42.07)","1.49 (0.06 to  34.81)","1.21 (0.28 to   5.28)","melatonin","0.80 (0.21 to  2.99)",".",".",".","."
"2.38 (0.51 to  11.12)","2.07 (0.18 to  24.15)","1.19 (0.07 to  20.85)","0.97 (0.50 to   1.87)","0.80 (0.21 to   2.99)","placebo","0.68 (0.27 to  1.67)","1.00 (0.29 to  3.39)","0.55 (0.16 to  1.92)","."
"1.61 (0.27 to   9.62)","1.40 (0.10 to  19.19)","0.80 (0.04 to  16.22)","0.65 (0.21 to   2.00)","0.54 (0.11 to   2.68)","0.68 (0.27 to   1.67)","ramelteon",".",".","."
"2.38 (0.33 to  17.01)","2.07 (0.13 to  32.17)","1.19 (0.05 to  26.76)","0.97 (0.24 to   3.87)","0.80 (0.13 to   4.83)","1.00 (0.29 to   3.39)","1.48 (0.32 to   6.74)","zaleplon","0.55 (0.19 to  1.55)","."
"1.30 (0.18 to   9.50)","1.13 (0.07 to  17.86)","0.65 (0.03 to  14.83)","0.53 (0.13 to   2.18)","0.44 (0.07 to   2.70)","0.55 (0.16 to   1.92)","0.81 (0.17 to   3.79)","0.55 (0.19 to   1.55)","zolpidem","."
"5.20 (0.18 to 146.17)","4.53 (0.05 to 376.62)","2.60 (0.26 to  26.02)","2.11 (0.05 to  88.44)","1.75 (0.04 to  86.86)","2.19 (0.06 to  86.31)","3.23 (0.07 to 142.19)","2.19 (0.05 to 105.16)","4.00 (0.08 to 194.55)","zopiclone"
