"BZD-intermediate","0.54 (0.05 to  6.15)","0.69 (0.44 to  1.07)",".",".",".",".",".",".",".","1.09 (0.55 to  2.17)",".",".",".",".","2.53 (0.48 to 13.44)","2.03 (0.18 to 22.82)"
"1.32 (0.63 to   2.77)","BZD-long","0.50 (0.23 to  1.09)",".",".",".",".",".",".",".","0.88 (0.32 to  2.48)",".",".",".",".",".","0.32 (0.09 to  1.12)"
"0.73 (0.49 to   1.10)","0.56 (0.29 to   1.07)","BZD-short",".",".",".",".",".",".",".","1.01 (0.57 to  1.77)",".",".",".",".","2.09 (0.69 to  6.35)","0.96 (0.41 to  2.26)"
"1.18 (0.07 to  20.54)","0.89 (0.05 to  16.25)","1.61 (0.09 to  27.66)","daridorexant",".",".",".",".",".",".",".",".",".",".",".","0.49 (0.03 to  8.00)","."
"0.26 (0.03 to   2.54)","0.20 (0.02 to   2.03)","0.36 (0.04 to   3.42)","0.22 (0.01 to   8.04)","diphenydramine",".",".",".",".",".","4.30 (0.47 to 39.49)",".",".",".",".",".","."
"0.74 (0.22 to   2.46)","0.56 (0.15 to   2.05)","1.00 (0.31 to   3.26)","0.62 (0.03 to  12.89)","2.80 (0.24 to  33.31)","doxepin",".",".",".",".","1.73 (0.51 to  5.83)","1.00 (0.20 to  5.06)",".",".",".",".","."
"1.52 (0.29 to   7.97)","1.15 (0.20 to   6.49)","2.07 (0.40 to  10.65)","1.29 (0.05 to  31.71)","5.79 (0.38 to  88.56)","2.07 (0.30 to  14.27)","doxylamine",".",".",".","0.65 (0.11 to  3.96)",".",".",".",".","0.41 (0.08 to  2.18)","."
"1.06 (0.52 to   2.17)","0.80 (0.34 to   1.88)","1.44 (0.74 to   2.80)","0.90 (0.05 to  15.93)","4.04 (0.41 to  39.75)","1.44 (0.42 to   4.94)","0.70 (0.13 to   3.75)","eszopiclone",".",".","1.07 (0.56 to  2.05)",".",".",".",".",".","0.57 (0.24 to  1.35)"
"1.36 (0.39 to   4.79)","1.03 (0.27 to   3.99)","1.85 (0.54 to   6.36)","1.15 (0.06 to  23.39)","5.19 (0.42 to  63.56)","1.85 (0.37 to   9.21)","0.90 (0.13 to   6.17)","1.28 (0.35 to   4.68)","lemborexant",".","0.97 (0.19 to  5.05)",".",".",".",".","0.40 (0.12 to  1.34)","."
"1.68 (0.43 to   6.60)","1.28 (0.30 to   5.44)","2.29 (0.60 to   8.79)","1.43 (0.06 to  31.54)","6.42 (0.50 to  82.71)","2.29 (0.43 to  12.31)","1.11 (0.15 to   8.48)","1.59 (0.40 to   6.38)","1.24 (0.22 to   6.96)","melatonin","0.67 (0.19 to  2.39)",".",".",".",".",".","."
