"BZD-intermediate","0.58 (0.33 to  1.03)","0.88 (0.50 to  1.55)",".",".",".",".",".","1.23 (0.86 to  1.78)",".",".",".",".",".","0.17 (0.04 to  0.69)",".",".","1.35 (0.28 to  6.63)"
"0.63 (0.43 to  0.92)","BZD-long","1.14 (0.72 to  1.80)",".",".",".",".",".","1.82 (1.24 to  2.68)",".",".",".",".",".",".",".",".","1.20 (0.76 to  1.91)"
"0.77 (0.54 to  1.10)","1.22 (0.85 to  1.75)","BZD-short",".",".",".",".",".","1.29 (0.85 to  1.94)",".",".",".",".",".",".","1.91 (0.73 to  5.02)",".","1.19 (0.71 to  2.01)"
"1.03 (0.50 to  2.12)","1.63 (0.79 to  3.37)","1.34 (0.65 to  2.75)","daridorexant",".",".",".",".","1.33 (0.60 to  2.95)",".",".",".",".",".",".",".","0.86 (0.40 to  1.85)","."
"1.29 (0.74 to  2.28)","2.05 (1.16 to  3.64)","1.68 (0.95 to  2.97)","1.26 (0.56 to  2.82)","doxepin",".",".",".","0.99 (0.59 to  1.64)",".","0.79 (0.40 to  1.59)",".",".",".",".",".",".","."
"0.71 (0.46 to  1.10)","1.13 (0.73 to  1.75)","0.92 (0.60 to  1.43)","0.69 (0.33 to  1.43)","0.55 (0.31 to  0.97)","eszopiclone",".",".","1.96 (1.33 to  2.89)",".",".",".",".",".",".",".",".","0.87 (0.51 to  1.48)"
"1.18 (0.75 to  1.83)","1.87 (1.19 to  2.93)","1.53 (0.98 to  2.39)","1.14 (0.56 to  2.36)","0.91 (0.51 to  1.61)","1.66 (1.05 to  2.61)","lemborexant",".","1.11 (0.78 to  1.56)",".",".",".",".",".",".",".","0.75 (0.44 to  1.28)","."
"1.44 (0.77 to  2.67)","2.28 (1.22 to  4.27)","1.87 (1.00 to  3.48)","1.40 (0.60 to  3.26)","1.11 (0.54 to  2.27)","2.03 (1.08 to  3.80)","1.22 (0.65 to  2.28)","melatonin","0.87 (0.51 to  1.49)",".",".",".",".",".",".",".",".","."
"1.25 (0.92 to  1.71)","1.99 (1.45 to  2.74)","1.63 (1.19 to  2.23)","1.22 (0.63 to  2.35)","0.97 (0.60 to  1.56)","1.77 (1.28 to  2.45)","1.07 (0.77 to  1.47)","0.87 (0.51 to  1.49)","placebo",".","0.98 (0.80 to  1.20)","1.92 (0.97 to  3.81)","1.00 (0.69 to  1.47)","0.63 (0.30 to  1.33)","0.93 (0.24 to  3.59)","1.41 (0.95 to  2.08)","0.72 (0.59 to  0.87)","0.79 (0.56 to  1.13)"
"0.69 (0.28 to  1.68)","1.09 (0.45 to  2.65)","0.90 (0.37 to  2.17)","0.67 (0.23 to  1.96)","0.53 (0.20 to  1.41)","0.97 (0.40 to  2.36)","0.59 (0.24 to  1.45)","0.48 (0.18 to  1.31)","0.55 (0.23 to  1.29)","propiomazine",".",".",".",".",".",".",".","1.09 (0.48 to  2.45)"
"1.21 (0.84 to  1.75)","1.93 (1.33 to  2.80)","1.58 (1.09 to  2.28)","1.18 (0.60 to  2.34)","0.94 (0.58 to  1.53)","1.71 (1.18 to  2.49)","1.03 (0.71 to  1.50)","0.84 (0.48 to  1.49)","0.97 (0.80 to  1.18)","1.76 (0.74 to  4.20)","ramelteon",".",".",".",".",".",".","0.69 (0.33 to  1.45)"
"1.84 (0.96 to  3.53)","2.92 (1.51 to  5.63)","2.39 (1.24 to  4.59)","1.79 (0.76 to  4.24)","1.42 (0.67 to  2.99)","2.59 (1.34 to  5.01)","1.56 (0.81 to  3.00)","1.28 (0.58 to  2.81)","1.47 (0.82 to  2.61)","2.67 (0.96 to  7.42)","1.51 (0.82 to  2.78)","seltorexant",".",".",".",".","0.69 (0.34 to  1.37)","."
"1.26 (0.77 to  2.06)","2.00 (1.22 to  3.29)","1.64 (1.00 to  2.68)","1.23 (0.58 to  2.61)","0.97 (0.53 to  1.79)","1.78 (1.08 to  2.93)","1.07 (0.65 to  1.76)","0.88 (0.45 to  1.69)","1.00 (0.69 to  1.47)","1.83 (0.72 to  4.64)","1.04 (0.68 to  1.59)","0.69 (0.34 to  1.37)","suvorexant",".",".",".",".","."
"0.89 (0.43 to  1.86)","1.42 (0.68 to  2.97)","1.16 (0.56 to  2.42)","0.87 (0.34 to  2.19)","0.69 (0.30 to  1.56)","1.26 (0.60 to  2.64)","0.76 (0.36 to  1.58)","0.62 (0.26 to  1.46)","0.71 (0.37 to  1.39)","1.30 (0.44 to  3.80)","0.74 (0.37 to  1.47)","0.49 (0.20 to  1.16)","0.71 (0.33 to  1.53)","trazodone",".",".","0.92 (0.43 to  2.00)","."
"0.47 (0.14 to  1.52)","0.74 (0.22 to  2.48)","0.61 (0.18 to  2.03)","0.45 (0.12 to  1.75)","0.36 (0.10 to  1.28)","0.66 (0.19 to  2.23)","0.40 (0.12 to  1.34)","0.32 (0.09 to  1.18)","0.37 (0.11 to  1.21)","0.68 (0.16 to  2.88)","0.38 (0.12 to  1.27)","0.25 (0.07 to  0.94)","0.37 (0.11 to  1.28)","0.52 (0.13 to  2.02)","trimipramine",".",".","."
"1.47 (0.96 to  2.26)","2.34 (1.51 to  3.61)","1.91 (1.26 to  2.91)","1.43 (0.70 to  2.91)","1.14 (0.65 to  2.00)","2.07 (1.33 to  3.23)","1.25 (0.81 to  1.93)","1.02 (0.55 to  1.90)","1.17 (0.86 to  1.59)","2.13 (0.87 to  5.24)","1.21 (0.84 to  1.74)","0.80 (0.42 to  1.52)","1.17 (0.72 to  1.90)","1.65 (0.80 to  3.39)","3.16 (0.93 to 10.68)","zaleplon","0.78 (0.54 to  1.12)","."
"0.95 (0.67 to  1.36)","1.51 (1.06 to  2.17)","1.24 (0.87 to  1.77)","0.93 (0.48 to  1.78)","0.74 (0.44 to  1.22)","1.34 (0.93 to  1.94)","0.81 (0.57 to  1.14)","0.66 (0.38 to  1.17)","0.76 (0.63 to  0.91)","1.38 (0.58 to  3.27)","0.79 (0.60 to  1.02)","0.52 (0.29 to  0.92)","0.76 (0.50 to  1.15)","1.07 (0.55 to  2.08)","2.05 (0.62 to  6.75)","0.65 (0.48 to  0.88)","zolpidem","0.57 (0.32 to  1.02)"
"0.75 (0.52 to  1.09)","1.19 (0.84 to  1.69)","0.98 (0.69 to  1.39)","0.73 (0.36 to  1.47)","0.58 (0.34 to  0.99)","1.06 (0.74 to  1.51)","0.64 (0.43 to  0.96)","0.52 (0.29 to  0.95)","0.60 (0.46 to  0.77)","1.09 (0.48 to  2.45)","0.62 (0.45 to  0.84)","0.41 (0.22 to  0.76)","0.60 (0.38 to  0.94)","0.84 (0.41 to  1.71)","1.61 (0.48 to  5.37)","0.51 (0.35 to  0.75)","0.79 (0.59 to  1.05)","zopiclone"
