"BZD-intermediate","0.58 (0.36 to  0.94)","0.88 (0.54 to  1.42)",".",".",".","5.22 (1.57 to 17.43)",".",".","1.23 (0.47 to  3.25)","1.14 (0.87 to  1.48)",".",".",".",".","0.67 (0.24 to  1.89)","0.17 (0.05 to  0.64)",".",".","1.35 (0.29 to  6.25)"
"0.66 (0.49 to  0.87)","BZD-long","1.11 (0.81 to  1.51)",".",".",".",".",".",".",".","1.54 (1.17 to  2.03)",".",".",".",".",".",".",".",".","1.24 (0.94 to  1.65)"
"0.77 (0.58 to  1.01)","1.17 (0.90 to  1.53)","BZD-short",".",".",".",".",".",".",".","1.15 (0.86 to  1.54)",".",".",".",".",".",".","1.91 (0.81 to  4.53)",".","1.19 (0.89 to  1.59)"
"0.99 (0.73 to  1.33)","1.50 (1.10 to  2.05)","1.28 (0.95 to  1.74)","daridorexant",".",".",".",".",".",".","1.25 (1.02 to  1.54)",".",".",".",".",".",".",".","0.86 (0.45 to  1.62)","."
"0.65 (0.32 to  1.32)","0.99 (0.49 to  2.02)","0.85 (0.42 to  1.72)","0.66 (0.33 to  1.33)","diphenydramine",".",".",".",".",".","1.89 (0.97 to  3.70)",".",".",".",".",".",".",".",".","."
"1.29 (0.83 to  1.99)","1.96 (1.26 to  3.05)","1.67 (1.08 to  2.59)","1.30 (0.85 to  2.00)","1.98 (0.92 to  4.26)","doxepin",".",".",".",".","0.97 (0.65 to  1.46)",".","0.79 (0.46 to  1.37)",".",".",".",".",".",".","."
"0.72 (0.53 to  0.97)","1.09 (0.81 to  1.48)","0.93 (0.69 to  1.26)","0.73 (0.54 to  0.97)","1.10 (0.55 to  2.23)","0.56 (0.36 to  0.86)","eszopiclone",".",".",".","1.97 (1.56 to  2.50)",".",".",".",".",".",".",".",".","0.87 (0.55 to  1.37)"
"0.78 (0.58 to  1.05)","1.19 (0.87 to  1.62)","1.01 (0.75 to  1.37)","0.79 (0.60 to  1.05)","1.20 (0.60 to  2.41)","0.61 (0.40 to  0.93)","1.09 (0.82 to  1.45)","lemborexant",".",".","1.79 (1.43 to  2.23)",".",".",".",".",".",".",".","0.75 (0.55 to  1.03)","."
"1.31 (0.91 to  1.87)","1.99 (1.37 to  2.88)","1.70 (1.18 to  2.45)","1.32 (0.93 to  1.87)","2.01 (0.97 to  4.16)","1.02 (0.63 to  1.63)","1.82 (1.28 to  2.59)","1.67 (1.18 to  2.37)","melatonin",".","0.94 (0.71 to  1.25)",".",".",".",".",".",".",".",".","."
"1.23 (0.47 to  3.25)","1.88 (0.68 to  5.17)","1.60 (0.58 to  4.39)","1.25 (0.45 to  3.45)","1.89 (0.57 to  6.29)","0.96 (0.33 to  2.78)","1.71 (0.62 to  4.74)","1.58 (0.57 to  4.36)","0.94 (0.33 to  2.66)","mirtazapine",".",".",".",".",".",".",".",".",".","."
