"BZD-intermediate","1.00 (0.49 to 2.03)","1.15 (0.61 to 2.16)",".",".",".","1.70 (1.04 to 2.78)",".",".","1.15 (0.61 to 2.19)","."
"0.98 (0.59 to 1.64)","BZD-long","0.64 (0.14 to 2.94)",".",".",".","2.06 (1.14 to 3.72)",".",".","1.13 (0.49 to 2.61)","."
"1.02 (0.61 to 1.71)","1.04 (0.59 to 1.82)","BZD-short",".",".",".","1.52 (0.86 to 2.67)",".",".","1.26 (0.78 to 2.04)","0.83 (0.35 to 2.00)"
"1.86 (1.02 to 3.36)","1.89 (1.02 to 3.47)","1.82 (1.00 to 3.32)","doxepin",".",".","0.88 (0.58 to 1.32)",".",".",".","."
"1.32 (0.79 to 2.19)","1.34 (0.79 to 2.27)","1.29 (0.77 to 2.16)","0.71 (0.43 to 1.16)","eszopiclone",".","1.23 (0.94 to 1.62)",".",".",".","."
"1.39 (0.75 to 2.59)","1.42 (0.75 to 2.67)","1.37 (0.73 to 2.55)","0.75 (0.41 to 1.38)","1.06 (0.63 to 1.78)","melatonin","1.17 (0.75 to 1.82)",".",".",".","."
"1.63 (1.06 to 2.50)","1.65 (1.05 to 2.60)","1.60 (1.03 to 2.47)","0.88 (0.58 to 1.32)","1.23 (0.94 to 1.62)","1.17 (0.75 to 1.82)","placebo","0.78 (0.61 to 0.99)","1.19 (0.88 to 1.60)","0.83 (0.61 to 1.13)","."
"1.26 (0.77 to 2.07)","1.28 (0.77 to 2.14)","1.24 (0.75 to 2.04)","0.68 (0.42 to 1.09)","0.96 (0.67 to 1.37)","0.91 (0.55 to 1.50)","0.78 (0.61 to 0.99)","ramelteon",".",".","."
"1.92 (1.17 to 3.14)","1.95 (1.17 to 3.25)","1.88 (1.15 to 3.07)","1.03 (0.63 to 1.69)","1.45 (0.99 to 2.14)","1.37 (0.81 to 2.32)","1.18 (0.89 to 1.55)","1.52 (1.05 to 2.18)","zaleplon","0.78 (0.50 to 1.21)","."
"1.39 (0.88 to 2.17)","1.41 (0.88 to 2.25)","1.36 (0.89 to 2.07)","0.75 (0.45 to 1.23)","1.05 (0.71 to 1.55)","0.99 (0.59 to 1.68)","0.85 (0.65 to 1.13)","1.10 (0.76 to 1.58)","0.72 (0.52 to 1.01)","zolpidem","."
"0.85 (0.31 to 2.35)","0.86 (0.30 to 2.45)","0.83 (0.35 to 2.00)","0.46 (0.16 to 1.32)","0.64 (0.23 to 1.78)","0.61 (0.21 to 1.79)","0.52 (0.20 to 1.39)","0.67 (0.25 to 1.84)","0.44 (0.16 to 1.21)","0.61 (0.23 to 1.62)","zopiclone"
