"BZD-intermediate",".","0.74 (0.38 to  1.45)",".",".",".","5.93 (1.16 to 30.25)",".",".",".","."
"1.12 (0.34 to  3.72)","BZD-long",".",".",".",".","1.85 (0.78 to  4.40)",".",".",".","."
"0.89 (0.47 to  1.66)","0.79 (0.27 to  2.34)","BZD-short",".",".",".","2.19 (0.83 to  5.83)",".",".",".","0.83 (0.35 to  2.00)"
"3.66 (1.29 to 10.38)","3.28 (1.13 to  9.53)","4.14 (1.68 to 10.19)","doxepin",".",".","0.56 (0.30 to  1.05)",".",".",".","."
"1.32 (0.56 to  3.11)","1.18 (0.48 to  2.87)","1.49 (0.75 to  2.94)","0.36 (0.19 to  0.69)","eszopiclone",".","1.57 (1.28 to  1.92)",".",".",".","."
"2.11 (0.87 to  5.14)","1.89 (0.76 to  4.74)","2.39 (1.17 to  4.90)","0.58 (0.29 to  1.16)","1.61 (1.12 to  2.31)","melatonin","0.98 (0.72 to  1.32)",".",".",".","."
"2.07 (0.90 to  4.76)","1.85 (0.78 to  4.40)","2.33 (1.22 to  4.48)","0.56 (0.30 to  1.05)","1.57 (1.28 to  1.92)","0.98 (0.72 to  1.32)","placebo","0.76 (0.59 to  0.98)","1.14 (0.81 to  1.61)","0.94 (0.68 to  1.29)","0.50 (0.31 to  0.82)"
"1.57 (0.66 to  3.75)","1.40 (0.57 to  3.46)","1.77 (0.88 to  3.56)","0.43 (0.22 to  0.84)","1.19 (0.86 to  1.65)","0.74 (0.50 to  1.10)","0.76 (0.59 to  0.98)","ramelteon",".",".","."
"2.62 (1.08 to  6.39)","2.35 (0.94 to  5.89)","2.96 (1.44 to  6.09)","0.72 (0.36 to  1.44)","1.99 (1.38 to  2.88)","1.24 (0.81 to  1.91)","1.27 (0.93 to  1.73)","1.67 (1.12 to  2.49)","zaleplon","0.66 (0.49 to  0.88)","."
"1.84 (0.75 to  4.48)","1.65 (0.66 to  4.14)","2.08 (1.01 to  4.28)","0.50 (0.25 to  1.01)","1.40 (0.96 to  2.03)","0.87 (0.56 to  1.34)","0.89 (0.65 to  1.22)","1.17 (0.78 to  1.75)","0.70 (0.53 to  0.92)","zolpidem","."
"0.95 (0.41 to  2.24)","0.85 (0.32 to  2.27)","1.08 (0.56 to  2.07)","0.26 (0.12 to  0.56)","0.72 (0.44 to  1.19)","0.45 (0.26 to  0.78)","0.46 (0.29 to  0.73)","0.61 (0.36 to  1.02)","0.36 (0.21 to  0.63)","0.52 (0.30 to  0.90)","zopiclone"
