"BZD-intermediate",".","0.74 (0.36 to  1.51)",".",".",".","5.93 (1.14 to 30.82)",".",".",".","."
"1.15 (0.33 to  3.97)","BZD-long",".",".",".",".","1.85 (0.76 to  4.47)",".",".",".","."
"0.90 (0.46 to  1.75)","0.78 (0.26 to  2.38)","BZD-short",".",".",".","2.19 (0.80 to  6.00)",".",".",".","0.83 (0.34 to  2.07)"
"3.76 (1.25 to 11.26)","3.27 (1.08 to  9.92)","4.18 (1.61 to 10.85)","doxepin",".",".","0.56 (0.29 to  1.10)",".",".",".","."
"1.40 (0.57 to  3.46)","1.22 (0.49 to  3.05)","1.56 (0.76 to  3.20)","0.37 (0.18 to  0.76)","eszopiclone",".","1.51 (1.19 to  1.93)",".",".",".","."
"2.15 (0.84 to  5.48)","1.87 (0.72 to  4.84)","2.39 (1.12 to  5.12)","0.57 (0.27 to  1.22)","1.53 (1.01 to  2.34)","melatonin","0.99 (0.70 to  1.39)",".",".",".","."
"2.12 (0.89 to  5.06)","1.85 (0.76 to  4.47)","2.36 (1.20 to  4.65)","0.56 (0.29 to  1.10)","1.51 (1.19 to  1.93)","0.99 (0.70 to  1.39)","placebo","0.77 (0.56 to  1.05)","1.15 (0.78 to  1.70)","0.94 (0.66 to  1.33)","0.50 (0.29 to  0.86)"
"1.63 (0.65 to  4.11)","1.42 (0.56 to  3.63)","1.82 (0.86 to  3.83)","0.43 (0.21 to  0.91)","1.16 (0.78 to  1.73)","0.76 (0.48 to  1.21)","0.77 (0.56 to  1.05)","ramelteon",".",".","."
"2.74 (1.07 to  6.98)","2.38 (0.92 to  6.16)","3.05 (1.43 to  6.52)","0.73 (0.34 to  1.55)","1.95 (1.28 to  2.98)","1.27 (0.78 to  2.07)","1.29 (0.91 to  1.82)","1.68 (1.05 to  2.68)","zaleplon","0.66 (0.47 to  0.91)","."
"1.90 (0.75 to  4.84)","1.66 (0.64 to  4.27)","2.12 (0.99 to  4.52)","0.51 (0.24 to  1.07)","1.36 (0.90 to  2.06)","0.89 (0.55 to  1.43)","0.90 (0.64 to  1.26)","1.17 (0.74 to  1.85)","0.70 (0.51 to  0.95)","zolpidem","."
"0.97 (0.39 to  2.37)","0.84 (0.30 to  2.32)","1.07 (0.54 to  2.13)","0.26 (0.11 to  0.59)","0.69 (0.39 to  1.20)","0.45 (0.24 to  0.83)","0.46 (0.28 to  0.75)","0.59 (0.33 to  1.07)","0.35 (0.19 to  0.65)","0.51 (0.28 to  0.93)","zopiclone"
