"BZD-intermediate",".","0.74 (0.35 to 1.56)",".",".",".","1.23 (0.44 to 3.42)","1.00 (0.54 to 1.88)",".",".",".","."
"0.60 (0.21 to  1.70)","BZD-long",".",".",".",".",".","1.84 (0.75 to 4.52)",".",".",".","."
"0.65 (0.36 to  1.18)","1.09 (0.37 to  3.19)","BZD-short",".",".",".",".","2.19 (0.78 to 6.13)",".",".",".","0.83 (0.33 to 2.12)"
"1.95 (0.80 to  4.73)","3.26 (1.05 to 10.19)","3.00 (1.20 to  7.53)","doxepin",".",".",".","0.56 (0.28 to 1.14)",".",".",".","."
"0.74 (0.40 to  1.35)","1.24 (0.49 to  3.15)","1.14 (0.59 to  2.18)","0.38 (0.18 to  0.80)","eszopiclone",".",".","1.49 (1.14 to 1.94)",".",".",".","."
"1.07 (0.57 to  2.03)","1.80 (0.69 to  4.69)","1.65 (0.83 to  3.28)","0.55 (0.25 to  1.20)","1.45 (0.95 to  2.23)","melatonin",".","1.03 (0.73 to 1.44)",".",".",".","."
"1.23 (0.44 to  3.42)","2.06 (0.48 to  8.91)","1.89 (0.58 to  6.18)","0.63 (0.16 to  2.44)","1.67 (0.51 to  5.46)","1.15 (0.34 to  3.83)","mirtazapine",".",".",".",".","."
"1.10 (0.64 to  1.89)","1.84 (0.75 to  4.52)","1.69 (0.93 to  3.07)","0.56 (0.28 to  1.14)","1.49 (1.14 to  1.94)","1.03 (0.73 to  1.44)","0.89 (0.28 to  2.84)","placebo","0.77 (0.55 to 1.10)","1.16 (0.76 to 1.75)","0.94 (0.65 to 1.36)","0.50 (0.28 to 0.90)"
"0.85 (0.45 to  1.62)","1.43 (0.54 to  3.73)","1.31 (0.66 to  2.61)","0.44 (0.20 to  0.96)","1.15 (0.74 to  1.79)","0.79 (0.49 to  1.29)","0.69 (0.21 to  2.32)","0.77 (0.55 to  1.10)","ramelteon",".",".","."
"1.43 (0.75 to  2.76)","2.40 (0.91 to  6.33)","2.21 (1.10 to  4.45)","0.74 (0.33 to  1.62)","1.94 (1.23 to  3.06)","1.34 (0.81 to  2.20)","1.16 (0.35 to  3.92)","1.30 (0.90 to  1.88)","1.68 (1.01 to  2.80)","zaleplon","0.66 (0.46 to 0.93)","."
"0.99 (0.52 to  1.90)","1.66 (0.63 to  4.36)","1.53 (0.76 to  3.06)","0.51 (0.23 to  1.12)","1.35 (0.86 to  2.09)","0.93 (0.57 to  1.51)","0.81 (0.24 to  2.71)","0.90 (0.63 to  1.29)","1.17 (0.71 to  1.92)","0.69 (0.50 to  0.96)","zolpidem","."
"0.55 (0.27 to  1.10)","0.92 (0.32 to  2.59)","0.84 (0.44 to  1.62)","0.28 (0.12 to  0.67)","0.74 (0.41 to  1.33)","0.51 (0.27 to  0.95)","0.44 (0.13 to  1.53)","0.50 (0.29 to  0.84)","0.64 (0.34 to  1.21)","0.38 (0.20 to  0.72)","0.55 (0.29 to  1.04)","zopiclone"
