"BZD-intermediate","1.45 (0.53 to  3.97)",".",".",".",".",".","0.82 (0.35 to  1.92)",".",".",".","0.17 (0.05 to  0.64)",".",".","."
"0.62 (0.27 to  1.43)","BZD-long",".",".",".",".",".","2.88 (1.17 to  7.07)",".",".",".",".",".",".","0.95 (0.37 to  2.42)"
"0.45 (0.15 to  1.34)","0.73 (0.27 to  1.99)","BZD-short",".",".",".",".",".",".",".",".",".",".","1.73 (0.83 to  3.59)","."
"0.88 (0.34 to  2.27)","1.41 (0.60 to  3.33)","1.94 (0.78 to  4.79)","daridorexant",".",".",".","1.33 (0.69 to  2.59)",".",".",".",".",".","0.86 (0.45 to  1.62)","."
"0.63 (0.27 to  1.47)","1.02 (0.51 to  2.03)","1.40 (0.61 to  3.21)","0.72 (0.38 to  1.38)","eszopiclone",".",".","1.77 (1.23 to  2.56)",".",".",".",".",".",".","0.88 (0.57 to  1.35)"
"1.12 (0.50 to  2.51)","1.80 (0.89 to  3.62)","2.47 (1.15 to  5.30)","1.28 (0.73 to  2.24)","1.76 (1.17 to  2.64)","lemborexant",".","0.99 (0.80 to  1.23)",".",".",".",".",".","0.75 (0.55 to  1.03)","."
"1.12 (0.32 to  3.90)","1.80 (0.55 to  5.85)","2.47 (0.72 to  8.42)","1.28 (0.42 to  3.87)","1.76 (0.63 to  4.96)","1.00 (0.37 to  2.70)","melatonin","1.00 (0.38 to  2.64)",".",".",".",".",".",".","."
"1.12 (0.51 to  2.45)","1.80 (0.92 to  3.52)","2.47 (1.17 to  5.22)","1.28 (0.75 to  2.18)","1.76 (1.23 to  2.51)","1.00 (0.82 to  1.22)","1.00 (0.38 to  2.64)","placebo","0.94 (0.65 to  1.36)","1.92 (1.13 to  3.27)","0.63 (0.34 to  1.15)","0.93 (0.26 to  3.34)","1.18 (0.87 to  1.60)","0.66 (0.57 to  0.78)","."
"1.05 (0.44 to  2.50)","1.69 (0.78 to  3.64)","2.32 (1.01 to  5.35)","1.20 (0.63 to  2.30)","1.66 (0.99 to  2.77)","0.94 (0.62 to  1.43)","0.94 (0.33 to  2.66)","0.94 (0.65 to  1.36)","ramelteon",".",".",".",".",".","."
"1.57 (0.64 to  3.87)","2.53 (1.14 to  5.64)","3.48 (1.48 to  8.16)","1.80 (0.91 to  3.55)","2.48 (1.41 to  4.36)","1.41 (0.88 to  2.26)","1.41 (0.49 to  4.09)","1.41 (0.91 to  2.18)","1.50 (0.85 to  2.65)","seltorexant",".",".",".","0.69 (0.40 to  1.18)","."
"0.76 (0.29 to  1.99)","1.23 (0.51 to  2.92)","1.69 (0.67 to  4.21)","0.87 (0.41 to  1.86)","1.20 (0.63 to  2.31)","0.68 (0.38 to  1.22)","0.68 (0.22 to  2.08)","0.68 (0.39 to  1.18)","0.73 (0.37 to  1.41)","0.48 (0.24 to  0.97)","trazodone",".",".","0.92 (0.48 to  1.76)","."
"0.44 (0.14 to  1.43)","0.71 (0.20 to  2.55)","0.97 (0.24 to  3.91)","0.50 (0.14 to  1.82)","0.69 (0.21 to  2.34)","0.39 (0.12 to  1.29)","0.39 (0.09 to  1.81)","0.39 (0.12 to  1.27)","0.42 (0.12 to  1.43)","0.28 (0.08 to  0.98)","0.58 (0.16 to  2.11)","trimipramine",".",".","."
"1.15 (0.50 to  2.66)","1.86 (0.90 to  3.84)","2.55 (1.16 to  5.62)","1.32 (0.73 to  2.39)","1.82 (1.16 to  2.86)","1.03 (0.74 to  1.44)","1.03 (0.38 to  2.84)","1.03 (0.78 to  1.36)","1.10 (0.69 to  1.74)","0.73 (0.44 to  1.22)","1.51 (0.82 to  2.79)","2.62 (0.79 to  8.75)","zaleplon","1.05 (0.67 to  1.65)","."
"0.78 (0.35 to  1.74)","1.26 (0.63 to  2.50)","1.73 (0.83 to  3.59)","0.89 (0.52 to  1.52)","1.23 (0.84 to  1.81)","0.70 (0.56 to  0.87)","0.70 (0.26 to  1.87)","0.70 (0.60 to  0.82)","0.74 (0.50 to  1.11)","0.50 (0.32 to  0.77)","1.02 (0.59 to  1.78)","1.77 (0.54 to  5.79)","0.68 (0.50 to  0.91)","zolpidem","."
"0.56 (0.23 to  1.37)","0.91 (0.45 to  1.81)","1.25 (0.50 to  3.10)","0.64 (0.31 to  1.35)","0.89 (0.59 to  1.34)","0.50 (0.29 to  0.88)","0.50 (0.17 to  1.52)","0.50 (0.30 to  0.85)","0.54 (0.28 to  1.01)","0.36 (0.18 to  0.70)","0.74 (0.35 to  1.57)","1.28 (0.36 to  4.53)","0.49 (0.27 to  0.88)","0.72 (0.42 to  1.24)","zopiclone"
