"BZD-intermediate","1.45 (0.47 to  4.49)",".",".",".",".",".","0.79 (0.31 to  2.02)",".",".",".","0.17 (0.04 to  0.71)",".",".","."
"0.58 (0.23 to  1.48)","BZD-long",".",".",".",".",".","2.92 (1.11 to  7.70)",".",".",".",".",".",".","0.97 (0.35 to  2.67)"
"0.45 (0.13 to  1.59)","0.77 (0.23 to  2.54)","BZD-short",".",".",".",".",".",".",".",".",".",".","1.73 (0.71 to  4.21)","."
"0.86 (0.28 to  2.60)","1.47 (0.52 to  4.11)","1.91 (0.62 to  5.93)","daridorexant",".",".",".","1.33 (0.58 to  3.08)",".",".",".",".",".","0.86 (0.38 to  1.94)","."
"0.62 (0.23 to  1.66)","1.06 (0.47 to  2.36)","1.38 (0.46 to  4.10)","0.72 (0.29 to  1.79)","eszopiclone",".",".","1.77 (0.95 to  3.33)",".",".",".",".",".",".","0.87 (0.49 to  1.53)"
"1.07 (0.41 to  2.76)","1.83 (0.78 to  4.29)","2.39 (0.89 to  6.40)","1.25 (0.57 to  2.76)","1.73 (0.86 to  3.49)","lemborexant",".","1.02 (0.67 to  1.56)",".",".",".",".",".","0.75 (0.41 to  1.37)","."
"1.08 (0.27 to  4.35)","1.85 (0.49 to  7.00)","2.41 (0.57 to 10.11)","1.26 (0.34 to  4.63)","1.75 (0.51 to  6.04)","1.01 (0.31 to  3.23)","melatonin","1.00 (0.33 to  3.00)",".",".",".",".",".",".","."
"1.08 (0.45 to  2.55)","1.85 (0.87 to  3.93)","2.41 (0.95 to  6.07)","1.26 (0.62 to  2.54)","1.75 (0.98 to  3.12)","1.01 (0.68 to  1.49)","1.00 (0.33 to  3.00)","placebo","0.94 (0.50 to  1.77)","1.92 (0.92 to  4.02)","0.63 (0.29 to  1.39)","0.93 (0.24 to  3.69)","1.17 (0.73 to  1.87)","0.69 (0.54 to  0.89)","."
"1.01 (0.35 to  2.95)","1.74 (0.65 to  4.64)","2.26 (0.74 to  6.93)","1.18 (0.46 to  3.04)","1.64 (0.70 to  3.87)","0.95 (0.45 to  1.99)","0.94 (0.27 to  3.33)","0.94 (0.50 to  1.77)","ramelteon",".",".",".",".",".","."
"1.53 (0.53 to  4.46)","2.63 (0.98 to  7.02)","3.42 (1.15 to 10.19)","1.79 (0.71 to  4.51)","2.49 (1.06 to  5.84)","1.43 (0.69 to  2.97)","1.42 (0.40 to  5.04)","1.42 (0.76 to  2.67)","1.51 (0.62 to  3.68)","seltorexant",".",".",".","0.69 (0.33 to  1.45)","."
"0.75 (0.24 to  2.29)","1.28 (0.45 to  3.62)","1.67 (0.53 to  5.23)","0.87 (0.33 to  2.34)","1.21 (0.48 to  3.03)","0.70 (0.31 to  1.56)","0.69 (0.19 to  2.57)","0.69 (0.34 to  1.41)","0.74 (0.29 to  1.91)","0.49 (0.19 to  1.24)","trazodone",".",".","0.92 (0.41 to  2.10)","."
"0.43 (0.12 to  1.54)","0.74 (0.18 to  2.99)","0.96 (0.20 to  4.61)","0.50 (0.12 to  2.14)","0.70 (0.18 to  2.76)","0.40 (0.11 to  1.51)","0.40 (0.07 to  2.13)","0.40 (0.11 to  1.42)","0.42 (0.10 to  1.75)","0.28 (0.07 to  1.15)","0.58 (0.13 to  2.46)","trimipramine",".",".","."
"1.11 (0.42 to  2.93)","1.91 (0.80 to  4.56)","2.48 (0.91 to  6.80)","1.30 (0.57 to  2.94)","1.80 (0.87 to  3.73)","1.04 (0.58 to  1.86)","1.03 (0.32 to  3.36)","1.03 (0.67 to  1.60)","1.10 (0.51 to  2.36)","0.73 (0.34 to  1.54)","1.49 (0.65 to  3.39)","2.58 (0.68 to  9.86)","zaleplon","1.05 (0.53 to  2.08)","."
"0.77 (0.32 to  1.90)","1.32 (0.60 to  2.93)","1.73 (0.71 to  4.21)","0.90 (0.45 to  1.82)","1.25 (0.67 to  2.35)","0.72 (0.47 to  1.10)","0.72 (0.23 to  2.21)","0.72 (0.56 to  0.92)","0.76 (0.39 to  1.50)","0.50 (0.27 to  0.95)","1.03 (0.51 to  2.11)","1.80 (0.49 to  6.52)","0.70 (0.44 to  1.11)","zolpidem","."
"0.54 (0.19 to  1.54)","0.93 (0.42 to  2.05)","1.21 (0.38 to  3.91)","0.63 (0.23 to  1.73)","0.88 (0.52 to  1.49)","0.51 (0.22 to  1.15)","0.50 (0.14 to  1.87)","0.50 (0.25 to  1.03)","0.54 (0.21 to  1.39)","0.35 (0.14 to  0.92)","0.73 (0.26 to  2.00)","1.26 (0.30 to  5.25)","0.49 (0.21 to  1.13)","0.70 (0.33 to  1.50)","zopiclone"
