"BZD-intermediate","1.29 (0.56 to  2.94)","0.97 (0.66 to  1.42)",".",".",".",".",".","1.25 (0.91 to  1.73)",".",".",".",".",".","0.17 (0.05 to  0.64)",".","1.15 (0.61 to  2.19)","1.35 (0.29 to  6.25)"
"0.90 (0.65 to  1.26)","BZD-long","1.04 (0.75 to  1.45)",".",".",".",".",".","1.23 (0.91 to  1.65)",".",".",".",".",".",".",".",".","1.29 (0.96 to  1.73)"
"0.95 (0.72 to  1.26)","1.06 (0.80 to  1.39)","BZD-short",".",".",".",".",".","1.00 (0.75 to  1.33)",".",".",".",".",".",".","1.91 (0.81 to  4.53)","1.26 (0.78 to  2.04)","1.15 (0.88 to  1.52)"
"1.05 (0.58 to  1.89)","1.16 (0.64 to  2.10)","1.10 (0.62 to  1.95)","daridorexant",".",".",".",".","1.33 (0.69 to  2.59)",".",".",".",".",".",".",".","0.86 (0.45 to  1.62)","."
"1.37 (0.93 to  2.00)","1.51 (1.03 to  2.21)","1.43 (1.01 to  2.04)","1.30 (0.71 to  2.38)","doxepin",".",".",".","0.92 (0.69 to  1.23)",".","0.79 (0.46 to  1.37)",".",".",".",".",".",".","."
"0.84 (0.62 to  1.14)","0.93 (0.69 to  1.25)","0.88 (0.67 to  1.15)","0.80 (0.46 to  1.40)","0.61 (0.44 to  0.85)","eszopiclone",".",".","1.61 (1.35 to  1.93)",".",".",".",".",".",".",".",".","0.88 (0.57 to  1.35)"
"1.26 (0.91 to  1.73)","1.39 (1.01 to  1.92)","1.32 (0.99 to  1.76)","1.20 (0.69 to  2.10)","0.92 (0.66 to  1.29)","1.50 (1.17 to  1.93)","lemborexant",".","1.04 (0.84 to  1.28)",".",".",".",".",".",".",".","0.75 (0.55 to  1.03)","."
"1.29 (0.88 to  1.91)","1.43 (0.97 to  2.11)","1.36 (0.94 to  1.95)","1.23 (0.67 to  2.26)","0.95 (0.63 to  1.41)","1.54 (1.11 to  2.16)","1.03 (0.73 to  1.45)","melatonin","0.98 (0.73 to  1.31)",".",".",".",".",".",".",".",".","."
"1.27 (0.98 to  1.64)","1.40 (1.08 to  1.82)","1.33 (1.07 to  1.65)","1.21 (0.71 to  2.06)","0.93 (0.70 to  1.22)","1.51 (1.28 to  1.79)","1.01 (0.83 to  1.21)","0.98 (0.73 to  1.31)","placebo",".","0.93 (0.83 to  1.04)","1.92 (1.13 to  3.27)","1.00 (0.80 to  1.26)","0.63 (0.34 to  1.15)","0.93 (0.26 to  3.34)","1.25 (1.01 to  1.55)","0.73 (0.64 to  0.84)","1.07 (0.82 to  1.39)"
"0.99 (0.47 to  2.10)","1.10 (0.53 to  2.29)","1.04 (0.50 to  2.15)","0.95 (0.39 to  2.31)","0.73 (0.34 to  1.56)","1.18 (0.57 to  2.45)","0.79 (0.38 to  1.65)","0.77 (0.35 to  1.66)","0.78 (0.38 to  1.60)","propiomazine",".",".",".",".",".",".",".","1.09 (0.55 to  2.17)"
"1.18 (0.89 to  1.56)","1.30 (0.98 to  1.73)","1.24 (0.97 to  1.58)","1.12 (0.65 to  1.94)","0.86 (0.64 to  1.16)","1.41 (1.15 to  1.72)","0.94 (0.75 to  1.17)","0.91 (0.67 to  1.24)","0.93 (0.83 to  1.04)","1.19 (0.58 to  2.45)","ramelteon",".",".",".",".",".",".","0.69 (0.38 to  1.26)"
"1.87 (1.13 to  3.10)","2.07 (1.25 to  3.44)","1.97 (1.21 to  3.19)","1.79 (0.91 to  3.53)","1.37 (0.82 to  2.30)","2.24 (1.41 to  3.56)","1.49 (0.93 to  2.38)","1.45 (0.86 to  2.44)","1.48 (0.96 to  2.29)","1.89 (0.82 to  4.37)","1.59 (1.02 to  2.49)","seltorexant",".",".",".",".","0.69 (0.40 to  1.18)","."
"1.27 (0.90 to  1.80)","1.41 (1.00 to  1.99)","1.33 (0.97 to  1.83)","1.21 (0.68 to  2.17)","0.93 (0.65 to  1.33)","1.52 (1.15 to  2.01)","1.01 (0.75 to  1.36)","0.98 (0.68 to  1.42)","1.00 (0.80 to  1.26)","1.28 (0.61 to  2.72)","1.08 (0.84 to  1.39)","0.68 (0.42 to  1.11)","suvorexant",".",".",".",".","."
"0.90 (0.49 to  1.65)","1.00 (0.55 to  1.83)","0.95 (0.53 to  1.71)","0.86 (0.40 to  1.84)","0.66 (0.36 to  1.22)","1.08 (0.61 to  1.91)","0.72 (0.40 to  1.28)","0.70 (0.38 to  1.30)","0.71 (0.41 to  1.23)","0.91 (0.37 to  2.24)","0.77 (0.44 to  1.34)","0.48 (0.24 to  0.96)","0.71 (0.39 to  1.29)","trazodone",".",".","0.92 (0.48 to  1.76)","."
"0.47 (0.15 to  1.43)","0.52 (0.17 to  1.63)","0.49 (0.16 to  1.52)","0.45 (0.13 to  1.54)","0.34 (0.11 to  1.09)","0.56 (0.18 to  1.73)","0.37 (0.12 to  1.16)","0.36 (0.11 to  1.15)","0.37 (0.12 to  1.13)","0.47 (0.13 to  1.78)","0.40 (0.13 to  1.22)","0.25 (0.08 to  0.83)","0.37 (0.12 to  1.15)","0.52 (0.15 to  1.80)","trimipramine",".",".","."
