"BZD-intermediate","1.28 (0.54 to  3.02)","0.97 (0.63 to  1.48)",".",".",".",".",".","1.26 (0.88 to  1.82)",".",".",".",".",".","0.17 (0.05 to  0.67)",".","1.15 (0.57 to  2.35)","1.35 (0.28 to  6.45)"
"0.89 (0.61 to  1.31)","BZD-long","1.03 (0.67 to  1.58)",".",".",".",".",".","1.32 (0.91 to  1.91)",".",".",".",".",".",".",".",".","1.30 (0.86 to  1.98)"
"0.95 (0.69 to  1.31)","1.06 (0.75 to  1.50)","BZD-short",".",".",".",".",".","1.00 (0.70 to  1.44)",".",".",".",".",".",".","1.91 (0.77 to  4.79)","1.27 (0.75 to  2.16)","1.12 (0.76 to  1.65)"
"1.08 (0.56 to  2.11)","1.21 (0.62 to  2.39)","1.14 (0.59 to  2.19)","daridorexant",".",".",".",".","1.33 (0.64 to  2.78)",".",".",".",".",".",".",".","0.86 (0.42 to  1.74)","."
"1.39 (0.90 to  2.15)","1.56 (1.00 to  2.44)","1.47 (0.97 to  2.21)","1.29 (0.65 to  2.54)","doxepin",".",".",".","0.92 (0.66 to  1.28)",".","0.79 (0.42 to  1.49)",".",".",".",".",".",".","."
"0.88 (0.62 to  1.27)","0.99 (0.68 to  1.44)","0.93 (0.67 to  1.29)","0.82 (0.43 to  1.54)","0.63 (0.43 to  0.93)","eszopiclone",".",".","1.55 (1.23 to  1.95)",".",".",".",".",".",".",".",".","0.88 (0.54 to  1.42)"
"1.25 (0.84 to  1.85)","1.40 (0.92 to  2.11)","1.31 (0.91 to  1.91)","1.15 (0.60 to  2.21)","0.90 (0.59 to  1.36)","1.41 (1.00 to  1.99)","lemborexant",".","1.08 (0.81 to  1.45)",".",".",".",".",".",".",".","0.75 (0.48 to  1.17)","."
"1.30 (0.83 to  2.05)","1.46 (0.91 to  2.33)","1.37 (0.89 to  2.12)","1.20 (0.60 to  2.40)","0.93 (0.58 to  1.49)","1.47 (0.98 to  2.21)","1.04 (0.67 to  1.62)","melatonin","0.99 (0.70 to  1.40)",".",".",".",".",".",".",".",".","."
"1.29 (0.96 to  1.73)","1.45 (1.05 to  1.98)","1.36 (1.04 to  1.77)","1.19 (0.65 to  2.17)","0.93 (0.67 to  1.27)","1.46 (1.18 to  1.81)","1.03 (0.79 to  1.35)","0.99 (0.70 to  1.40)","placebo",".","0.92 (0.79 to  1.07)","1.92 (1.03 to  3.57)","1.00 (0.73 to  1.38)","0.63 (0.32 to  1.25)","0.93 (0.25 to  3.47)","1.28 (0.99 to  1.66)","0.76 (0.64 to  0.89)","1.00 (0.70 to  1.43)"
"0.94 (0.41 to  2.16)","1.05 (0.46 to  2.41)","0.99 (0.44 to  2.23)","0.86 (0.32 to  2.35)","0.67 (0.28 to  1.59)","1.06 (0.47 to  2.39)","0.75 (0.32 to  1.74)","0.72 (0.30 to  1.72)","0.73 (0.33 to  1.62)","propiomazine",".",".",".",".",".",".",".","1.09 (0.51 to  2.32)"
"1.19 (0.86 to  1.66)","1.34 (0.95 to  1.89)","1.26 (0.93 to  1.70)","1.10 (0.59 to  2.04)","0.86 (0.61 to  1.20)","1.35 (1.04 to  1.75)","0.96 (0.70 to  1.30)","0.92 (0.63 to  1.34)","0.93 (0.80 to  1.07)","1.27 (0.57 to  2.86)","ramelteon",".",".",".",".",".",".","0.69 (0.35 to  1.36)"
"1.93 (1.07 to  3.49)","2.17 (1.19 to  3.96)","2.04 (1.15 to  3.61)","1.79 (0.82 to  3.90)","1.39 (0.76 to  2.54)","2.19 (1.25 to  3.81)","1.55 (0.87 to  2.75)","1.49 (0.80 to  2.76)","1.50 (0.90 to  2.51)","2.06 (0.80 to  5.33)","1.62 (0.95 to  2.77)","seltorexant",".",".",".",".","0.69 (0.37 to  1.29)","."
"1.30 (0.84 to  2.00)","1.45 (0.93 to  2.27)","1.36 (0.90 to  2.06)","1.20 (0.61 to  2.36)","0.93 (0.59 to  1.46)","1.46 (1.00 to  2.15)","1.04 (0.69 to  1.57)","1.00 (0.62 to  1.59)","1.00 (0.73 to  1.38)","1.38 (0.59 to  3.27)","1.09 (0.77 to  1.54)","0.67 (0.37 to  1.23)","suvorexant",".",".",".",".","."
"0.94 (0.48 to  1.84)","1.05 (0.53 to  2.09)","0.99 (0.51 to  1.91)","0.86 (0.37 to  2.02)","0.67 (0.34 to  1.34)","1.06 (0.55 to  2.02)","0.75 (0.39 to  1.46)","0.72 (0.36 to  1.45)","0.73 (0.39 to  1.34)","1.00 (0.37 to  2.73)","0.78 (0.42 to  1.47)","0.48 (0.22 to  1.07)","0.72 (0.36 to  1.44)","trazodone",".",".","0.92 (0.45 to  1.89)","."
"0.47 (0.15 to  1.50)","0.53 (0.16 to  1.74)","0.50 (0.15 to  1.60)","0.44 (0.12 to  1.60)","0.34 (0.10 to  1.12)","0.53 (0.17 to  1.72)","0.38 (0.12 to  1.24)","0.36 (0.11 to  1.21)","0.37 (0.12 to  1.16)","0.51 (0.12 to  2.04)","0.40 (0.12 to  1.26)","0.24 (0.07 to  0.86)","0.37 (0.11 to  1.20)","0.51 (0.14 to  1.86)","trimipramine",".",".","."
"1.53 (1.07 to  2.19)","1.71 (1.17 to  2.51)","1.61 (1.16 to  2.23)","1.41 (0.75 to  2.65)","1.10 (0.75 to  1.61)","1.73 (1.27 to  2.34)","1.23 (0.87 to  1.72)","1.17 (0.78 to  1.77)","1.19 (0.95 to  1.47)","1.63 (0.71 to  3.73)","1.28 (0.98 to  1.67)","0.79 (0.46 to  1.37)","1.18 (0.80 to  1.73)","1.63 (0.86 to  3.11)","3.23 (1.00 to 10.41)","zaleplon","0.78 (0.58 to  1.03)","."
"1.03 (0.74 to  1.42)","1.15 (0.81 to  1.63)","1.08 (0.81 to  1.44)","0.95 (0.52 to  1.73)","0.74 (0.52 to  1.05)","1.16 (0.89 to  1.51)","0.82 (0.62 to  1.10)","0.79 (0.54 to  1.15)","0.80 (0.68 to  0.93)","1.10 (0.49 to  2.47)","0.86 (0.69 to  1.07)","0.53 (0.32 to  0.89)","0.79 (0.56 to  1.13)","1.10 (0.59 to  2.03)","2.17 (0.68 to  6.92)","0.67 (0.54 to  0.84)","zolpidem","."
"1.02 (0.71 to  1.47)","1.14 (0.81 to  1.61)","1.08 (0.79 to  1.46)","0.94 (0.49 to  1.81)","0.73 (0.49 to  1.10)","1.15 (0.86 to  1.56)","0.82 (0.56 to  1.19)","0.78 (0.51 to  1.21)","0.79 (0.61 to  1.03)","1.09 (0.51 to  2.32)","0.86 (0.64 to  1.15)","0.53 (0.30 to  0.94)","0.79 (0.52 to  1.19)","1.09 (0.56 to  2.12)","2.16 (0.67 to  6.99)","0.67 (0.48 to  0.93)","0.99 (0.74 to  1.34)","zopiclone"
