"BZD-intermediate","1.29 (0.56 to  2.94)","0.97 (0.66 to  1.42)",".",".",".",".",".",".","1.12 (0.84 to  1.48)",".",".",".",".","0.67 (0.24 to  1.89)","0.17 (0.05 to  0.64)",".","1.15 (0.61 to  2.19)","1.35 (0.29 to  6.25)"
"0.84 (0.61 to  1.15)","BZD-long","1.04 (0.75 to  1.45)",".",".",".",".",".",".","1.23 (0.91 to  1.65)",".",".",".",".",".",".",".",".","1.29 (0.96 to  1.73)"
"0.89 (0.68 to  1.16)","1.06 (0.80 to  1.40)","BZD-short",".",".",".",".",".",".","1.00 (0.75 to  1.33)",".",".",".",".",".",".","1.91 (0.81 to  4.53)","1.26 (0.78 to  2.04)","1.15 (0.88 to  1.52)"
"0.94 (0.69 to  1.28)","1.12 (0.81 to  1.56)","1.06 (0.79 to  1.42)","daridorexant",".",".",".",".",".","1.25 (1.02 to  1.54)",".",".",".",".",".",".",".","0.86 (0.45 to  1.62)","."
"0.62 (0.30 to  1.25)","0.74 (0.36 to  1.51)","0.70 (0.34 to  1.41)","0.66 (0.33 to  1.32)","diphenydramine",".",".",".",".","1.89 (0.97 to  3.70)",".",".",".",".",".",".",".",".","."
"1.30 (0.90 to  1.87)","1.55 (1.06 to  2.28)","1.47 (1.03 to  2.09)","1.38 (0.98 to  1.96)","2.10 (1.02 to  4.35)","doxepin",".",".",".","0.89 (0.67 to  1.20)",".","0.79 (0.46 to  1.37)",".",".",".",".",".",".","."
"0.77 (0.58 to  1.02)","0.92 (0.68 to  1.24)","0.87 (0.67 to  1.13)","0.82 (0.63 to  1.07)","1.25 (0.63 to  2.49)","0.59 (0.43 to  0.82)","eszopiclone",".",".","1.61 (1.35 to  1.92)",".",".",".",".",".",".",".",".","0.87 (0.55 to  1.37)"
"0.75 (0.55 to  1.01)","0.89 (0.65 to  1.24)","0.85 (0.63 to  1.13)","0.80 (0.60 to  1.06)","1.21 (0.60 to  2.44)","0.58 (0.41 to  0.81)","0.97 (0.75 to  1.26)","lemborexant",".","1.79 (1.43 to  2.23)",".",".",".",".",".",".",".","0.75 (0.55 to  1.03)","."
"1.16 (0.83 to  1.62)","1.38 (0.97 to  1.97)","1.31 (0.95 to  1.81)","1.23 (0.90 to  1.69)","1.88 (0.92 to  3.83)","0.89 (0.62 to  1.29)","1.50 (1.12 to  2.02)","1.55 (1.13 to  2.11)","melatonin","1.01 (0.79 to  1.28)",".",".",".",".",".",".",".",".","."
"1.17 (0.92 to  1.47)","1.39 (1.07 to  1.81)","1.32 (1.06 to  1.64)","1.24 (1.02 to  1.52)","1.89 (0.97 to  3.70)","0.90 (0.68 to  1.19)","1.52 (1.28 to  1.79)","1.56 (1.28 to  1.90)","1.01 (0.79 to  1.28)","placebo",".","0.93 (0.83 to  1.04)","1.88 (1.03 to  3.45)","1.00 (0.80 to  1.26)","0.63 (0.34 to  1.15)","0.93 (0.26 to  3.34)","1.25 (1.01 to  1.55)","0.73 (0.63 to  0.83)","1.05 (0.80 to  1.36)"
"0.91 (0.43 to  1.91)","1.09 (0.52 to  2.26)","1.03 (0.50 to  2.12)","0.97 (0.46 to  2.04)","1.47 (0.55 to  3.93)","0.70 (0.32 to  1.51)","1.18 (0.57 to  2.45)","1.21 (0.58 to  2.55)","0.78 (0.37 to  1.67)","0.78 (0.38 to  1.59)","propiomazine",".",".",".",".",".",".",".","1.09 (0.55 to  2.17)"
"1.09 (0.84 to  1.41)","1.30 (0.98 to  1.73)","1.23 (0.96 to  1.57)","1.16 (0.92 to  1.46)","1.77 (0.90 to  3.48)","0.84 (0.62 to  1.13)","1.42 (1.16 to  1.73)","1.46 (1.16 to  1.83)","0.94 (0.72 to  1.23)","0.93 (0.83 to  1.05)","1.20 (0.58 to  2.47)","ramelteon",".",".",".",".",".",".","0.60 (0.33 to  1.11)"
"1.85 (1.07 to  3.21)","2.21 (1.26 to  3.89)","2.09 (1.22 to  3.60)","1.98 (1.15 to  3.38)","3.00 (1.30 to  6.93)","1.43 (0.80 to  2.54)","2.41 (1.42 to  4.08)","2.48 (1.45 to  4.22)","1.60 (0.92 to  2.79)","1.59 (0.96 to  2.62)","2.04 (0.85 to  4.88)","1.70 (1.02 to  2.84)","seltorexant",".",".",".",".","0.55 (0.30 to  1.01)","."
"1.17 (0.85 to  1.62)","1.40 (0.99 to  1.98)","1.32 (0.97 to  1.81)","1.25 (0.92 to  1.69)","1.90 (0.94 to  3.86)","0.90 (0.63 to  1.30)","1.52 (1.15 to  2.02)","1.57 (1.16 to  2.12)","1.01 (0.73 to  1.41)","1.00 (0.80 to  1.26)","1.29 (0.61 to  2.73)","1.08 (0.84 to  1.39)","0.63 (0.37 to  1.10)","suvorexant",".",".",".",".","."
"0.78 (0.46 to  1.30)","0.93 (0.54 to  1.61)","0.88 (0.52 to  1.49)","0.83 (0.49 to  1.40)","1.26 (0.55 to  2.89)","0.60 (0.34 to  1.05)","1.01 (0.60 to  1.69)","1.04 (0.62 to  1.75)","0.67 (0.39 to  1.16)","0.67 (0.41 to  1.08)","0.86 (0.36 to  2.03)","0.71 (0.43 to  1.18)","0.42 (0.21 to  0.84)","0.66 (0.39 to  1.14)","trazodone",".",".","0.92 (0.48 to  1.76)","."
"0.45 (0.15 to  1.37)","0.54 (0.17 to  1.68)","0.51 (0.16 to  1.57)","0.48 (0.15 to  1.49)","0.73 (0.20 to  2.68)","0.35 (0.11 to  1.10)","0.58 (0.19 to  1.80)","0.60 (0.19 to  1.87)","0.39 (0.12 to  1.22)","0.39 (0.13 to  1.18)","0.50 (0.13 to  1.86)","0.41 (0.13 to  1.27)","0.24 (0.07 to  0.82)","0.38 (0.12 to  1.20)","0.58 (0.17 to  1.94)","trimipramine",".",".","."
"1.31 (0.98 to  1.76)","1.57 (1.15 to  2.14)","1.48 (1.13 to  1.95)","1.40 (1.07 to  1.83)","2.13 (1.06 to  4.26)","1.01 (0.72 to  1.41)","1.71 (1.33 to  2.18)","1.75 (1.35 to  2.27)","1.13 (0.84 to  1.53)","1.13 (0.94 to  1.35)","1.44 (0.69 to  3.02)","1.20 (0.97 to  1.49)","0.71 (0.42 to  1.20)","1.12 (0.84 to  1.50)","1.69 (1.01 to  2.82)","2.92 (0.94 to  9.02)","zaleplon","0.78 (0.61 to  0.99)","."
"0.85 (0.65 to  1.10)","1.01 (0.76 to  1.34)","0.96 (0.75 to  1.22)","0.90 (0.72 to  1.14)","1.37 (0.69 to  2.72)","0.65 (0.48 to  0.89)","1.10 (0.89 to  1.36)","1.13 (0.92 to  1.40)","0.73 (0.56 to  0.96)","0.73 (0.64 to  0.82)","0.93 (0.45 to  1.93)","0.78 (0.66 to  0.92)","0.46 (0.28 to  0.75)","0.72 (0.56 to  0.94)","1.09 (0.67 to  1.78)","1.88 (0.61 to  5.77)","0.65 (0.54 to  0.78)","zolpidem","."
"0.99 (0.74 to  1.32)","1.18 (0.91 to  1.54)","1.12 (0.89 to  1.41)","1.06 (0.79 to  1.41)","1.61 (0.80 to  3.24)","0.76 (0.54 to  1.08)","1.29 (1.01 to  1.64)","1.32 (1.00 to  1.76)","0.86 (0.62 to  1.17)","0.85 (0.69 to  1.04)","1.09 (0.55 to  2.17)","0.91 (0.72 to  1.14)","0.53 (0.31 to  0.92)","0.85 (0.62 to  1.15)","1.27 (0.75 to  2.15)","2.20 (0.71 to  6.82)","0.75 (0.58 to  0.99)","1.17 (0.92 to  1.48)","zopiclone"
