"BZD-intermediate","1.28 (0.54 to  3.05)","0.97 (0.63 to  1.49)",".",".",".",".",".",".","1.12 (0.81 to  1.56)",".",".",".",".","0.67 (0.23 to  2.01)","0.17 (0.05 to  0.67)",".","1.15 (0.56 to  2.40)","1.35 (0.28 to  6.51)"
"0.82 (0.56 to  1.21)","BZD-long","1.03 (0.65 to  1.61)",".",".",".",".",".",".","1.34 (0.91 to  1.97)",".",".",".",".",".",".",".",".","1.30 (0.83 to  2.04)"
"0.88 (0.64 to  1.21)","1.07 (0.75 to  1.53)","BZD-short",".",".",".",".",".",".","1.00 (0.69 to  1.46)",".",".",".",".",".",".","1.91 (0.75 to  4.86)","1.28 (0.74 to  2.19)","1.11 (0.74 to  1.68)"
"0.95 (0.64 to  1.42)","1.16 (0.75 to  1.80)","1.08 (0.73 to  1.61)","daridorexant",".",".",".",".",".","1.26 (0.93 to  1.71)",".",".",".",".",".",".",".","0.86 (0.41 to  1.77)","."
"0.63 (0.28 to  1.40)","0.76 (0.33 to  1.74)","0.71 (0.32 to  1.59)","0.66 (0.29 to  1.48)","diphenydramine",".",".",".",".","1.89 (0.89 to  4.04)",".",".",".",".",".",".",".",".","."
"1.32 (0.86 to  2.02)","1.60 (1.01 to  2.55)","1.49 (0.98 to  2.29)","1.38 (0.89 to  2.15)","2.10 (0.92 to  4.80)","doxepin",".",".",".","0.90 (0.63 to  1.26)",".","0.79 (0.41 to  1.52)",".",".",".",".",".",".","."
"0.82 (0.58 to  1.15)","0.99 (0.67 to  1.46)","0.93 (0.66 to  1.30)","0.86 (0.59 to  1.24)","1.30 (0.59 to  2.87)","0.62 (0.42 to  0.92)","eszopiclone",".",".","1.54 (1.21 to  1.96)",".",".",".",".",".",".",".",".","0.86 (0.51 to  1.45)"
"0.77 (0.52 to  1.14)","0.94 (0.60 to  1.45)","0.87 (0.59 to  1.29)","0.81 (0.54 to  1.22)","1.23 (0.55 to  2.77)","0.58 (0.38 to  0.91)","0.94 (0.65 to  1.36)","lemborexant",".","1.73 (1.26 to  2.37)",".",".",".",".",".",".",".","0.75 (0.47 to  1.21)","."
"1.15 (0.75 to  1.76)","1.39 (0.87 to  2.23)","1.30 (0.85 to  2.00)","1.20 (0.77 to  1.87)","1.83 (0.80 to  4.19)","0.87 (0.54 to  1.39)","1.41 (0.94 to  2.10)","1.49 (0.96 to  2.32)","melatonin","1.03 (0.74 to  1.44)",".",".",".",".",".",".",".",".","."
"1.18 (0.90 to  1.55)","1.44 (1.04 to  2.00)","1.34 (1.03 to  1.76)","1.24 (0.93 to  1.66)","1.89 (0.89 to  4.04)","0.90 (0.65 to  1.25)","1.45 (1.16 to  1.82)","1.54 (1.15 to  2.06)","1.03 (0.74 to  1.44)","placebo",".","0.92 (0.79 to  1.08)","1.88 (0.93 to  3.80)","1.00 (0.72 to  1.41)","0.63 (0.31 to  1.27)","0.93 (0.25 to  3.51)","1.29 (0.99 to  1.68)","0.75 (0.63 to  0.89)","0.95 (0.65 to  1.40)"
"0.84 (0.36 to  1.97)","1.02 (0.44 to  2.40)","0.95 (0.41 to  2.20)","0.88 (0.37 to  2.10)","1.34 (0.44 to  4.10)","0.64 (0.26 to  1.55)","1.03 (0.45 to  2.37)","1.09 (0.46 to  2.61)","0.73 (0.30 to  1.78)","0.71 (0.31 to  1.61)","propiomazine",".",".",".",".",".",".",".","1.09 (0.50 to  2.36)"
"1.10 (0.80 to  1.50)","1.34 (0.93 to  1.92)","1.25 (0.92 to  1.70)","1.15 (0.83 to  1.61)","1.76 (0.81 to  3.81)","0.84 (0.59 to  1.19)","1.35 (1.03 to  1.77)","1.43 (1.03 to  1.99)","0.96 (0.66 to  1.39)","0.93 (0.79 to  1.08)","1.31 (0.57 to  3.01)","ramelteon",".",".",".",".",".",".","0.60 (0.30 to  1.23)"
