"BZD-intermediate","0.99 (0.49 to 1.99)","1.15 (0.61 to 2.16)",".",".",".","1.70 (1.04 to 2.78)",".",".","1.15 (0.61 to 2.19)","."
"0.97 (0.59 to 1.60)","BZD-long","0.64 (0.14 to 2.94)",".",".",".","2.12 (1.20 to 3.75)",".",".","1.13 (0.49 to 2.61)","."
"1.02 (0.61 to 1.71)","1.05 (0.60 to 1.84)","BZD-short",".",".",".","1.52 (0.87 to 2.67)",".",".","1.26 (0.78 to 2.03)","0.83 (0.35 to 2.00)"
"2.02 (1.11 to 3.69)","2.08 (1.13 to 3.84)","1.98 (1.08 to 3.64)","doxepin",".",".","0.81 (0.53 to 1.24)",".",".",".","."
"1.33 (0.80 to 2.21)","1.37 (0.82 to 2.30)","1.31 (0.78 to 2.19)","0.66 (0.40 to 1.09)","eszopiclone",".","1.23 (0.94 to 1.61)",".",".",".","."
"1.39 (0.75 to 2.57)","1.43 (0.76 to 2.67)","1.36 (0.73 to 2.54)","0.69 (0.37 to 1.27)","1.04 (0.62 to 1.75)","melatonin","1.19 (0.76 to 1.85)",".",".",".","."
"1.64 (1.07 to 2.52)","1.69 (1.09 to 2.63)","1.61 (1.04 to 2.50)","0.81 (0.53 to 1.24)","1.23 (0.94 to 1.61)","1.19 (0.76 to 1.85)","placebo","0.77 (0.61 to 0.98)","1.19 (0.88 to 1.60)","0.81 (0.60 to 1.11)","."
"1.27 (0.78 to 2.07)","1.31 (0.79 to 2.16)","1.25 (0.76 to 2.05)","0.63 (0.39 to 1.02)","0.95 (0.67 to 1.36)","0.92 (0.55 to 1.52)","0.77 (0.61 to 0.98)","ramelteon",".",".","."
"1.93 (1.18 to 3.16)","1.99 (1.20 to 3.29)","1.89 (1.16 to 3.09)","0.95 (0.58 to 1.58)","1.45 (0.98 to 2.13)","1.39 (0.82 to 2.35)","1.17 (0.89 to 1.55)","1.52 (1.06 to 2.18)","zaleplon","0.78 (0.50 to 1.21)","."
"1.38 (0.88 to 2.16)","1.42 (0.89 to 2.25)","1.35 (0.89 to 2.06)","0.68 (0.41 to 1.13)","1.03 (0.70 to 1.52)","0.99 (0.59 to 1.68)","0.84 (0.63 to 1.11)","1.08 (0.75 to 1.56)","0.71 (0.51 to 0.99)","zolpidem","."
"0.85 (0.31 to 2.35)","0.87 (0.31 to 2.48)","0.83 (0.35 to 2.00)","0.42 (0.14 to 1.22)","0.64 (0.23 to 1.76)","0.61 (0.21 to 1.80)","0.52 (0.19 to 1.38)","0.67 (0.24 to 1.83)","0.44 (0.16 to 1.20)","0.62 (0.23 to 1.63)","zopiclone"
