"BZD-intermediate",".","0.74 (0.35 to 1.55)",".",".",".","1.23 (0.44 to 3.41)","1.00 (0.54 to 1.86)",".",".",".","."
"0.59 (0.21 to  1.68)","BZD-long",".",".",".",".",".","1.84 (0.75 to 4.50)",".",".",".","."
"0.65 (0.36 to  1.17)","1.09 (0.37 to  3.19)","BZD-short",".",".",".",".","2.19 (0.79 to 6.10)",".",".",".","0.83 (0.33 to 2.11)"
"1.94 (0.81 to  4.66)","3.27 (1.05 to 10.12)","2.99 (1.20 to  7.44)","doxepin",".",".",".","0.56 (0.28 to 1.13)",".",".",".","."
"0.73 (0.40 to  1.33)","1.23 (0.49 to  3.13)","1.13 (0.59 to  2.15)","0.38 (0.18 to  0.79)","eszopiclone",".",".","1.50 (1.15 to 1.94)",".",".",".","."
"0.99 (0.53 to  1.85)","1.66 (0.64 to  4.30)","1.52 (0.77 to  2.99)","0.51 (0.24 to  1.10)","1.35 (0.88 to  2.05)","melatonin",".","1.11 (0.80 to 1.55)",".",".",".","."
"1.23 (0.44 to  3.41)","2.07 (0.48 to  8.88)","1.90 (0.59 to  6.15)","0.63 (0.17 to  2.43)","1.68 (0.52 to  5.46)","1.25 (0.38 to  4.13)","mirtazapine",".",".",".",".","."
"1.10 (0.64 to  1.87)","1.84 (0.75 to  4.50)","1.69 (0.94 to  3.05)","0.56 (0.28 to  1.13)","1.50 (1.15 to  1.94)","1.11 (0.80 to  1.55)","0.89 (0.28 to  2.81)","placebo","0.77 (0.55 to 1.09)","1.16 (0.77 to 1.74)","0.94 (0.66 to 1.36)","0.50 (0.28 to 0.89)"
"0.85 (0.45 to  1.60)","1.42 (0.55 to  3.70)","1.30 (0.66 to  2.58)","0.44 (0.20 to  0.94)","1.16 (0.75 to  1.77)","0.86 (0.53 to  1.38)","0.69 (0.21 to  2.28)","0.77 (0.55 to  1.09)","ramelteon",".",".","."
"1.42 (0.75 to  2.72)","2.40 (0.91 to  6.29)","2.20 (1.10 to  4.39)","0.73 (0.34 to  1.61)","1.94 (1.24 to  3.04)","1.44 (0.88 to  2.36)","1.16 (0.35 to  3.86)","1.30 (0.90 to  1.87)","1.68 (1.02 to  2.77)","zaleplon","0.66 (0.47 to 0.92)","."
"0.99 (0.52 to  1.87)","1.66 (0.64 to  4.34)","1.52 (0.77 to  3.03)","0.51 (0.23 to  1.11)","1.35 (0.87 to  2.08)","1.00 (0.62 to  1.62)","0.80 (0.24 to  2.67)","0.90 (0.64 to  1.28)","1.17 (0.72 to  1.90)","0.69 (0.50 to  0.96)","zolpidem","."
"0.55 (0.27 to  1.08)","0.92 (0.33 to  2.57)","0.84 (0.44 to  1.61)","0.28 (0.12 to  0.67)","0.74 (0.42 to  1.33)","0.55 (0.30 to  1.02)","0.44 (0.13 to  1.51)","0.50 (0.30 to  0.83)","0.64 (0.35 to  1.19)","0.38 (0.20 to  0.72)","0.55 (0.30 to  1.03)","zopiclone"
