"BZD-intermediate","0.58 (0.32 to  1.06)","0.88 (0.48 to  1.60)",".",".",".","5.22 (1.42 to 19.28)",".",".","1.23 (0.41 to  3.68)","1.11 (0.79 to  1.57)",".",".",".",".","0.67 (0.21 to  2.13)","0.17 (0.04 to  0.70)",".",".","1.35 (0.27 to  6.77)"
"0.63 (0.43 to  0.92)","BZD-long","1.15 (0.70 to  1.88)",".",".",".",".",".",".",".","1.88 (1.24 to  2.83)",".",".",".",".",".",".",".",".","1.19 (0.72 to  1.98)"
"0.77 (0.53 to  1.11)","1.23 (0.83 to  1.81)","BZD-short",".",".",".",".",".",".",".","1.32 (0.85 to  2.04)",".",".",".",".",".",".","1.91 (0.71 to  5.19)",".","1.19 (0.67 to  2.13)"
"1.01 (0.64 to  1.60)","1.62 (0.99 to  2.64)","1.32 (0.81 to  2.14)","daridorexant",".",".",".",".",".",".","1.27 (0.87 to  1.84)",".",".",".",".",".",".",".","0.86 (0.38 to  1.93)","."
"0.67 (0.28 to  1.62)","1.07 (0.43 to  2.64)","0.87 (0.35 to  2.14)","0.66 (0.27 to  1.65)","diphenydramine",".",".",".",".",".","1.89 (0.82 to  4.37)",".",".",".",".",".",".",".",".","."
"1.30 (0.73 to  2.33)","2.09 (1.14 to  3.82)","1.70 (0.93 to  3.10)","1.29 (0.70 to  2.39)","1.95 (0.73 to  5.19)","doxepin",".",".",".",".","0.99 (0.58 to  1.70)",".","0.79 (0.38 to  1.67)",".",".",".",".",".",".","."
"0.82 (0.53 to  1.26)","1.31 (0.83 to  2.09)","1.07 (0.67 to  1.70)","0.81 (0.49 to  1.34)","1.23 (0.50 to  3.04)","0.63 (0.34 to  1.16)","eszopiclone",".",".",".","1.95 (1.27 to  2.99)",".",".",".",".",".",".",".",".","0.85 (0.48 to  1.52)"
"0.81 (0.51 to  1.28)","1.29 (0.79 to  2.11)","1.05 (0.65 to  1.71)","0.80 (0.48 to  1.32)","1.21 (0.49 to  3.01)","0.62 (0.33 to  1.15)","0.98 (0.60 to  1.62)","lemborexant",".",".","1.71 (1.17 to  2.51)",".",".",".",".",".",".",".","0.75 (0.42 to  1.36)","."
"1.19 (0.65 to  2.19)","1.91 (1.01 to  3.59)","1.55 (0.83 to  2.91)","1.18 (0.62 to  2.24)","1.78 (0.66 to  4.82)","0.91 (0.44 to  1.90)","1.45 (0.77 to  2.74)","1.47 (0.78 to  2.80)","melatonin",".","1.06 (0.62 to  1.81)",".",".",".",".",".",".",".",".","."
"1.23 (0.41 to  3.68)","1.97 (0.62 to  6.28)","1.60 (0.51 to  5.09)","1.22 (0.37 to  3.99)","1.84 (0.45 to  7.53)","0.94 (0.27 to  3.26)","1.50 (0.46 to  4.86)","1.52 (0.47 to  4.98)","1.03 (0.30 to  3.61)","mirtazapine",".",".",".",".",".",".",".",".",".","."
"1.26 (0.95 to  1.69)","2.02 (1.44 to  2.84)","1.65 (1.18 to  2.29)","1.25 (0.87 to  1.79)","1.89 (0.82 to  4.37)","0.97 (0.59 to  1.60)","1.54 (1.09 to  2.18)","1.56 (1.09 to  2.24)","1.06 (0.62 to  1.81)","1.03 (0.33 to  3.18)","placebo",".","0.98 (0.79 to  1.22)","1.88 (0.86 to  4.14)","1.00 (0.66 to  1.53)","0.63 (0.29 to  1.39)","0.93 (0.24 to  3.68)","1.43 (0.94 to  2.16)","0.70 (0.57 to  0.87)","0.75 (0.51 to  1.11)"
"0.69 (0.27 to  1.74)","1.10 (0.43 to  2.78)","0.89 (0.35 to  2.27)","0.68 (0.26 to  1.78)","1.03 (0.30 to  3.50)","0.53 (0.19 to  1.47)","0.84 (0.33 to  2.12)","0.85 (0.32 to  2.22)","0.58 (0.20 to  1.63)","0.56 (0.13 to  2.34)","0.54 (0.22 to  1.33)","propiomazine",".",".",".",".",".",".",".","1.09 (0.47 to  2.55)"
"1.23 (0.86 to  1.76)","1.97 (1.32 to  2.93)","1.60 (1.09 to  2.37)","1.22 (0.80 to  1.85)","1.84 (0.78 to  4.37)","0.94 (0.56 to  1.59)","1.50 (1.00 to  2.25)","1.52 (1.00 to  2.31)","1.03 (0.58 to  1.84)","1.00 (0.32 to  3.16)","0.97 (0.79 to  1.21)","1.79 (0.72 to  4.49)","ramelteon",".",".",".",".",".",".","0.60 (0.27 to  1.33)"
"2.01 (0.97 to  4.15)","3.21 (1.52 to  6.77)","2.62 (1.25 to  5.49)","1.99 (0.93 to  4.22)","3.00 (1.03 to  8.77)","1.54 (0.67 to  3.55)","2.45 (1.15 to  5.18)","2.48 (1.17 to  5.26)","1.68 (0.72 to  3.96)","1.63 (0.44 to  6.06)","1.59 (0.81 to  3.09)","2.93 (0.96 to  8.91)","1.63 (0.81 to  3.29)","seltorexant",".",".",".",".","0.55 (0.25 to  1.21)","."
"1.27 (0.76 to  2.12)","2.03 (1.18 to  3.49)","1.66 (0.97 to  2.83)","1.26 (0.72 to  2.19)","1.90 (0.74 to  4.86)","0.97 (0.51 to  1.88)","1.55 (0.90 to  2.67)","1.57 (0.90 to  2.73)","1.07 (0.54 to  2.11)","1.03 (0.31 to  3.45)","1.00 (0.66 to  1.53)","1.85 (0.69 to  4.99)","1.03 (0.64 to  1.66)","0.63 (0.29 to  1.39)","suvorexant",".",".",".",".","."
"0.82 (0.44 to  1.55)","1.31 (0.66 to  2.60)","1.07 (0.54 to  2.10)","0.81 (0.40 to  1.64)","1.23 (0.44 to  3.45)","0.63 (0.29 to  1.38)","1.00 (0.50 to  2.00)","1.02 (0.51 to  2.04)","0.69 (0.31 to  1.54)","0.67 (0.19 to  2.36)","0.65 (0.35 to  1.19)","1.20 (0.41 to  3.51)","0.67 (0.35 to  1.27)","0.41 (0.17 to  1.00)","0.65 (0.31 to  1.35)","trazodone",".",".","0.92 (0.41 to  2.09)","."
"0.47 (0.14 to  1.55)","0.75 (0.22 to  2.58)","0.61 (0.18 to  2.09)","0.46 (0.13 to  1.62)","0.70 (0.16 to  3.02)","0.36 (0.10 to  1.32)","0.57 (0.16 to  1.98)","0.58 (0.17 to  2.02)","0.39 (0.11 to  1.46)","0.38 (0.07 to  1.93)","0.37 (0.11 to  1.23)","0.68 (0.15 to  3.03)","0.38 (0.11 to  1.28)","0.23 (0.06 to  0.92)","0.37 (0.10 to  1.31)","0.57 (0.15 to  2.16)","trimipramine",".",".","."
"1.46 (0.95 to  2.23)","2.33 (1.47 to  3.69)","1.90 (1.22 to  2.95)","1.44 (0.89 to  2.32)","2.18 (0.89 to  5.35)","1.12 (0.61 to  2.03)","1.77 (1.11 to  2.84)","1.80 (1.12 to  2.89)","1.22 (0.65 to  2.28)","1.18 (0.37 to  3.83)","1.15 (0.83 to  1.60)","2.12 (0.82 to  5.47)","1.18 (0.80 to  1.75)","0.72 (0.35 to  1.50)","1.15 (0.67 to  1.95)","1.77 (0.90 to  3.49)","3.11 (0.90 to 10.79)","zaleplon","0.78 (0.52 to  1.15)","."
"0.92 (0.65 to  1.29)","1.47 (1.00 to  2.16)","1.20 (0.82 to  1.74)","0.91 (0.61 to  1.35)","1.37 (0.58 to  3.25)","0.70 (0.41 to  1.21)","1.12 (0.76 to  1.66)","1.14 (0.78 to  1.67)","0.77 (0.44 to  1.36)","0.75 (0.24 to  2.35)","0.73 (0.60 to  0.88)","1.34 (0.54 to  3.32)","0.75 (0.56 to  1.00)","0.46 (0.23 to  0.89)","0.72 (0.45 to  1.15)","1.12 (0.61 to  2.07)","1.97 (0.58 to  6.63)","0.63 (0.46 to  0.87)","zolpidem","0.57 (0.30 to  1.08)"
"0.75 (0.52 to  1.08)","1.20 (0.82 to  1.74)","0.97 (0.66 to  1.43)","0.74 (0.47 to  1.16)","1.12 (0.46 to  2.70)","0.57 (0.32 to  1.02)","0.91 (0.62 to  1.33)","0.92 (0.59 to  1.45)","0.63 (0.34 to  1.14)","0.61 (0.19 to  1.93)","0.59 (0.45 to  0.78)","1.09 (0.47 to  2.55)","0.61 (0.43 to  0.85)","0.37 (0.18 to  0.76)","0.59 (0.36 to  0.97)","0.91 (0.47 to  1.76)","1.60 (0.47 to  5.46)","0.51 (0.34 to  0.78)","0.81 (0.59 to  1.12)","zopiclone"
