"BZD-intermediate","0.58 (0.36 to  0.94)","0.88 (0.54 to  1.41)",".",".",".","5.22 (1.57 to 17.43)",".",".","1.23 (0.47 to  3.25)","1.14 (0.88 to  1.48)",".",".",".",".","0.67 (0.24 to  1.89)","0.18 (0.05 to  0.64)",".",".","1.35 (0.29 to  6.25)"
"0.66 (0.50 to  0.88)","BZD-long","1.11 (0.81 to  1.52)",".",".",".",".",".",".",".","1.55 (1.18 to  2.03)",".",".",".",".",".",".",".",".","1.24 (0.94 to  1.65)"
"0.77 (0.59 to  1.02)","1.17 (0.90 to  1.53)","BZD-short",".",".",".",".",".",".",".","1.17 (0.88 to  1.55)",".",".",".",".",".",".","1.91 (0.81 to  4.53)",".","1.19 (0.89 to  1.59)"
"0.99 (0.74 to  1.34)","1.51 (1.11 to  2.06)","1.29 (0.95 to  1.74)","daridorexant",".",".",".",".",".",".","1.25 (1.02 to  1.54)",".",".",".",".",".",".",".","0.86 (0.45 to  1.62)","."
"0.66 (0.32 to  1.33)","1.00 (0.49 to  2.03)","0.85 (0.42 to  1.72)","0.66 (0.33 to  1.33)","diphenydramine",".",".",".",".",".","1.89 (0.97 to  3.70)",".",".",".",".",".",".",".",".","."
"1.30 (0.84 to  2.00)","1.97 (1.26 to  3.07)","1.68 (1.08 to  2.60)","1.30 (0.85 to  1.99)","1.97 (0.92 to  4.26)","doxepin",".",".",".",".","0.98 (0.65 to  1.46)",".","0.79 (0.46 to  1.37)",".",".",".",".",".",".","."
"0.72 (0.54 to  0.97)","1.10 (0.81 to  1.49)","0.93 (0.69 to  1.26)","0.73 (0.54 to  0.97)","1.10 (0.55 to  2.22)","0.56 (0.36 to  0.86)","eszopiclone",".",".",".","1.98 (1.56 to  2.50)",".",".",".",".",".",".",".",".","0.87 (0.55 to  1.36)"
"0.78 (0.58 to  1.05)","1.19 (0.88 to  1.62)","1.02 (0.75 to  1.37)","0.79 (0.60 to  1.04)","1.20 (0.59 to  2.41)","0.61 (0.40 to  0.93)","1.09 (0.82 to  1.45)","lemborexant",".",".","1.80 (1.44 to  2.24)",".",".",".",".",".",".",".","0.75 (0.55 to  1.03)","."
"1.16 (0.81 to  1.66)","1.76 (1.22 to  2.55)","1.50 (1.04 to  2.16)","1.17 (0.82 to  1.65)","1.77 (0.85 to  3.66)","0.90 (0.56 to  1.44)","1.61 (1.13 to  2.29)","1.48 (1.05 to  2.09)","melatonin",".","1.07 (0.80 to  1.42)",".",".",".",".",".",".",".",".","."
"1.23 (0.47 to  3.25)","1.87 (0.68 to  5.14)","1.59 (0.58 to  4.37)","1.24 (0.45 to  3.42)","1.88 (0.57 to  6.24)","0.95 (0.33 to  2.76)","1.70 (0.62 to  4.70)","1.57 (0.57 to  4.33)","1.06 (0.38 to  2.99)","mirtazapine",".",".",".",".",".",".",".",".",".","."
"1.24 (1.00 to  1.55)","1.88 (1.49 to  2.38)","1.61 (1.28 to  2.02)","1.25 (1.02 to  1.52)","1.89 (0.97 to  3.70)","0.96 (0.66 to  1.40)","1.72 (1.39 to  2.12)","1.58 (1.30 to  1.93)","1.07 (0.80 to  1.42)","1.01 (0.37 to  2.73)","placebo",".","0.98 (0.86 to  1.11)","1.88 (1.03 to  3.45)","1.00 (0.80 to  1.26)","0.63 (0.34 to  1.15)","0.93 (0.26 to  3.34)","1.33 (0.98 to  1.81)","0.68 (0.59 to  0.79)","0.88 (0.70 to  1.11)"
"0.73 (0.35 to  1.53)","1.11 (0.54 to  2.30)","0.95 (0.46 to  1.96)","0.74 (0.35 to  1.54)","1.12 (0.42 to  2.96)","0.57 (0.25 to  1.26)","1.01 (0.49 to  2.10)","0.93 (0.45 to  1.94)","0.63 (0.29 to  1.35)","0.59 (0.18 to  2.01)","0.59 (0.29 to  1.20)","propiomazine",".",".",".",".",".",".",".","1.09 (0.55 to  2.17)"
"1.21 (0.94 to  1.56)","1.83 (1.40 to  2.39)","1.56 (1.20 to  2.03)","1.21 (0.96 to  1.54)","1.84 (0.93 to  3.64)","0.93 (0.63 to  1.37)","1.67 (1.31 to  2.13)","1.54 (1.22 to  1.95)","1.04 (0.76 to  1.42)","0.98 (0.36 to  2.68)","0.97 (0.86 to  1.11)","1.65 (0.80 to  3.38)","ramelteon",".",".",".",".",".",".","0.60 (0.33 to  1.11)"
"1.93 (1.12 to  3.34)","2.94 (1.69 to  5.10)","2.50 (1.45 to  4.33)","1.95 (1.14 to  3.33)","2.95 (1.28 to  6.81)","1.49 (0.80 to  2.79)","2.68 (1.56 to  4.60)","2.47 (1.45 to  4.20)","1.67 (0.94 to  2.96)","1.57 (0.52 to  4.79)","1.56 (0.95 to  2.57)","2.64 (1.11 to  6.28)","1.60 (0.96 to  2.68)","seltorexant",".",".",".",".","0.55 (0.30 to  1.01)","."
"1.25 (0.91 to  1.71)","1.89 (1.36 to  2.63)","1.61 (1.17 to  2.23)","1.25 (0.93 to  1.70)","1.90 (0.94 to  3.86)","0.96 (0.62 to  1.49)","1.73 (1.27 to  2.35)","1.59 (1.18 to  2.15)","1.07 (0.75 to  1.55)","1.01 (0.36 to  2.81)","1.00 (0.80 to  1.26)","1.70 (0.81 to  3.58)","1.03 (0.80 to  1.34)","0.64 (0.37 to  1.12)","suvorexant",".",".",".",".","."
