"BZD-intermediate",".","0.74 (0.38 to 1.45)",".",".",".","1.23 (0.47 to 3.25)","1.03 (0.60 to 1.76)",".",".",".","."
"0.60 (0.22 to 1.59)","BZD-long",".",".",".",".",".","1.85 (0.79 to 4.37)",".",".",".","."
"0.66 (0.38 to 1.12)","1.10 (0.40 to 3.03)","BZD-short",".",".",".",".","2.19 (0.83 to 5.83)",".",".",".","0.83 (0.35 to 2.00)"
"1.96 (0.90 to 4.28)","3.28 (1.14 to 9.49)","2.99 (1.31 to 6.84)","doxepin",".",".",".","0.56 (0.30 to 1.05)",".",".",".","."
"0.71 (0.43 to 1.18)","1.19 (0.49 to 2.87)","1.08 (0.61 to 1.93)","0.36 (0.19 to 0.70)","eszopiclone",".",".","1.56 (1.27 to 1.91)",".",".",".","."
"1.00 (0.59 to 1.71)","1.68 (0.69 to 4.10)","1.53 (0.84 to 2.78)","0.51 (0.26 to 1.00)","1.42 (1.03 to 1.95)","melatonin",".","1.10 (0.86 to 1.41)",".",".",".","."
"1.23 (0.47 to 3.25)","2.06 (0.52 to 8.18)","1.88 (0.62 to 5.69)","0.63 (0.18 to 2.18)","1.74 (0.58 to 5.21)","1.23 (0.41 to 3.71)","mirtazapine",".",".",".",".","."
"1.11 (0.69 to 1.77)","1.85 (0.79 to 4.37)","1.69 (0.98 to 2.90)","0.56 (0.30 to 1.05)","1.56 (1.27 to 1.91)","1.10 (0.86 to 1.41)","0.90 (0.31 to 2.65)","placebo","0.76 (0.59 to 0.98)","1.15 (0.81 to 1.62)","0.94 (0.68 to 1.29)","0.50 (0.31 to 0.82)"
"0.84 (0.49 to 1.43)","1.41 (0.58 to 3.44)","1.28 (0.70 to 2.33)","0.43 (0.22 to 0.84)","1.19 (0.86 to 1.64)","0.84 (0.59 to 1.19)","0.68 (0.23 to 2.07)","0.76 (0.59 to 0.98)","ramelteon",".",".","."
"1.41 (0.80 to 2.47)","2.36 (0.95 to 5.87)","2.15 (1.15 to 4.01)","0.72 (0.36 to 1.44)","1.99 (1.38 to 2.87)","1.40 (0.95 to 2.08)","1.14 (0.37 to 3.52)","1.27 (0.94 to 1.73)","1.68 (1.13 to 2.49)","zaleplon","0.66 (0.49 to 0.89)","."
"0.99 (0.56 to 1.74)","1.66 (0.67 to 4.13)","1.51 (0.81 to 2.82)","0.50 (0.25 to 1.01)","1.40 (0.96 to 2.02)","0.99 (0.66 to 1.47)","0.80 (0.26 to 2.47)","0.89 (0.65 to 1.22)","1.18 (0.79 to 1.76)","0.70 (0.53 to 0.92)","zolpidem","."
"0.55 (0.30 to 1.01)","0.92 (0.35 to 2.43)","0.84 (0.46 to 1.52)","0.28 (0.13 to 0.61)","0.78 (0.48 to 1.27)","0.55 (0.33 to 0.92)","0.45 (0.14 to 1.41)","0.50 (0.32 to 0.78)","0.66 (0.39 to 1.10)","0.39 (0.23 to 0.67)","0.56 (0.32 to 0.96)","zopiclone"
