"BZD-intermediate","1.45 (0.53 to  3.97)",".",".","5.22 (1.57 to 17.43)",".",".","0.82 (0.38 to  1.76)",".",".","0.67 (0.24 to  1.89)","0.18 (0.05 to  0.64)",".",".","."
"0.87 (0.42 to  1.82)","BZD-long",".",".",".",".",".","2.97 (1.24 to  7.13)",".",".",".",".",".",".","0.96 (0.38 to  2.41)"
"0.61 (0.24 to  1.58)","0.71 (0.26 to  1.90)","BZD-short",".",".",".",".",".",".",".",".",".",".","1.73 (0.83 to  3.59)","."
"1.35 (0.73 to  2.50)","1.55 (0.78 to  3.08)","2.20 (1.02 to  4.76)","daridorexant",".",".",".","1.25 (1.02 to  1.54)",".",".",".",".",".","0.86 (0.45 to  1.62)","."
"1.10 (0.59 to  2.04)","1.26 (0.65 to  2.46)","1.79 (0.79 to  4.08)","0.81 (0.55 to  1.22)","eszopiclone",".",".","1.75 (1.21 to  2.53)",".",".",".",".",".",".","0.87 (0.55 to  1.36)"
"1.04 (0.56 to  1.93)","1.19 (0.60 to  2.38)","1.69 (0.79 to  3.65)","0.77 (0.58 to  1.03)","0.95 (0.63 to  1.42)","lemborexant",".","1.81 (1.44 to  2.28)",".",".",".",".",".","0.75 (0.55 to  1.03)","."
"1.57 (0.50 to  4.89)","1.80 (0.56 to  5.84)","2.56 (0.75 to  8.75)","1.16 (0.43 to  3.15)","1.43 (0.51 to  4.02)","1.51 (0.56 to  4.10)","melatonin","1.08 (0.41 to  2.88)",".",".",".",".",".",".","."
"1.70 (0.95 to  3.04)","1.95 (1.01 to  3.76)","2.77 (1.31 to  5.84)","1.26 (1.03 to  1.54)","1.54 (1.09 to  2.18)","1.63 (1.33 to  2.01)","1.08 (0.41 to  2.88)","placebo","0.94 (0.65 to  1.36)","1.88 (1.03 to  3.45)","0.63 (0.34 to  1.15)","0.93 (0.26 to  3.34)","1.18 (0.87 to  1.60)","0.65 (0.55 to  0.76)","."
"1.60 (0.80 to  3.18)","1.83 (0.86 to  3.89)","2.60 (1.13 to  5.99)","1.18 (0.78 to  1.80)","1.45 (0.88 to  2.41)","1.53 (1.00 to  2.34)","1.02 (0.36 to  2.89)","0.94 (0.65 to  1.36)","ramelteon",".",".",".",".",".","."
"2.50 (1.16 to  5.39)","2.88 (1.26 to  6.56)","4.08 (1.68 to  9.91)","1.86 (1.08 to  3.18)","2.28 (1.24 to  4.19)","2.41 (1.41 to  4.11)","1.60 (0.53 to  4.79)","1.47 (0.89 to  2.44)","1.57 (0.84 to  2.92)","seltorexant",".",".",".","0.55 (0.30 to  1.01)","."
"0.99 (0.51 to  1.92)","1.14 (0.51 to  2.52)","1.61 (0.66 to  3.93)","0.73 (0.43 to  1.26)","0.90 (0.50 to  1.63)","0.95 (0.56 to  1.63)","0.63 (0.21 to  1.89)","0.58 (0.35 to  0.96)","0.62 (0.33 to  1.16)","0.40 (0.20 to  0.80)","trazodone",".",".","0.92 (0.48 to  1.76)","."
"0.55 (0.17 to  1.72)","0.63 (0.17 to  2.25)","0.89 (0.23 to  3.49)","0.40 (0.13 to  1.29)","0.50 (0.15 to  1.62)","0.53 (0.16 to  1.68)","0.35 (0.08 to  1.57)","0.32 (0.10 to  1.01)","0.34 (0.10 to  1.14)","0.22 (0.06 to  0.76)","0.55 (0.16 to  1.87)","trimipramine",".",".","."
"1.70 (0.89 to  3.24)","1.95 (0.96 to  3.98)","2.77 (1.26 to  6.11)","1.26 (0.90 to  1.77)","1.55 (0.99 to  2.41)","1.64 (1.16 to  2.30)","1.08 (0.39 to  2.99)","1.00 (0.76 to  1.32)","1.07 (0.67 to  1.69)","0.68 (0.39 to  1.20)","1.72 (0.97 to  3.03)","3.11 (0.96 to 10.11)","zaleplon","1.05 (0.67 to  1.65)","."
"1.06 (0.58 to  1.93)","1.22 (0.62 to  2.38)","1.73 (0.83 to  3.59)","0.78 (0.61 to  1.00)","0.96 (0.66 to  1.40)","1.02 (0.81 to  1.28)","0.68 (0.25 to  1.82)","0.62 (0.54 to  0.73)","0.66 (0.44 to  0.99)","0.42 (0.26 to  0.70)","1.07 (0.64 to  1.78)","1.94 (0.61 to  6.14)","0.62 (0.46 to  0.84)","zolpidem","."
"0.93 (0.46 to  1.90)","1.07 (0.55 to  2.10)","1.52 (0.61 to  3.78)","0.69 (0.39 to  1.21)","0.85 (0.55 to  1.30)","0.90 (0.51 to  1.57)","0.59 (0.20 to  1.80)","0.55 (0.33 to  0.93)","0.58 (0.31 to  1.11)","0.37 (0.18 to  0.77)","0.94 (0.46 to  1.91)","1.71 (0.49 to  5.88)","0.55 (0.30 to  0.99)","0.88 (0.51 to  1.52)","zopiclone"
