Separate indirect from direct design evidence (SIDDE)

Fixed effects model: 

                    comparison k  nma direct indir.  RoR     z p-value
     BZD-intermediate:BZD-long 1 0.87   1.45   0.48 3.04  1.47  0.1425
    BZD-intermediate:BZD-short 0 0.61      .   0.61    .     .       .
 BZD-intermediate:daridorexant 0 1.35      .   1.35    .     .       .
  BZD-intermediate:eszopiclone 1 1.10   5.22   0.63 8.31  2.95  0.0031
  BZD-intermediate:lemborexant 0 1.04      .   1.04    .     .       .
    BZD-intermediate:melatonin 0 1.57      .   1.57    .     .       .
      BZD-intermediate:placebo 2 1.70   0.82   2.91 0.28 -2.16  0.0304
    BZD-intermediate:ramelteon 0 1.60      .   1.60    .     .       .
  BZD-intermediate:seltorexant 0 2.50      .   2.50    .     .       .
    BZD-intermediate:trazodone 1 0.99   0.67   1.30 0.52 -0.96  0.3395
 BZD-intermediate:trimipramine 1 0.55   0.18      .    .     .       .
     BZD-intermediate:zaleplon 0 1.70      .   1.70    .     .       .
     BZD-intermediate:zolpidem 0 1.06      .   1.06    .     .       .
    BZD-intermediate:zopiclone 0 0.93      .   0.93    .     .       .
            BZD-long:BZD-short 0 0.71      .   0.71    .     .       .
         BZD-long:daridorexant 0 1.55      .   1.55    .     .       .
          BZD-long:eszopiclone 0 1.26      .   1.26    .     .       .
          BZD-long:lemborexant 0 1.19      .   1.19    .     .       .
            BZD-long:melatonin 0 1.80      .   1.80    .     .       .
              BZD-long:placebo 2 1.95   2.97   1.63 1.82  0.84  0.4012
            BZD-long:ramelteon 0 1.83      .   1.83    .     .       .
          BZD-long:seltorexant 0 2.88      .   2.88    .     .       .
            BZD-long:trazodone 0 1.14      .   1.14    .     .       .
         BZD-long:trimipramine 0 0.63      .   0.63    .     .       .
             BZD-long:zaleplon 0 1.95      .   1.95    .     .       .
             BZD-long:zolpidem 0 1.22      .   1.22    .     .       .
            BZD-long:zopiclone 2 1.07   0.96   1.21 0.79 -0.34  0.7327
        BZD-short:daridorexant 0 2.20      .   2.20    .     .       .
         BZD-short:eszopiclone 0 1.79      .   1.79    .     .       .
         BZD-short:lemborexant 0 1.69      .   1.69    .     .       .
           BZD-short:melatonin 0 2.56      .   2.56    .     .       .
             BZD-short:placebo 0 2.77      .   2.77    .     .       .
           BZD-short:ramelteon 0 2.60      .   2.60    .     .       .
         BZD-short:seltorexant 0 4.08      .   4.08    .     .       .
           BZD-short:trazodone 0 1.61      .   1.61    .     .       .
        BZD-short:trimipramine 0 0.89      .   0.89    .     .       .
            BZD-short:zaleplon 0 2.77      .   2.77    .     .       .
            BZD-short:zolpidem 1 1.73   1.73      .    .     .       .
           BZD-short:zopiclone 0 1.52      .   1.52    .     .       .
      daridorexant:eszopiclone 0 0.81      .   0.81    .     .       .
      daridorexant:lemborexant 0 0.77      .   0.77    .     .       .
        daridorexant:melatonin 0 1.16      .   1.16    .     .       .
          daridorexant:placebo 3 1.26   1.25      .    .     .       .
        daridorexant:ramelteon 0 1.18      .   1.18    .     .       .
      daridorexant:seltorexant 0 1.86      .   1.86    .     .       .
        daridorexant:trazodone 0 0.73      .   0.73    .     .       .
     daridorexant:trimipramine 0 0.40      .   0.40    .     .       .
         daridorexant:zaleplon 0 1.26      .   1.26    .     .       .
         daridorexant:zolpidem 1 0.78   0.86   0.77 1.11  0.30  0.7650
        daridorexant:zopiclone 0 0.69      .   0.69    .     .       .
