"BZD-intermediate","1.28 (0.54 to  3.04)","0.97 (0.63 to  1.49)",".",".",".",".",".",".","1.12 (0.81 to  1.56)",".",".",".",".","0.67 (0.23 to  2.01)","0.17 (0.05 to  0.67)",".","1.15 (0.56 to  2.39)","1.35 (0.28 to  6.50)"
"0.82 (0.56 to  1.21)","BZD-long","1.03 (0.65 to  1.61)",".",".",".",".",".",".","1.34 (0.91 to  1.97)",".",".",".",".",".",".",".",".","1.30 (0.84 to  2.04)"
"0.88 (0.64 to  1.21)","1.07 (0.75 to  1.53)","BZD-short",".",".",".",".",".",".","1.00 (0.69 to  1.46)",".",".",".",".",".",".","1.91 (0.76 to  4.85)","1.28 (0.74 to  2.19)","1.12 (0.74 to  1.68)"
"0.95 (0.64 to  1.42)","1.16 (0.75 to  1.80)","1.08 (0.73 to  1.61)","daridorexant",".",".",".",".",".","1.26 (0.93 to  1.71)",".",".",".",".",".",".",".","0.86 (0.41 to  1.77)","."
"0.63 (0.28 to  1.40)","0.76 (0.33 to  1.74)","0.71 (0.32 to  1.59)","0.66 (0.29 to  1.48)","diphenydramine",".",".",".",".","1.89 (0.89 to  4.03)",".",".",".",".",".",".",".",".","."
"1.32 (0.86 to  2.02)","1.60 (1.01 to  2.55)","1.49 (0.98 to  2.29)","1.38 (0.89 to  2.14)","2.10 (0.92 to  4.80)","doxepin",".",".",".","0.90 (0.64 to  1.26)",".","0.79 (0.42 to  1.52)",".",".",".",".",".",".","."
"0.82 (0.58 to  1.15)","0.99 (0.67 to  1.46)","0.93 (0.66 to  1.30)","0.86 (0.59 to  1.23)","1.30 (0.59 to  2.87)","0.62 (0.42 to  0.92)","eszopiclone",".",".","1.54 (1.21 to  1.96)",".",".",".",".",".",".",".",".","0.86 (0.51 to  1.45)"
"0.77 (0.52 to  1.14)","0.94 (0.61 to  1.44)","0.87 (0.59 to  1.29)","0.81 (0.54 to  1.21)","1.23 (0.55 to  2.76)","0.58 (0.38 to  0.91)","0.94 (0.65 to  1.36)","lemborexant",".","1.73 (1.26 to  2.37)",".",".",".",".",".",".",".","0.75 (0.47 to  1.21)","."
"1.07 (0.70 to  1.64)","1.30 (0.81 to  2.07)","1.21 (0.79 to  1.86)","1.12 (0.72 to  1.74)","1.71 (0.75 to  3.90)","0.81 (0.51 to  1.30)","1.31 (0.88 to  1.96)","1.39 (0.89 to  2.16)","melatonin","1.11 (0.79 to  1.55)",".",".",".",".",".",".",".",".","."
"1.18 (0.90 to  1.55)","1.44 (1.04 to  2.00)","1.34 (1.03 to  1.76)","1.24 (0.93 to  1.66)","1.89 (0.89 to  4.03)","0.90 (0.65 to  1.25)","1.45 (1.16 to  1.82)","1.54 (1.15 to  2.06)","1.11 (0.79 to  1.55)","placebo",".","0.92 (0.79 to  1.08)","1.88 (0.93 to  3.80)","1.00 (0.72 to  1.41)","0.63 (0.31 to  1.27)","0.93 (0.25 to  3.51)","1.29 (0.99 to  1.68)","0.75 (0.63 to  0.89)","0.95 (0.65 to  1.39)"
"0.84 (0.36 to  1.97)","1.02 (0.44 to  2.39)","0.95 (0.41 to  2.20)","0.88 (0.37 to  2.10)","1.34 (0.44 to  4.09)","0.64 (0.26 to  1.54)","1.03 (0.45 to  2.37)","1.09 (0.46 to  2.60)","0.79 (0.32 to  1.91)","0.71 (0.31 to  1.61)","propiomazine",".",".",".",".",".",".",".","1.09 (0.50 to  2.36)"
"1.10 (0.81 to  1.50)","1.34 (0.93 to  1.92)","1.25 (0.92 to  1.70)","1.15 (0.83 to  1.60)","1.76 (0.81 to  3.80)","0.84 (0.59 to  1.19)","1.35 (1.03 to  1.77)","1.43 (1.03 to  1.98)","1.03 (0.71 to  1.49)","0.93 (0.79 to  1.08)","1.31 (0.57 to  3.00)","ramelteon",".",".",".",".",".",".","0.60 (0.30 to  1.22)"
"1.93 (1.01 to  3.67)","2.34 (1.20 to  4.58)","2.19 (1.15 to  4.16)","2.02 (1.05 to  3.88)","3.08 (1.18 to  8.02)","1.46 (0.75 to  2.87)","2.36 (1.26 to  4.43)","2.51 (1.31 to  4.80)","1.80 (0.92 to  3.55)","1.63 (0.90 to  2.93)","2.29 (0.84 to  6.28)","1.75 (0.96 to  3.22)","seltorexant",".",".",".",".","0.55 (0.27 to  1.11)","."
"1.19 (0.77 to  1.83)","1.45 (0.91 to  2.31)","1.35 (0.88 to  2.08)","1.25 (0.80 to  1.95)","1.90 (0.83 to  4.35)","0.90 (0.56 to  1.45)","1.46 (0.97 to  2.19)","1.55 (0.99 to  2.41)","1.11 (0.69 to  1.79)","1.00 (0.72 to  1.41)","1.42 (0.58 to  3.44)","1.08 (0.75 to  1.57)","0.62 (0.31 to  1.22)","suvorexant",".",".",".",".","."
"0.80 (0.45 to  1.43)","0.97 (0.52 to  1.83)","0.91 (0.50 to  1.65)","0.84 (0.45 to  1.56)","1.28 (0.50 to  3.25)","0.61 (0.32 to  1.15)","0.98 (0.54 to  1.77)","1.04 (0.56 to  1.92)","0.75 (0.39 to  1.42)","0.67 (0.39 to  1.17)","0.95 (0.36 to  2.54)","0.73 (0.41 to  1.28)","0.41 (0.19 to  0.92)","0.67 (0.35 to  1.28)","trazodone",".",".","0.92 (0.44 to  1.92)","."
"0.45 (0.14 to  1.44)","0.55 (0.17 to  1.82)","0.51 (0.16 to  1.67)","0.47 (0.14 to  1.57)","0.72 (0.18 to  2.88)","0.34 (0.10 to  1.15)","0.56 (0.17 to  1.80)","0.59 (0.18 to  1.94)","0.42 (0.13 to  1.41)","0.38 (0.12 to  1.22)","0.54 (0.13 to  2.22)","0.41 (0.13 to  1.32)","0.23 (0.06 to  0.86)","0.38 (0.11 to  1.27)","0.57 (0.16 to  2.03)","trimipramine",".",".","."
"1.38 (0.98 to  1.95)","1.68 (1.14 to  2.49)","1.57 (1.12 to  2.20)","1.45 (1.01 to  2.09)","2.21 (1.00 to  4.87)","1.05 (0.70 to  1.57)","1.70 (1.23 to  2.33)","1.80 (1.26 to  2.57)","1.30 (0.87 to  1.94)","1.17 (0.93 to  1.46)","1.65 (0.71 to  3.84)","1.26 (0.96 to  1.65)","0.72 (0.39 to  1.33)","1.16 (0.77 to  1.74)","1.73 (0.96 to  3.11)","3.06 (0.94 to  9.93)","zaleplon","0.78 (0.58 to  1.04)","."
"0.90 (0.67 to  1.22)","1.10 (0.77 to  1.57)","1.03 (0.77 to  1.38)","0.95 (0.69 to  1.31)","1.44 (0.67 to  3.13)","0.69 (0.48 to  0.99)","1.11 (0.84 to  1.46)","1.18 (0.86 to  1.60)","0.85 (0.58 to  1.23)","0.76 (0.65 to  0.90)","1.08 (0.47 to  2.47)","0.82 (0.66 to  1.03)","0.47 (0.26 to  0.84)","0.76 (0.52 to  1.10)","1.13 (0.65 to  1.97)","2.00 (0.62 to  6.42)","0.65 (0.52 to  0.83)","zolpidem","."
"0.92 (0.64 to  1.31)","1.11 (0.78 to  1.60)","1.04 (0.76 to  1.43)","0.96 (0.64 to  1.43)","1.46 (0.65 to  3.27)","0.70 (0.45 to  1.07)","1.12 (0.82 to  1.54)","1.19 (0.80 to  1.77)","0.86 (0.56 to  1.32)","0.77 (0.59 to  1.02)","1.09 (0.50 to  2.36)","0.83 (0.61 to  1.14)","0.48 (0.25 to  0.91)","0.77 (0.50 to  1.19)","1.15 (0.62 to  2.11)","2.02 (0.62 to  6.62)","0.66 (0.47 to  0.94)","1.01 (0.74 to  1.39)","zopiclone"
